PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_POS_BEST,PPR_POS_WORST,PPR_POS_AVG.,PPR_POS_STD.DEV
112,10,JaMycal Hasty,SF,77,140,100.4,16.4
113,10,Travis Homer,SEA,85,129,102.1,11.9
114,10,J.J. Taylor,NE,68,122,93.6,15.5
115,10,Kyle Juszczyk,SF,68,113,87.5,12.7
116,10,Kene Nwangwu,MIN,88,121,100.8,9.4
117,10,Devine Ozigbo,JAC,83,134,103.9,13.5
118,10,Darwin Thompson,TB,78,131,104.6,13.2
119,10,Gary Brightwell,NYG,90,136,110.1,13.3
120,10,Devonta Freeman,FA,85,136,106.9,13.9
121,10,Trayveon Williams,CIN,79,132,100.1,16
122,10,Gerrid Doaks,MIA,86,135,109.3,15.3
123,10,Bryce Love,FA,86,140,103.3,15.4
124,10,D'Ernest Johnson,CLE,88,138,111.1,14.2
125,10,Jeremy McNichols,TEN,84,141,108.7,15.5
126,10,Ty Montgomery,NO,84,122,104.5,11.4
127,10,Patrick Ricard,BAL,80,132,104.9,17
128,10,C.J. Ham,MIN,76,138,106.8,21.6
129,10,Mekhi Sargent,TEN,74,150,110.1,25.1
130,10,Corey Clement,DAL,101,138,119.9,12.4
131,10,Frank Gore,FA,97,133,111.6,11.3
132,10,LeSean McCoy,FA,95,140,112.1,15.7
133,10,Alec Ingold,LV,78,131,108.5,18.2
134,11,Keith Smith,ATL,83,144,113.6,19.1
135,11,Ameer Abdullah,MIN,96,134,117.1,13.7
136,11,Khari Blasingame,TEN,96,147,117,19
137,11,D'Onta Foreman,FA,93,150,123.8,15.1
138,11,Jaylen Samuels,PIT,76,145,121.1,24.4
139,11,Pooka Williams Jr.,CIN,94,141,122.1,18.4
140,11,Brandon Bolden,NE,107,153,129.7,17.7
141,11,Jonathan Ward,ARI,99,146,124.1,17.1
142,11,Andy Janovich,CLE,100,154,128.5,19.8
143,11,Raymond Calais,LAR,96,169,129.3,24
144,11,Trenton Cannon,FA,90,167,135.3,20.7
145,11,Elijhaa Penny,NYG,101,159,117,19.7
146,11,Patrick Laird,MIA,81,153,126.3,24.4
147,11,Michael Burton,KC,85,145,118.3,21.1
148,11,Josh Adams,NYJ,114,155,133.5,15.8
149,11,Trey Ragas,LV,106,152,127.9,16.1
150,11,Otis Anderson Jr.,LAR,67,147,110.6,30
151,11,Jakob Johnson,NE,109,166,129.9,17.1
152,11,Tre Harbison,CLE,93,142,113,21
153,11,Theo Riddick,LV,82,151,125.3,26.8
154,11,Reggie Bonnafon,FA,108,155,123,17.3
155,11,Reggie Gilliam,BUF,106,146,125.2,17.5
156,11,Alex Armah,NO,112,160,134.5,15.7
157,11,Rico Dowdle,DAL,117,150,128.8,11.7
158,11,Stevie Scott III,FA,119,156,138.3,12.3
159,11,Dwayne Washington,NO,114,169,132.4,20.5
160,11,Scottie Phillips,HOU,111,156,133,16
161,11,Derek Watt,PIT,98,174,134.4,26.2
162,11,Taiwan Jones,BUF,115,148,134.4,14.7
163,11,Rodney Smith,CAR,121,157,140,12.8
164,11,Dedrick Mills,FA,101,171,141.2,22.6
165,11,Caleb Huntley,ATL,102,166,141.2,21.3
166,11,T.J. Yeldon,FA,92,158,119.3,28.1
