"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"AVG_FAN PTS","AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS","AVG_REC_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS"
"73",7,"Rhamondre Stevenson",NE,"0","0","0","0","0","0","0","0"
"74",7,"Jerick McKinnon",KC,"5.8","5.1","19.9","0.3","2.9","2.1","15.8","0.1"
"75",7,"Matt Breida",BUF,"2.8","4.9","21.2","0.0","0.8","0.8","8.0","0.0"
"76",7,"Anthony McFarland Jr.",PIT,"1.5","3.0","10.3","0.0","0.9","0.5","4.9","0.0"
"77",7,"Javian Hawkins",ATL,"0","0","0","0","0","0","0","0"
"78",7,"Boston Scott",PHI,"4.4","5.0","23.4","0.1","2.3","1.6","13.3","0.1"
"79",8,"Ty Johnson",NYJ,"3.6","4.2","19.5","0.1","1.6","1.2","7.6","0.1"
"80",8,"Devontae Booker",NYG,"4.3","5.8","26.4","0.2","1.3","1.1","5.3","0.0"
"81",8,"Ke'Shawn Vaughn",TB,"1.8","2.6","10.9","0.0","1.0","0.5","3.4","0.1"
"82",8,"Samaje Perine",CIN,"3.4","3.9","18.8","0.2","0.8","0.7","4.1","0.0"
"83",8,"DeeJay Dallas",SEA,"3.3","2.8","9.0","0.2","1.7","1.4","9.3","0.1"
"84",8,"Justice Hill",BAL,"0.7","1.0","5.0","0.0","0.4","0.4","1.7","0.0"
"85",8,"Jalen Richard",LV,"2.5","1.7","9.5","0.1","1.8","1.5","10.6","0.0"
"86",8,"Rex Burkhead",HOU,"8.3","6.7","27.4","0.3","3.3","2.5","19.2","0.3"
"87",8,"Le'Veon Bell",FA,"5.3","7.5","29.8","0.2","1.8","1.5","12.5","0.0"
"88",8,"Brian Hill",TEN,"4.4","6.3","29.1","0.1","1.9","1.6","12.4","0.0"
"89",8,"Eno Benjamin",ARI,"0","0","0","0","0","0","0","0"
"90",8,"Kalen Ballage",PIT,"5.9","8.3","27.5","0.3","3.4","2.6","15.1","0.0"
"91",8,"Todd Gurley II",FA,"9.2","13.0","45.2","0.6","2.3","1.7","10.9","0.0"
"92",8,"Duke Johnson Jr.",FA,"5.1","7.0","21.4","0.1","3.2","2.5","22.6","0.1"
"93",8,"Jordan Howard",PHI,"4.2","5.0","8.6","0.6","0.1","0.1","-0.4","0.0"
