PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_POS_BEST,PPR_POS_WORST,PPR_POS_AVG.,PPR_POS_STD.DEV
1,1,Davante Adams,GB,1,4,1.2,0.6
2,1,Tyreek Hill,KC,1,10,2.7,1.4
3,1,Stefon Diggs,BUF,1,6,3.2,1.1
4,1,DeAndre Hopkins,ARI,1,9,4,1.3
5,2,Calvin Ridley,ATL,1,10,4.8,1.4
6,2,Justin Jefferson,MIN,4,14,7.5,1.9
7,2,D.K. Metcalf,SEA,4,16,7.8,2.3
8,2,A.J. Brown,TEN,1,16,8.3,2.5
9,2,Keenan Allen,LAC,3,24,8.4,2.8
10,2,Allen Robinson II,CHI,5,16,9.7,1.8
11,3,Terry McLaurin,WAS,7,19,11,2
12,3,CeeDee Lamb,DAL,4,27,13,3.5
13,3,Robert Woods,LAR,8,24,14.2,3.2
14,3,Amari Cooper,DAL,9,24,15.2,2.9
15,3,Chris Godwin,TB,9,28,16.3,3.2
16,3,Mike Evans,TB,10,30,17.7,3.4
17,4,Cooper Kupp,LAR,10,31,17.9,3.6
18,4,D.J. Moore,CAR,11,33,18.4,3.9
19,4,Diontae Johnson,PIT,10,34,18.8,4.1
20,4,Tyler Lockett,SEA,11,31,18.8,3.8
21,4,Julio Jones,TEN,10,38,19.3,4.5
22,4,Tee Higgins,CIN,13,38,23.5,4.8
23,4,Adam Thielen,MIN,15,38,23.6,4.3
24,4,Brandon Aiyuk,SF,16,38,25.4,4.4
25,5,Chase Claypool,PIT,17,53,29,5.4
26,5,Jerry Jeudy,DEN,15,45,29.3,6.1
27,5,Odell Beckham Jr.,CLE,19,47,29.3,5.7
28,5,JuJu Smith-Schuster,PIT,19,54,29.5,6.3
29,5,Robby Anderson,CAR,15,48,30.2,6.1
30,5,Tyler Boyd,CIN,21,45,31.1,5.3
31,5,Ja'Marr Chase,CIN,20,58,31.3,6.2
32,5,Kenny Golladay,NYG,16,49,31.5,6.5
33,5,Courtland Sutton,DEN,21,51,32.6,5.2
34,5,Brandin Cooks,HOU,21,51,35.7,6.4
35,5,Deebo Samuel,SF,20,61,36,6.9
36,5,Corey Davis,NYJ,24,60,37.3,7.6
37,5,Laviska Shenault Jr.,JAC,23,63,38.8,7.1
38,5,Antonio Brown,TB,17,69,39.2,8.3
39,5,Will Fuller V,MIA,24,63,40,6.9
40,5,DeVonta Smith,PHI,14,69,40,8.2
