PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_BEST,PPR_WORST,PPR_AVG.,PPR_STD.DEV
1,1,Christian McCaffrey,CAR,1,3,1.1,0.3
2,1,Dalvin Cook,MIN,1,6,2.5,0.7
3,1,Alvin Kamara,NO,2,10,3.1,1.3
4,1,Davante Adams,GB,5,12,6.1,2.1
5,1,Ezekiel Elliott,DAL,2,22,7,3.8
6,1,Derrick Henry,TEN,2,27,7.8,6
7,1,Austin Ekeler,LAC,3,28,8,3.8
8,1,Aaron Jones,GB,3,23,8.4,3.9
9,2,Tyreek Hill,KC,8,25,10.3,2.5
10,2,Stefon Diggs,BUF,5,17,11,2.2
11,2,Saquon Barkley,NYG,2,34,12.1,6.6
12,2,DeAndre Hopkins,ARI,5,24,12.6,2.6
13,2,Calvin Ridley,ATL,5,25,13.4,2.9
14,2,Travis Kelce,KC,5,18,16.2,2.4
15,2,Jonathan Taylor,IND,4,40,17.5,8.3
16,3,Justin Jefferson,MIN,12,33,19.1,4.9
17,3,Nick Chubb,CLE,4,44,19.1,8.1
18,3,Antonio Gibson,WAS,3,42,19.9,6.2
19,3,D.K. Metcalf,SEA,12,36,20,5.6
20,3,Darren Waller,LV,16,30,20.2,3.5
21,3,A.J. Brown,TEN,5,37,21.3,6.1
22,3,Keenan Allen,LAC,11,46,21.7,6
23,3,Joe Mixon,CIN,8,57,23.3,8
24,3,Allen Robinson II,CHI,13,36,24.9,4.6
25,3,Najee Harris,PIT,6,65,22.6,7.6
26,3,Patrick Mahomes II,KC,19,56,26.7,11.5
27,3,George Kittle,SF,18,53,27.1,8
28,3,Terry McLaurin,WAS,16,41,27.7,4.3
29,3,Clyde Edwards-Helaire,KC,8,57,28.2,8.2
30,3,CeeDee Lamb,DAL,12,65,31.3,7.3
31,3,Robert Woods,LAR,20,50,33.8,5.5
32,3,D'Andre Swift,DET,8,89,33.9,11.8
33,4,Amari Cooper,DAL,24,50,35.2,5
34,4,Chris Godwin,TB,24,64,37,6.3
35,4,Chris Carson,SEA,21,60,37,7.2
36,4,David Montgomery,CHI,20,71,37.5,9
37,4,Mike Evans,TB,24,67,39.4,6.8
38,4,Cooper Kupp,LAR,25,84,40.1,7.8
39,4,James Robinson,JAC,14,119,40.7,12.7
40,4,D.J. Moore,CAR,29,86,41.1,8.9
41,4,Josh Allen,BUF,19,61,41.3,10.3
42,4,Diontae Johnson,PIT,25,75,41.6,8.4
43,4,Tyler Lockett,SEA,28,73,41.9,8
