PLAYER NAME,TEAM,POS_BEST,POS_WORST,POS_AVG.,POS_STD.DEV
Tyreek Hill,KC,1,8,1.4,0.9
Davante Adams,GB,1,7,2.3,1.1
Stefon Diggs,BUF,1,8,3.4,1.4
Calvin Ridley,ATL,1,11,4.3,1.3
DeAndre Hopkins,ARI,1,21,5.7,1.8
D.K. Metcalf,SEA,1,11,6.1,1.5
A.J. Brown,TEN,2,13,6.4,1.7
Justin Jefferson,MIN,3,14,7.4,1.7
Terry McLaurin,WAS,7,18,10.8,2
Allen Robinson II,CHI,5,19,11.7,2.2
Mike Evans,TB,7,23,11.9,3
Keenan Allen,LAC,6,22,12,2.7
CeeDee Lamb,DAL,4,26,14.5,4.4
Chris Godwin,TB,9,29,15,3
Julio Jones,TEN,6,33,15.1,4.1
Amari Cooper,DAL,9,29,15.2,3.2
Robert Woods,LAR,11,32,17.6,3.1
D.J. Moore,CAR,9,37,17.6,3.1
Adam Thielen,MIN,10,38,19.7,3.6
Kenny Golladay,NYG,9,37,20.8,4.6
Cooper Kupp,LAR,13,33,22.1,3.6
Tyler Lockett,SEA,12,40,24.1,4.5
Brandon Aiyuk,SF,13,38,24.3,4.3
Tee Higgins,CIN,12,35,25.2,3.5
Odell Beckham Jr.,CLE,15,55,25.6,5.9
Diontae Johnson,PIT,16,42,26.3,4.5
Courtland Sutton,DEN,14,45,27.8,5
Chase Claypool,PIT,18,42,28.9,4.2
Ja'Marr Chase,CIN,9,79,26.3,9.8
D.J. Chark Jr.,JAC,19,49,31.3,5
Jerry Jeudy,DEN,22,52,35,5.9
Robby Anderson,CAR,21,53,35.1,4.9
Deebo Samuel,SF,23,62,35.4,5.8
JuJu Smith-Schuster,PIT,25,63,35.7,5.5
Will Fuller V,MIA,22,85,37.7,8.1
Brandin Cooks,HOU,16,57,36,5.6
Tyler Boyd,CIN,21,61,38.7,5.2
Curtis Samuel,WAS,23,87,38.8,7.7
DeVonta Smith,PHI,17,85,40.2,10
Mike Williams,LAC,25,66,42.4,7.1
Jarvis Landry,CLE,26,54,42.5,4.7
Michael Thomas,NO,4,83,41.4,16.4
Michael Gallup,DAL,27,67,44,6.5
Laviska Shenault Jr.,JAC,28,69,44.3,7.2
DeVante Parker,MIA,21,64,45.9,6.2
Marquise Brown,BAL,33,75,44.7,7.6
Corey Davis,NYJ,27,61,46.9,5.9
Antonio Brown,TB,19,69,45.2,9.2
