POS_RK,POS_TIERS,PLAYER NAME,TEAM,POS_BEST,POS_WORST,POS_AVG.,POS_STD.DEV
1,1,Josh Allen,BUF,1,2,1.1,0.2
2,1,Justin Herbert,LAC,1,7,2.7,1.1
3,1,Patrick Mahomes II,KC,2,9,3.6,1.4
4,1,Lamar Jackson,BAL,2,8,4.1,1.4
5,2,Kyler Murray,ARI,2,10,5.4,1.8
6,2,Jalen Hurts,PHI,2,13,5.6,1.9
7,2,Joe Burrow,CIN,4,12,7.7,1.9
8,2,Tom Brady,TB,4,13,8.7,2.0
9,2,Russell Wilson,DEN,4,17,8.8,2.1
10,3,Dak Prescott,DAL,6,16,10.1,2.0
11,3,Trey Lance,SF,5,19,11.0,2.8
12,3,Matthew Stafford,LAR,7,16,12.1,1.8
13,3,Aaron Rodgers,GB,7,16,12.3,2.0
14,3,Kirk Cousins,MIN,9,19,13.8,1.8
15,3,Derek Carr,LV,8,19,14.1,1.9
16,4,Tua Tagovailoa,MIA,12,24,17.1,1.9
17,4,Justin Fields,CHI,10,26,17.4,2.7
18,4,Trevor Lawrence,JAC,12,25,18.5,2.2
19,4,Jameis Winston,NO,14,28,19.8,2.8
20,4,Matt Ryan,IND,14,28,20.2,2.5
21,4,Ryan Tannehill,TEN,15,33,21.6,3.0
22,4,Daniel Jones,NYG,15,34,23.1,3.3
23,4,Mac Jones,NE,17,31,23.4,2.7
24,4,Jared Goff,DET,18,30,24.9,2.8
25,4,Carson Wentz,WAS,17,30,24.9,2.8
26,4,Baker Mayfield,CAR,19,33,25.7,2.9
27,4,Zach Wilson,NYJ,18,33,25.8,3.3
28,4,Davis Mills,HOU,16,32,26.9,2.5
29,5,Marcus Mariota,ATL,19,38,28.1,3.2
30,5,Mitch Trubisky,PIT,22,37,30.5,2.7
31,5,Deshaun Watson,CLE,16,45,30.5,4.5
32,5,Kenny Pickett,PIT,27,40,33.1,2.2
33,5,Drew Lock,SEA,29,49,35.2,2.9
34,5,Jimmy Garoppolo,SF,27,69,35.8,4.6
35,5,Jacoby Brissett,CLE,28,49,32.5,2.8
36,5,Geno Smith,SEA,29,42,32.5,2.2
37,5,Desmond Ridder,ATL,30,43,35.9,2.4
38,5,Sam Darnold,CAR,32,63,39.6,5.6
39,6,Malik Willis,TEN,31,66,40.2,6.8
40,6,Teddy Bridgewater,MIA,30,59,41.3,5.0
41,6,Joe Flacco,NYJ,32,60,39.8,5.2
42,6,Tyrod Taylor,NYG,37,49,40.4,3.0
43,6,Tyler Huntley,BAL,33,64,41.4,5.2
44,6,Gardner Minshew II,PHI,36,59,43.2,4.6
45,6,Sam Howell,WAS,35,79,45.7,8.4
46,6,Andy Dalton,NO,37,53,44.7,3.7
47,6,Jordan Love,GB,42,63,47.7,4.6
48,6,Taylor Heinicke,WAS,40,70,47.0,6.3
49,7,Case Keenum,BUF,40,62,49.9,5.8
50,7,John Wolford,LAR,42,66,50.1,5.7
51,7,Blaine Gabbert,TB,40,65,47.8,6.9
52,7,Colt McCoy,ARI,45,57,51.0,4.1
53,7,Chad Henne,KC,41,58,50.5,5.4
54,7,Kyle Trask,TB,43,81,54.5,11.3
55,7,Brandon Allen,FA,44,64,52.4,5.5
56,7,Mason Rudolph,PIT,39,80,55.1,12.8
57,7,Nick Foles,IND,46,66,53.0,6.2
58,7,C.J. Beathard,JAC,52,70,58.0,5.2
59,7,Kyle Allen,HOU,43,65,55.2,6.3
60,7,Nick Mullens,MIN,49,72,58.9,7.3
61,7,Trevor Siemian,CHI,48,67,58.1,6.5
62,7,Mike White,NYJ,38,82,61.6,14.9
63,7,Chase Daniel,LAC,46,69,57.2,6.7
64,7,Brian Hoyer,NE,52,63,57.6,3.4
65,7,Cooper Rush,DAL,43,65,50.1,6.8
66,7,Jarrett Stidham,LV,50,77,60.3,6.8
67,8,Bailey Zappe,NE,54,94,70.0,13.3
68,8,PJ Walker,CAR,48,81,64.4,11.0
69,8,Brett Rypien,DEN,52,78,64.8,8.4
70,8,Sam Ehlinger,IND,56,84,71.5,9.5
71,8,Tim Boyle,FA,59,74,63.0,5.1
72,8,Kellen Mond,CLE,53,78,63.7,9.0
73,8,Nate Sudfeld,DET,57,78,65.3,8.3
74,8,Cam Newton,FA,46,51,48.5,2.1
75,8,Josh Johnson,DEN,52,70,59.6,6.7
76,8,Joshua Dobbs,CLE,42,102,67.3,17.9
77,8,Logan Woodside,TEN,63,80,68.4,6.2
78,8,Sean Mannion,SEA,62,92,73.6,10.4
79,8,Carson Strong,FA,49,74,59.0,10.8
80,8,Bryce Perkins,LAR,71,87,77.6,6.0
81,8,Feleipe Franks,ATL,68,91,78.4,8.9
82,8,Matt Barkley,BUF,73,87,79.0,5.0
83,8,Easton Stick,LAC,72,93,79.6,7.2
84,8,Ian Book,PHI,69,92,79.8,9.7
85,8,Jake Browning,CIN,48,91,76.5,16.7
86,8,David Blough,FA,68,99,81.4,11.3
87,8,Will Grier,DAL,67,92,77.0,9.2
88,8,Josh Rosen,CLE,71,79,75.0,3.3
89,9,Jacob Eason,CAR,73,98,81.8,9.7
90,9,Nathan Peterman,CHI,76,93,83.8,6.2
91,9,Skylar Thompson,MIA,68,100,84.0,11.8
92,9,Trace McSorley,ARI,75,89,84.0,5.5
93,9,Shane Buechele,KC,71,94,80.7,9.7
94,9,Davis Webb,NYG,73,95,86.5,8.2
95,9,Jeff Driskel,HOU,72,109,88.8,14.4
96,9,Brock Purdy,SF,77,106,88.5,10.7
97,9,Reid Sinnett,PHI,76,108,89.0,13.7
98,9,Jack Coan,FA,62,103,82.5,20.5
99,9,Danny Etling,GB,76,96,86.0,10.0
100,9,Anthony Brown,BAL,87,96,91.3,3.7
101,9,John Lovett,MIA,86,107,96.5,10.5
102,9,Chase Garbers,LV,90,104,97.0,7.0
103,9,E.J. Perry,JAC,97,111,104.0,7.0
