"PPR_POS_RK",PPR_POS_TIERS,"PLAYER NAME",TEAM,"PPR_FAN PTS","REC_TGT","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"165",11,"Shi Smith",CAR,"16.1","11","6","104","0","1","-3","0"
"166",11,"KhaDarel Hodge",ATL,"30.7","27","13","157","0","0","0","0"
"167",11,"Dezmon Patmon",IND,"10.1","4","2","21","1","0","0","0"
"168",11,"Lance McCutcheon",LAR,"0","0","0","0","0","0","0","0"
"169",11,"Auden Tate",FA,"12.9","4","3","39","1","0","0","0"
"170",11,"Tyrell Williams",FA,"3.4","3","2","14","0","0","0","0"
"171",11,"DeSean Jackson",FA,"75.8","34","20","454","2","1","4","0"
"172",11,"Tajae Sharpe",CHI,"48","37","25","230","0","0","0","0"
"173",11,"Montrell Washington",DEN,"0","0","0","0","0","0","0","0"
"174",11,"Trent Sherfield",MIA,"23.7","20","9","87","1","0","0","0"
"175",11,"Mike Strachan",IND,"4.6","3","2","26","0","0","0","0"
"176",11,"Jeff Smith",NYJ,"19.2","17","8","113","0","1","-1","0"
"177",11,"Preston Williams",FA,"13.8","16","6","71","0","1","7","0"
"178",11,"Dante Pettis",CHI,"25.34","16","10","87","1","0","0","0"
"179",11,"Greg Dortch",ARI,"6.9","3","3","15","0","1","24","0"
"180",11,"Bo Melton",SEA,"0","0","0","0","0","0","0","0"
"181",11,"Justyn Ross",KC,"0","0","0","0","0","0","0","0"
"182",11,"Tyron Johnson",LV,"3.6","5","2","16","0","0","0","0"
"183",11,"Mike Thomas",CIN,"10.2","11","5","52","0","0","0","0"
"184",11,"Jalen Nailor",MIN,"0","0","0","0","0","0","0","0"
"185",11,"Kendall Hinton",DEN,"38.54","23","15","175","1","0","0","0"
"186",11,"Richie James Jr.",NYG,"0","0","0","0","0","0","0","0"
"187",11,"Andy Isabella",ARI,"2.3","1","1","13","0","0","0","0"
"188",11,"Marquise Goodwin",SEA,"57.2","40","20","313","1","2","-1","0"
"189",11,"Stanley Morgan Jr.",CIN,"3.4","4","2","11","0","1","3","0"
"190",11,"Cyril Grayson Jr.",FA,"44.6","12","10","212","2","1","14","0"
"191",11,"Gunner Olszewski",PIT,"6","3","2","31","0","1","9","0"
"192",11,"Trent Taylor",CIN,"6.1","3","2","41","0","0","0","0"
"193",12,"Lil'Jordan Humphrey",NE,"49.9","18","13","249","2","0","0","0"
"194",12,"Lynn Bowden Jr.",NE,"0","0","0","0","0","0","0","0"
"195",12,"Samori Toure",GB,"0","0","0","0","0","0","0","0"
"196",12,"Josh Gordon",TEN,"14.2","14","5","32","1","0","0","0"
"197",12,"Jody Fortson",KC,"0","0","0","0","0","0","0","0"
"198",12,"Jake Kumerow",BUF,"4.8","6","2","28","0","0","0","0"
"199",12,"Brandon Zylstra",FA,"49","25","18","250","1","0","0","0"
"200",12,"Travis Fulgham",GB,"0","0","0","0","0","0","0","0"
"201",12,"Andre Roberts",CAR,"8.4","2","1","35","0","3","19","0"
"202",12,"Marcus Johnson",FA,"24.8","19","9","160","0","2","-2","0"
"203",12,"Seth Williams",FA,"4.4","1","1","34","0","0","0","0"
"204",12,"Penny Hart",SEA,"12.9","12","7","59","0","0","0","0"
"205",12,"Dax Milne",WAS,"15.4","14","9","83","0","1","1","0"
"206",12,"Racey McMath",TEN,"0.8","6","2","8","0","0","0","0"
"207",12,"Malik Turner",SF,"44.9","16","12","149","3","0","0","0"
"208",12,"C.J. Board",NYG,"9.7","6","4","51","0","1","6","0"
"209",12,"Dennis Houston",DAL,"0","0","0","0","0","0","0","0"
"210",12,"David Sills V",NYG,"3.7","6","2","17","0","0","0","0"
"211",12,"Keke Coutee",IND,"1.5","1","1","5","0","0","0","0"
"212",12,"Brandon Powell",LAR,"6","0","0","0","0","0","0","0"
"213",12,"Cody Hollister",TEN,"7.3","7","4","33","0","0","0","0"
"214",12,"Juwann Winfree",FA,"11.8","13","8","58","0","0","0","0"
"215",12,"Cameron Batson",ATL,"11","5","2","15","1","2","15","0"
"216",12,"Tim Jones",JAC,"0","0","0","0","0","0","0","0"
"217",12,"Dareke Young",SEA,"0","0","0","0","0","0","0","0"
"218",12,"Cornell Powell",KC,"0","0","0","0","0","0","0","0"
"219",12,"Chester Rogers",FA,"65","43","30","301","1","1","9","0"
"220",12,"Kristian Wilkerson",NE,"20.2","8","4","42","2","0","0","0"
"221",12,"DJ Turner",LV,"0","0","0","0","0","0","0","0"
"222",12,"Nsimba Webster",CHI,"0","0","0","0","0","0","0","0"
"223",12,"Jaylon Moore",NYG,"0","0","0","0","0","0","0","0"
"224",12,"Britain Covey",PHI,"0","0","0","0","0","0","0","0"
"225",12,"Tom Kennedy",DET,"18.4","10","6","54","0","0","0","0"
"226",12,"KaVontae Turpin",DAL,"0","0","0","0","0","0","0","0"
"227",12,"Greg Ward",PHI,"34.58","11","7","95","3","0","0","0"
"228",12,"Mohamed Sanu Sr.",FA,"32.7","24","15","177","0","0","0","0"
"229",12,"Kirk Merritt",NO,"2.3","3","1","13","0","0","0","0"
"230",12,"Frank Darby",ATL,"2.4","4","1","14","0","0","0","0"
"231",12,"Tanner Gentry",BUF,"0","0","0","0","0","0","0","0"
"232",12,"Jason Moore Jr.",LAC,"8.6","4","3","56","0","0","0","0"
"233",12,"Alex Erickson",WAS,"8.5","4","3","55","0","0","0","0"
"234",12,"Marquez Stevenson",BUF,"0","0","0","0","0","0","0","0"
"235",12,"Steven Sims Jr.",PIT,"0","0","0","0","0","0","0","0"
"236",12,"Ja'Marcus Bradley",FA,"10.4","4","4","64","0","0","0","0"
"237",13,"Lawrence Cager",NYJ,"0","0","0","0","0","0","0","0"
"238",13,"Joe Reed",LAC,"0","0","0","0","0","0","0","0"
"239",13,"Albert Wilson",FA,"48","39","25","213","0","4","17","0"
"240",13,"Trenton Irwin",CIN,"5.4","5","2","34","0","0","0","0"
"241",13,"Javon Wims",FA,"0","0","0","0","0","0","0","0"
"242",13,"Trinity Benson",FA,"20.3","22","10","103","0","0","0","0"
"243",13,"Jalen Virgil",DEN,"0","0","0","0","0","0","0","0"
"244",13,"Kevin Austin Jr.",JAC,"0","0","0","0","0","0","0","0"
"245",13,"Geronimo Allison",FA,"0","2","0","0","0","0","0","0"
"246",13,"Cody White",PIT,"8.3","6","5","33","0","0","0","0"
"247",13,"Charleston Rambo",FA,"0","0","0","0","0","0","0","0"
"248",13,"Malik Taylor",GB,"1.4","3","2","14","0","0","0","0"
"249",13,"Michael Woods II",FA,"0","0","0","0","0","0","0","0"
"250",13,"Tyler Vaughns",FA,"0","0","0","0","0","0","0","0"
"251",13,"Kwamie Lassiter II",CIN,"0","0","0","0","0","0","0","0"
"252",13,"Johnny Johnson III",HOU,"0","0","0","0","0","0","0","0"
"253",13,"Michael Bandy",LAC,"0","0","0","0","0","0","0","0"
"254",13,"Binjimen Victor",BAL,"0","0","0","0","0","0","0","0"
"255",13,"Tyrie Cleveland",DEN,"0","1","0","0","0","0","0","0"
"256",13,"Dazz Newsome",FA,"4.3","5","2","23","0","0","0","0"
"257",13,"Isaiah Coulter",CHI,"0","1","0","0","0","0","0","0"
"258",13,"Marken Michel",WAS,"0","0","0","0","0","0","0","0"
"259",13,"Jared Bernhardt",ATL,"0","0","0","0","0","0","0","0"
"260",13,"Cody Thompson",SEA,"0","0","0","0","0","0","0","0"
"261",13,"Brandon Johnson",DEN,"0","0","0","0","0","0","0","0"
"262",13,"Tre Nixon",NE,"0","0","0","0","0","0","0","0"
"263",13,"Reggie Roberson Jr.",FA,"0","0","0","0","0","0","0","0"
"264",13,"Devon Allen",PHI,"0","0","0","0","0","0","0","0"
"265",13,"Makai Polk",BAL,"0","0","0","0","0","0","0","0"
"266",13,"T.J. Vasher",FA,"0","0","0","0","0","0","0","0"
"267",13,"Isaiah Weston",FA,"0","0","0","0","0","0","0","0"
"268",13,"River Cracraft",MIA,"0","0","0","0","0","0","0","0"
"269",13,"Jontre Kirklin",ARI,"0","0","0","0","0","0","0","0"
"270",13,"J.J. Arcega-Whiteside",SEA,"5.6","5","2","36","0","0","0","0"
"271",13,"D.J. Montgomery",FA,"6.6","6","3","36","0","0","0","0"
"272",13,"Christian Blake",FA,"6.5","10","4","25","0","0","0","0"
"273",13,"KeeSean Johnson",FA,"0","0","0","0","0","0","0","0"
"274",13,"Dan Chisena",MIN,"0","0","0","0","0","0","0","0"
"275",13,"Kyric McGowan",WAS,"0","0","0","0","0","0","0","0"
"276",13,"Matthew Slater",NE,"0","0","0","0","0","0","0","0"
"277",13,"Mason Kinsey",TEN,"0","0","0","0","0","0","0","0"
"278",13,"DeMichael Harris",FA,"0","0","0","0","0","0","0","0"
"279",13,"Jalen Camp",HOU,"0","0","0","0","0","0","0","0"
"280",13,"Drew Estrada",HOU,"0","0","0","0","0","0","0","0"
"281",13,"Devin Funchess",FA,"0","0","0","0","0","0","0","0"
"282",14,"Tanner Conner",MIA,"0","0","0","0","0","0","0","0"
"283",14,"JaVonta Payton",FA,"0","0","0","0","0","0","0","0"
"284",14,"Rashid Shaheed",NO,"0","0","0","0","0","0","0","0"
"285",14,"Alex Bachman",FA,"-0.3","0","0","0","0","1","-3","0"
"286",14,"Tarik Black",NYJ,"2","2","1","10","0","0","0","0"
"287",14,"Deven Thompkins",TB,"0","0","0","0","0","0","0","0"
