"PPR_POS_RK",PPR_POS_TIERS,"PLAYER NAME",TEAM,"PPR_FAN PTS","REC_TGT","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"124",9,"Richard Rodgers",FA,"3.1","2","2","11","0","0","0","0"
"125",9,"Derrick Deese Jr.",DET,"0","0","0","0","0","0","0","0"
"126",10,"Quintin Morris",BUF,"0","0","0","0","0","0","0","0"
"127",10,"Jordan Franks",KC,"0","0","0","0","0","0","0","0"
"128",10,"Dalton Keene",FA,"0","0","0","0","0","0","0","0"
"129",10,"Jesper Horsted",LV,"16.1","3","2","21","2","0","0","0"
"130",10,"Peyton Hendershot",DAL,"0","0","0","0","0","0","0","0"
"131",10,"Austin Allen",NYG,"0","0","0","0","0","0","0","0"
"132",10,"Tanner Hudson",FA,"0","0","0","0","0","0","0","0"
"133",10,"Ko Kieft",TB,"0","0","0","0","0","0","0","0"
"134",10,"Jared Pinkney",LAR,"0","0","0","0","0","0","0","0"
"135",10,"Dominique Dafney",FA,"5.4","4","2","34","0","0","0","0"
"136",10,"Garrett Griffin",DET,"7.9","4","4","39","0","0","0","0"
"137",10,"Curtis Hodges",WAS,"0","0","0","0","0","0","0","0"
"138",10,"J.P. Holtz",NO,"0","0","0","0","0","0","0","0"
"139",10,"Jeremy Sprinkle",FA,"6.1","3","3","31","0","0","0","0"
"140",10,"Kenny Yeboah",NYJ,"5.6","3","2","36","0","0","0","0"
"141",10,"Nick Bowers",CIN,"0","0","0","0","0","0","0","0"
"142",10,"Jace Sternberger",FA,"0","0","0","0","0","0","0","0"
"143",10,"Giovanni Ricci",CAR,"0","2","0","0","0","0","0","0"
"144",10,"Tyler Mabry",SEA,"0","0","0","0","0","0","0","0"
"145",10,"Noah Togiai",PHI,"0","0","0","0","0","0","0","0"
"146",10,"David Wells",FA,"0","0","0","0","0","0","0","0"
"147",10,"Jake Tonges",CHI,"0","0","0","0","0","0","0","0"
