PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_BEST,PPR_WORST,PPR_AVG.,PPR_STD.DEV
1,1,Christian McCaffrey,CAR,1,15,1.6,1.7
2,1,Jonathan Taylor,IND,1,4,2.1,0.7
3,1,Austin Ekeler,LAC,1,12,3.5,1.7
4,1,Dalvin Cook,MIN,2,21,6.3,3.2
5,2,Justin Jefferson,MIN,2,11,7.2,2.3
6,2,Cooper Kupp,LAR,3,13,8.3,2.4
7,2,Najee Harris,PIT,2,27,9.3,5.4
8,2,Derrick Henry,TEN,1,27,10.1,6.2
9,2,Travis Kelce,KC,9,30,10.8,3.9
10,2,Joe Mixon,CIN,2,25,11.2,5.3
11,2,D'Andre Swift,DET,3,32,11.3,6.0
12,2,Ja'Marr Chase,CIN,4,22,11.3,2.6
13,3,Stefon Diggs,BUF,8,23,13.2,2.3
14,3,Davante Adams,LV,10,24,14.3,2.4
15,3,Alvin Kamara,NO,4,31,14.3,6.0
16,3,Saquon Barkley,NYG,3,38,14.6,7.3
17,3,Aaron Jones,GB,5,32,16.0,5.6
18,3,CeeDee Lamb,DAL,11,28,16.9,3.1
19,3,Leonard Fournette,TB,5,38,19.7,6.5
20,3,Mark Andrews,BAL,9,30,20.3,4.4
21,4,Tyreek Hill,MIA,17,37,24.0,4.4
22,4,Mike Evans,TB,13,42,24.4,5.0
23,4,Javonte Williams,DEN,7,60,25.0,7.3
24,4,Keenan Allen,LAC,17,47,25.3,6.1
25,4,Deebo Samuel,SF,14,46,26.7,6.6
26,4,Michael Pittman Jr.,IND,17,53,26.8,6.8
27,4,Nick Chubb,CLE,12,41,28.6,5.3
28,4,Tee Higgins,CIN,20,53,29.3,6.2
29,4,A.J. Brown,PHI,17,65,29.3,7.7
30,4,James Conner,ARI,18,50,31.1,6.3
31,4,Kyle Pitts,ATL,9,62,31.2,10.3
32,4,DJ Moore,CAR,20,61,32.3,8.8
33,4,Ezekiel Elliott,DAL,16,60,34.1,8.4
34,4,Josh Allen,BUF,35,45,36.4,1.4
35,4,Travis Etienne Jr.,JAC,16,68,37.3,9.1
36,5,Diontae Johnson,PIT,22,61,37.8,9.1
37,5,David Montgomery,CHI,16,81,41.9,10.6
38,5,Jaylen Waddle,MIA,20,83,42.0,11.0
39,5,Mike Williams,LAC,22,76,42.8,10.7
40,5,Courtland Sutton,DEN,22,77,43.0,12.9
41,5,Breece Hall,NYJ,18,73,43.9,11.0
42,5,Terry McLaurin,WAS,23,75,44.5,9.9
43,5,Justin Herbert,LAC,36,78,45.5,8.9
44,5,Brandin Cooks,HOU,27,72,46.4,9.7
45,5,Allen Robinson II,LAR,26,96,50.1,12.3
46,5,Cam Akers,LAR,27,90,50.5,13.7
47,5,Patrick Mahomes II,KC,37,85,50.6,11.1
48,5,AJ Dillon,GB,27,81,51.8,10.7
49,5,George Kittle,SF,30,86,52.0,8.9
50,5,Lamar Jackson,BAL,40,79,52.9,10.8
51,5,DK Metcalf,SEA,27,80,53.9,11.3
52,6,Elijah Mitchell,SF,35,88,55.5,11.2
53,6,Darren Waller,LV,30,93,56.0,10.0
54,6,Josh Jacobs,LV,29,94,56.2,12.7
55,6,Marquise Brown,ARI,26,98,57.7,13.6
56,6,J.K. Dobbins,BAL,27,92,58.2,14.0
57,6,Darnell Mooney,CHI,39,103,58.8,10.8
58,6,Chase Edmonds,MIA,25,116,59.3,16.2
59,6,Amon-Ra St. Brown,DET,28,107,62.8,13.6
60,6,Jerry Jeudy,DEN,34,103,62.8,12.1
61,6,Michael Thomas,NO,24,122,63.1,17.4
62,6,Rashod Bateman,BAL,39,107,63.1,13.7
63,6,Antonio Gibson,WAS,32,116,64.3,17.8
64,6,Chris Godwin,TB,28,109,64.5,17.6
65,6,Kyler Murray,ARI,36,93,64.9,12.8
66,6,Dalton Schultz,DAL,30,102,64.9,13.1
67,6,Jalen Hurts,PHI,40,101,66.5,13.5
68,6,JuJu Smith-Schuster,KC,39,122,67.3,16.9
69,6,Clyde Edwards-Helaire,KC,41,115,69.8,12.7
70,6,Amari Cooper,CLE,33,107,71.8,16.4
71,6,Kareem Hunt,CLE,41,114,72.8,13.3
