"PPR_POS_RK",PPR_POS_TIERS,"PLAYER NAME",TEAM,"PPR_FAN PTS","RUSH_ATT","RUSH_YDS","RUSH_TDS","REC_TGT","REC","REC_YDS","REC_TDS"
"107",10,"Benny Snell Jr.",PIT,"13.1","36","98","0","4","2","13","0"
"108",10,"Latavius Murray",FA,"103.6","119","501","6","13","10","75","0"
"109",10,"Brandon Bolden",LV,"124.1","44","226","1","49","41","405","2"
"110",10,"Devontae Booker",FA,"144.1","145","593","2","45","40","268","1"
"111",10,"Devonta Freeman",FA,"146.6","133","576","5","42","34","190","1"
"112",10,"Craig Reynolds",DET,"35.2","55","230","0","8","7","52","0"
"113",10,"Trestan Ebner",CHI,"0","0","0","0","0","0","0","0"
"114",10,"Wayne Gallman Jr.",FA,"13.5","28","104","0","3","1","21","0"
"115",10,"Tony Jones Jr.",NO,"22.1","54","142","0","8","5","29","0"
"116",10,"Mike Boone",DEN,"7.7","4","35","0","2","2","22","0"
"117",10,"Anthony McFarland Jr.",PIT,"2.4","3","3","0","1","1","11","0"
"118",10,"Kylin Hill",GB,"3.9","10","24","0","2","1","5","0"
"119",10,"Ty Chandler",MIN,"0","0","0","0","0","0","0","0"
"120",10,"Demetric Felton Jr.",CLE,"50.5","7","24","0","21","18","181","2"
"121",10,"Larry Rountree III",FA,"15.6","36","87","1","2","1","-1","0"
"122",10,"Justice Hill",BAL,"0","0","0","0","0","0","0","0"
"123",10,"Kyle Juszczyk",SF,"73.8","8","22","1","38","30","296","1"
"124",10,"Abram Smith",FA,"0","0","0","0","0","0","0","0"
"125",10,"Dare Ogunbowale",HOU,"50.1","43","137","1","21","13","114","1"
"126",10,"Jermar Jefferson",FA,"25.7","15","74","2","5","4","23","0"
"127",10,"Rico Dowdle",DAL,"0","0","0","0","0","0","0","0"
"128",10,"Derrick Gore",FA,"56.1","51","256","2","9","8","105","0"
"129",10,"JaMycal Hasty",JAC,"49.5","16","68","1","29","23","157","0"
"130",10,"Jake Funk",LAR,"0.5","2","5","0","0","0","0","0"
"131",11,"Kevin Harris",NE,"0","0","0","0","0","0","0","0"
"132",11,"Gary Brightwell",NYG,"2","1","4","0","1","1","6","0"
"133",11,"Jordan Mason",SF,"0","0","0","0","0","0","0","0"
"134",11,"Jordan Howard",FA,"62.5","86","406","3","5","2","19","0"
"135",11,"Royce Freeman",HOU,"34.6","56","169","0","16","10","77","0"
"136",11,"Kennedy Brooks",PHI,"0","0","0","0","0","0","0","0"
"137",11,"Carlos Hyde",FA,"45.8","72","253","1","22","12","65","0"
"138",11,"Jeremy McNichols",PIT,"73.6","41","156","0","38","28","240","1"
"139",11,"C.J. Ham",MIN,"32.9","7","34","0","18","17","125","0"
"140",11,"Qadree Ollison",DAL,"19.7","21","105","1","6","4","12","0"
"141",11,"Deon Jackson",IND,"9.1","13","31","1","0","0","0","0"
"142",11,"Trayveon Williams",FA,"6.5","15","51","0","2","1","4","0"
"143",11,"Patrick Ricard",BAL,"20.7","2","4","0","13","8","63","1"
"144",11,"Tarik Cohen",FA,"0","0","0","0","0","0","0","0"
"145",11,"Jashaun Corbin",NYG,"0","0","0","0","0","0","0","0"
"146",11,"Julius Chestnut",TEN,"0","0","0","0","0","0","0","0"
"147",11,"Zonovan Knight",NYJ,"0","0","0","0","0","0","0","0"
"148",11,"Keith Smith",ATL,"17.7","9","31","0","10","9","56","0"
"149",11,"Le'Veon Bell",FA,"38.1","39","101","2","7","5","30","1"
"150",11,"Antonio Williams",NYG,"0","0","0","0","0","0","0","0"
"151",11,"Sincere McCormick",LV,"0","0","0","0","0","0","0","0"
"152",11,"Godwin Igwebuike",FA,"18","18","118","1","10","7","60","0"
"153",11,"Patrick Taylor Jr.",GB,"17.2","23","89","1","2","2","3","0"
"154",11,"Jonathan Williams",WAS,"20.7","17","79","1","6","4","28","0"
"155",11,"Jonathan Ward",ARI,"9.7","9","33","0","4","3","34","0"
"156",11,"Ty'Son Williams",FA,"41.9","35","185","1","12","9","84","0"
"157",11,"Jerrion Ealy",KC,"0","0","0","0","0","0","0","0"
"158",11,"Dwayne Washington",FA,"4.8","4","16","0","2","2","12","0"
"159",11,"J.J. Taylor",NE,"18.5","19","37","2","4","4","8","0"
"160",11,"Alec Ingold",MIA,"24.6","2","1","0","12","10","85","1"
"161",11,"La'Mical Perine",PHI,"3.1","8","31","0","0","0","0","0"
"162",12,"Jakob Johnson",LV,"8.3","0","0","0","5","4","43","0"
"163",12,"Kalen Ballage",FA,"6.4","12","36","0","7","2","8","0"
"164",12,"Khari Blasingame",CHI,"1","3","6","0","2","2","4","0"
"165",12,"Ryquell Armstead",FA,"12.6","15","80","0","4","3","16","0"
"166",12,"Michael Burton",KC,"14.7","8","26","1","3","3","31","0"
"167",12,"Derek Watt",PIT,"4.6","1","1","0","3","3","15","0"
"168",12,"Alex Collins",FA,"68.8","108","411","2","10","9","87","0"
"169",12,"Jonathan Ward",FA,"0","0","0","0","0","0","0","0"
"170",12,"John Kelly Jr.",CLE,"1.3","2","13","0","0","0","0","0"
"171",12,"Jason Huntley",FA,"5.1","13","51","0","1","0","0","0"
"172",12,"Caleb Huntley",ATL,"0","0","0","0","0","0","0","0"
"173",12,"Tory Carter",TEN,"0","0","0","0","1","0","0","0"
"174",12,"Devine Ozigbo",DEN,"1.4","1","-3","0","1","1","7","0"
"175",12,"Reggie Gilliam",BUF,"5.6","3","3","0","5","3","23","0"
"176",12,"Zander Horvath",LAC,"0","0","0","0","0","0","0","0"
"177",12,"Tyler Goodson",GB,"0","0","0","0","0","0","0","0"
"178",12,"Javian Hawkins",TEN,"0","0","0","0","0","0","0","0"
"179",12,"D'Vonte Price",IND,"0","0","0","0","0","0","0","0"
"180",12,"Taiwan Jones",BUF,"0","0","0","0","0","0","0","0"
"181",12,"Adam Prentice",NO,"5.1","3","5","0","3","3","16","0"
"182",12,"Jalen Richard",FA,"23.2","9","40","0","14","12","72","0"
"183",12,"ZaQuandre White",MIA,"0","0","0","0","0","0","0","0"
"184",12,"Jordan Wilkins",FA,"0","0","0","0","0","0","0","0"
"185",12,"Darius Bradwell",FA,"0","0","0","0","1","0","0","0"
"186",12,"Mataeo Durant",FA,"0","0","0","0","0","0","0","0"
"187",12,"Trenton Cannon",TEN,"-1.6","3","4","0","0","0","0","0"
"188",12,"Kenjon Barner",TB,"0","4","0","0","0","0","0","0"
"189",12,"Adrian Peterson",FA,"26.6","38","98","2","4","4","8","0"
"190",12,"Raheem Blackshear",BUF,"0","0","0","0","0","0","0","0"
"191",12,"Aaron Shampklin",FA,"0","0","0","0","0","0","0","0"
"192",12,"Gabe Nabers",FA,"5.5","3","8","0","3","3","17","0"
"193",12,"Chad Simpson",WAS,"0","0","0","0","0","0","0","0"
"194",12,"Pooka Williams Jr.",FA,"0","0","0","0","0","0","0","0"
"195",12,"Max Borghi",FA,"0","0","0","0","0","0","0","0"
"196",12,"Greg Bell",FA,"0","0","0","0","0","0","0","0"
"197",12,"Brittain Brown",LV,"0","0","0","0","0","0","0","0"
"198",13,"Xavier Jones",FA,"0","0","0","0","0","0","0","0"
"199",13,"Peyton Barber",FA,"49.9","55","212","2","13","10","67","0"
"200",13,"Malik Davis",DAL,"0","0","0","0","0","0","0","0"
"201",13,"John Lovett",CAR,"0","0","0","0","0","0","0","0"
"202",13,"Kerryon Johnson",FA,"0","0","0","0","0","0","0","0"
"203",13,"Mekhi Sargent",JAC,"1.1","5","11","0","1","0","0","0"
"204",13,"Ronnie Rivers",FA,"0","0","0","0","0","0","0","0"
"205",13,"Nate McCrary",FA,"-0.1","1","-1","0","0","0","0","0"
"206",13,"Zonovan Knight",NYJ,"0","0","0","0","0","0","0","0"
"207",13,"Nathan Cottrell",FA,"0.3","1","3","0","0","0","0","0"
"208",13,"Sandro Platzgummer",NYG,"0","0","0","0","0","0","0","0"
"209",13,"Josh Johnson",SEA,"0","0","0","0","0","0","0","0"
