PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_POS_BEST,PPR_POS_WORST,PPR_POS_AVG.,PPR_POS_STD.DEV
1,1,Travis Kelce,KC,1,3,1.1,0.3
2,1,Mark Andrews,BAL,1,3,2.1,0.4
3,1,Kyle Pitts,ATL,1,5,3.0,0.8
4,2,George Kittle,SF,3,7,4.5,0.9
5,2,Darren Waller,LV,3,9,5.1,1.0
6,2,Dalton Schultz,DAL,3,10,5.9,1.3
7,2,Dallas Goedert,PHI,5,12,7.6,1.5
8,2,T.J. Hockenson,DET,5,12,8.0,1.4
9,2,Zach Ertz,ARI,6,14,9.3,1.5
10,3,Cole Kmet,CHI,7,20,11.2,2.6
11,3,Pat Freiermuth,PIT,8,16,11.6,2.1
12,3,Dawson Knox,BUF,6,20,11.8,2.8
13,3,Hunter Henry,NE,11,38,16.0,3.6
14,3,Irv Smith Jr.,MIN,10,28,16.4,3.8
15,3,Mike Gesicki,MIA,10,28,16.7,4.0
16,3,Albert Okwuegbunam,DEN,10,27,17.2,3.9
17,3,David Njoku,CLE,9,36,17.7,5.1
18,3,Noah Fant,SEA,12,32,18.5,4.3
19,4,Gerald Everett,LAC,13,31,19.5,3.9
20,4,Tyler Higbee,LAR,9,27,19.9,3.4
21,4,Robert Tonyan,GB,12,31,20.5,4.2
22,4,Austin Hooper,TEN,11,37,21.7,4.5
23,4,Evan Engram,JAC,12,39,21.1,4.8
24,4,Logan Thomas,WAS,13,35,24.0,4.4
25,4,Hayden Hurst,CIN,14,37,24.3,4.2
26,4,Brevin Jordan,HOU,13,65,25.7,6.0
27,4,Mo Alie-Cox,IND,17,40,28.0,5.0
28,4,Jonnu Smith,NE,21,40,29.4,3.9
29,4,Adam Trautman,NO,23,48,31.0,5.3
30,4,C.J. Uzomah,NYJ,22,58,33.1,5.5
31,5,Dan Arnold,JAC,23,59,33.6,5.5
32,5,Cameron Brate,TB,21,43,30.4,4.7
33,5,Trey McBride,ARI,27,57,35.5,5.6
34,5,Kyle Rudolph,TB,19,55,34.5,6.5
35,5,Tyler Conklin,NYJ,23,59,33.2,5.6
36,5,O.J. Howard,FA,26,59,37.9,7.6
37,5,Greg Dulcich,DEN,20,49,36.2,5.7
38,5,Isaiah Likely,BAL,18,59,34.8,8.6
39,5,Daniel Bellinger,NYG,21,82,33.6,8.1
40,5,Harrison Bryant,CLE,26,47,36.3,5.3
41,6,Tommy Tremble,CAR,29,52,38.1,4.8
42,6,Donald Parham Jr.,LAC,31,61,41.0,5.9
43,6,Foster Moreau,LV,30,66,41.8,7.3
44,6,Jelani Woods,IND,29,66,43.0,7.6
