"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"70",6,"Rachaad White",TB,"RB23","41","99","70.6","14.7","-4"
"71",6,"George Kittle",SF,"TE5","30","133","71.0","14.1","-22"
"72",7,"Cam Akers",LAR,"RB24","37","125","72.7","14.6","-10"
"73",7,"George Pickens",PIT,"WR36","37","120","73.0","12.6","+8"
"74",7,"Jordan Addison",MIN,"WR37","43","123","74.8","14.7","+18"
"75",7,"Dallas Goedert",PHI,"TE6","51","106","75.0","10.7","-15"
"76",7,"Kyle Pitts",ATL,"TE7","48","133","76.5","14.1","-19"
"77",7,"James Cook",BUF,"RB25","31","121","77.3","15.8","-3"
"78",7,"Alvin Kamara",NO,"RB26","33","115","78.0","15.9","-20"
"79",7,"Javonte Williams",DEN,"RB27","28","121","78.7","17.0","-10"
"80",7,"Brandin Cooks",DAL,"WR38","56","119","80.0","11.8","+10"
"81",7,"David Montgomery",DET,"RB28","42","100","81.6","11.1","+2"
"82",7,"Courtland Sutton",DEN,"WR39","40","131","81.8","15.0","+18"
"83",7,"Gabe Davis",BUF,"WR40","56","134","82.0","16.5","+19"
"84",7,"Jaxon Smith-Njigba",SEA,"WR41","44","156","83.1","17.6","+10"
"85",7,"D'Andre Swift",PHI,"RB29","41","130","86.6","15.0","-15"
"86",7,"Treylon Burks",TEN,"WR42","60","131","87.8","17.1","+18"
"87",7,"Dalvin Cook",NYJ,"RB30","38","168","90.2","18.8","-22"
"88",7,"Zay Flowers",BAL,"WR43","42","343","90.3","30.0","+24"
"89",7,"Isiah Pacheco",KC,"RB31","54","128","90.3","12.5","-16"
"90",7,"JuJu Smith-Schuster",NE,"WR44","61","166","91.2","18.0","+11"
"91",7,"Michael Thomas",NO,"WR45","44","140","93.2","17.0","+8"
"92",7,"Elijah Moore",CLE,"WR46","60","195","93.3","18.5","+53"
"93",7,"Deshaun Watson",CLE,"QB9","50","162","94.8","16.8","-16"
"94",7,"Antonio Gibson",WAS,"RB32","68","127","94.9","11.4","+13"
"95",8,"Dak Prescott",DAL,"QB10","64","139","99.2","14.5","-11"
"96",8,"Evan Engram",JAC,"TE8","53","142","99.5","14.0","-18"
"97",8,"Khalil Herbert",CHI,"RB33","70","155","100.4","14.9","-2"
"98",8,"Jakobi Meyers",LV,"WR47","63","149","101.1","17.0","+46"
"99",8,"Tua Tagovailoa",MIA,"QB11","55","146","102.3","14.0","-12"
"100",8,"Quentin Johnston",LAC,"WR48","57","205","102.4","22.9","+18"
"101",8,"Pat Freiermuth",PIT,"TE9","62","138","102.6","15.4","-10"
"102",8,"Daniel Jones",NYG,"QB12","55","159","102.7","15.2","+14"
"103",8,"AJ Dillon",GB,"RB34","81","138","103.6","10.5","-14"
"104",8,"Rashod Bateman",BAL,"WR49","52","203","104.5","24.7","+46"
"105",8,"Skyy Moore",KC,"WR50","67","261","105.1","28.9","+22"
"106",8,"Kirk Cousins",MIN,"QB13","84","143","107.7","11.1","-1"
"107",8,"Brian Robinson Jr.",WAS,"RB35","81","177","108.0","12.9","-4"
"108",8,"Samaje Perine",DEN,"RB36","83","168","109.6","15.0","+3"
"109",8,"Geno Smith",SEA,"QB14","84","148","110.6","12.4","+8"
"110",8,"Kadarius Toney",KC,"WR51","63","196","112.8","24.3","+4"
"111",8,"Anthony Richardson",IND,"QB15","50","193","114.6","22.1","+2"
"112",8,"Zach Charbonnet",SEA,"RB37","65","227","114.9","20.0","-2"
"113",8,"Nico Collins",HOU,"WR52","67","186","115.0","20.3","+59"
"114",8,"David Njoku",CLE,"TE10","73","183","115.9","16.9","-32"
"115",8,"Jerick McKinnon",KC,"RB38","66","181","119.0","18.9","+5"
"116",8,"Allen Lazard",NYJ,"WR53","73","196","120.2","19.3","+20"
"117",8,"Aaron Rodgers",NYJ,"QB16","84","168","120.7","14.9","-21"
"118",8,"Romeo Doubs",GB,"WR54","65","195","121.8","23.9","+51"
"119",8,"Jamaal Williams",NO,"RB39","84","181","122.5","16.5","-22"
"120",8,"Zay Jones",JAC,"WR55","65","208","123.4","21.6","+47"
"121",8,"Tyler Boyd",CIN,"WR56","73","195","123.6","17.7","+31"
"122",8,"Rondale Moore",ARI,"WR57","74","242","124.1","26.3","+54"
"123",8,"Odell Beckham Jr.",BAL,"WR58","67","247","126.0","27.0","-25"
"124",8,"Jared Goff",DET,"QB17","95","163","126.4","11.7","+9"
"125",8,"Darnell Mooney",CHI,"WR59","73","194","127.2","21.6","+45"
"126",9,"Tyler Higbee",LAR,"TE11","82","164","130.1","17.1","+13"
"127",9,"Dalton Schultz",HOU,"TE12","74","236","130.3","21.9","-12"
"128",9,"Rashaad Penny",PHI,"RB40","90","230","132.3","24.5","+3"
"129",9,"Russell Wilson",DEN,"QB18","101","187","133.1","17.1","+11"
"130",9,"Jaylen Warren",PIT,"RB41","93","227","134.4","23.4","+32"
"131",9,"Adam Thielen",CAR,"WR60","69","206","135.4","25.4","+3"
"132",9,"Damien Harris",BUF,"RB42","94","257","136.4","27.9","+31"
"133",9,"Jameson Williams",DET,"WR61","79","262","139.6","26.8","+13"
"134",9,"Chigoziem Okonkwo",TEN,"TE13","106","190","141.0","13.9","+9"
"135",9,"Jeff Wilson Jr.",MIA,"RB43","88","198","141.2","20.7","+13"
"136",9,"Raheem Mostert",MIA,"RB44","92","199","141.4","21.0","+11"
"137",9,"De'Von Achane",MIA,"RB45","93","287","141.1","37.7","-8"
"138",9,"Elijah Mitchell",SF,"RB46","108","217","144.6","22.1","0"
"139",9,"Michael Gallup",DAL,"WR62","83","222","143.8","23.1","+43"
"140",9,"Tyler Allgeier",ATL,"RB47","90","237","148.3","24.7","+14"
"141",9,"Kenneth Gainwell",PHI,"RB48","99","287","149.0","32.0","+44"
"142",9,"Cole Kmet",CHI,"TE14","97","246","149.0","24.5","-20"
"143",9,"DJ Chark Jr.",CAR,"WR63","85","303","149.2","26.4","+41"
"144",9,"Devin Singletary",HOU,"RB49","100","277","152.5","30.1","+5"
"145",9,"Dalton Kincaid",BUF,"TE15","71","294","149.1","32.7","-21"
"146",9,"Derek Carr",NO,"QB19","125","202","153.7","16.2","+13"
"147",9,"Matthew Stafford",LAR,"QB20","126","197","156.2","14.8","+24"
"148",9,"Gerald Everett",LAC,"TE16","97","299","156.3","26.5","+8"
"149",9,"Greg Dulcich",DEN,"TE17","78","273","158.3","34.5","+12"
"150",9,"Tank Bigsby",JAC,"RB50","89","309","156.5","40.9","+18"
"151",9,"Ezekiel Elliott",NE,"RB51","92","323","157.4","41.8","-21"
"152",9,"Kenny Pickett",PIT,"QB21","119","197","159.6","16.6","+12"
"153",9,"Donovan Peoples-Jones",CLE,"WR64","91","223","157.0","24.4","+67"
"154",9,"Jordan Love",GB,"QB22","112","241","162.9","20.6","+24"
"155",9,"K.J. Osborn",MIN,"WR65","77","231","156.4","30.4","+24"
"156",9,"Alec Pierce",IND,"WR66","109","247","165.7","28.3","+75"
"157",9,"Juwan Johnson",NO,"TE18","104","352","165.1","32.6","-6"
"158",10,"Curtis Samuel",WAS,"WR67","94","231","167.5","27.2","+80"
"159",10,"Isaiah Hodgins",NYG,"WR68","91","265","167.6","30.8","+76"
"160",10,"Van Jefferson",LAR,"WR69","91","271","168.5","35.0","+100"
"161",10,"Jonathan Mingo",CAR,"WR70","73","293","167.4","44.0","+46"
"162",10,"Sam LaPorta",DET,"TE19","116","351","171.1","43.4","+3"
"163",10,"Brock Purdy",SF,"QB23","116","346","174.8","43.0","+12"
"164",10,"Hunter Renfrow",LV,"WR71","109","240","170.2","30.0","+62"
"165",10,"Rashid Shaheed",NO,"WR72","119","242","168.7","24.9","+100"
"166",10,"Kendre Miller",NO,"RB52","114","280","176.3","37.5","+24"
"167",10,"Marvin Mims Jr.",DEN,"WR73","77","301","175.7","52.3","+73"
"168",10,"San Francisco 49ers",SF,"DST1","155","210","161.3","7.6","-82"
"169",10,"Roschon Johnson",CHI,"RB53","96","296","181.1","44.0","+18"
"170",10,"Jayden Reed",GB,"WR74","106","316","179.8","43.3","+67"
"171",10,"D'Onta Foreman",CHI,"RB54","113","309","187.9","39.2","+18"
"172",10,"Chuba Hubbard",CAR,"RB55","120","272","191.2","31.9","+53"
"173",10,"Dallas Cowboys",DAL,"DST2","156","201","168.0","8.2","-54"
"174",10,"Marquez Valdes-Scantling",KC,"WR75","109","270","181.6","31.2","+27"
"175",10,"DeVante Parker",NE,"WR76","123","267","187.9","25.8","+91"
"176",10,"Rashee Rice",KC,"WR77","110","313","183.9","42.6","+4"
"177",10,"Darius Slayton",NYG,"WR78","104","315","185.7","33.5","+81"
"178",10,"Robert Woods",HOU,"WR79","89","283","190.2","33.4","+110"
"179",10,"Parris Campbell",NYG,"WR80","119","287","190.4","28.5","+33"
"180",10,"Bryce Young",CAR,"QB24","146","284","192.2","32.4","-14"
"181",10,"Justin Tucker",BAL,"K1","173","253","174.6","8.3","-88"
"182",10,"Philadelphia Eagles",PHI,"DST3","155","230","174.7","12.1","-74"
"183",10,"Irv Smith Jr.",CIN,"TE20","138","299","194.4","37.5","+28"
"184",10,"Sam Howell",WAS,"QB25","116","320","196.6","44.3","+19"
"185",10,"Buffalo Bills",BUF,"DST4","158","219","177.8","11.7","-79"
"186",10,"John Metchie III",HOU,"WR81","107","311","194.1","31.9","+60"
"187",10,"Hayden Hurst",CAR,"TE21","127","288","198.5","35.6","+34"
"188",10,"Ryan Tannehill",TEN,"QB26","146","318","198.7","37.4","+64"
"189",10,"Tyler Bass",BUF,"K2","173","233","182.9","10.4","-64"
