PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_POS_BEST,PPR_POS_WORST,PPR_POS_AVG.,PPR_POS_STD.DEV
110,9,Greg Ward,PHI,85,157,111.8,10.4
111,9,Andy Isabella,ARI,92,172,113.9,13.3
112,9,Josh Palmer,LAC,64,134,100,18.2
113,9,Byron Pringle,KC,68,144,103.7,17
114,9,Miles Boykin,BAL,99,169,118.1,12.9
115,9,Demarcus Robinson,KC,66,135,102.8,15.5
116,9,Olamide Zaccheaus,ATL,70,156,104.1,17.8
117,9,John Ross,NYG,102,334,123.8,28.9
118,10,Adam Humphries,WAS,73,154,109,17.1
119,10,Quez Watkins,PHI,64,173,101.7,24.7
120,10,Jalen Guyton,LAC,82,146,115.8,13.5
121,10,Tutu Atwell,LAR,85,157,119,14
122,10,Tylan Wallace,BAL,95,206,123.2,18.7
123,10,Deonte Harris,NO,62,167,111.1,19.6
124,10,Cordarrelle Patterson,ATL,72,162,120.1,15.6
125,10,Steven Sims Jr.,BUF,94,201,123.3,22.5
126,10,Tyler Johnson,TB,97,227,125.7,23.4
127,10,Collin Johnson,JAC,80,142,114.6,17.1
128,10,Antonio Gandy-Golden,WAS,103,199,131.1,20.6
129,10,Dede Westbrook,MIN,94,171,117.1,15.7
130,10,Devin Duvernay,BAL,78,152,125.1,16.2
131,10,Jalen Hurd,SF,95,209,132.5,19.5
132,10,Dez Fitzpatrick,TEN,84,154,124.6,16.2
133,10,Chris Conley,HOU,73,148,122.6,18.4
134,10,Auden Tate,CIN,91,146,122.9,13.5
135,10,Cornell Powell,KC,88,199,127.8,20.4
136,10,Danny Amendola,FA,101,164,121.8,16.4
137,10,David Moore,CAR,87,151,129,15
138,10,Cam Sims,WAS,91,148,129.4,14
139,10,Golden Tate,FA,81,162,111.7,22.7
140,10,Albert Wilson,MIA,99,328,130.9,41
141,10,Anthony Schwartz,CLE,107,321,141.9,35.5
142,10,Larry Fitzgerald,FA,94,166,120,17.7
143,10,Ihmir Smith-Marsette,MIN,97,219,136,20.5
144,10,Isaiah McKenzie,BUF,81,156,130.7,17.4
145,10,Alshon Jeffery,FA,106,198,131.2,24.7
146,10,Willie Snead IV,LV,103,154,138.8,12
147,10,Dazz Newsome,CHI,98,326,142.6,43.7
148,11,Freddie Swain,SEA,101,292,135.2,40.9
149,11,Equanimeous St. Brown,GB,116,195,149.7,19.5
150,11,Cedrick Wilson,DAL,115,155,134.1,12.9
151,11,Damiere Byrd,CHI,84,147,129.4,16.6
152,11,Mohamed Sanu,SF,99,153,132.1,15.3
153,11,Simi Fehoko,DAL,130,323,157.4,38.9
154,11,Richie James Jr.,SF,110,156,136.3,11.6
155,11,Kelvin Harmon,WAS,110,210,145.1,23.5
156,11,Jaelon Darden,TB,123,325,156.8,41.2
157,11,Devin Funchess,GB,107,341,155.5,47.5
158,11,Lil'Jordan Humphrey,NO,103,188,141.6,24.2
159,11,Shi Smith,CAR,116,217,147.6,22.2
160,11,Frank Darby,ATL,121,197,153,22.9
161,11,Braxton Berrios,NYJ,108,195,149.8,22.7
162,11,Marquise Goodwin,CHI,108,338,152.7,51.9
163,11,J.J. Arcega-Whiteside,PHI,140,203,158.5,17
164,11,Kenny Stills,BUF,112,186,139.7,20.8
165,11,Demetric Felton,CLE,127,170,147.9,12.8
166,11,Seth Williams,DEN,140,320,169.1,41
167,11,Chad Beebe,MIN,107,207,141.4,26.9
168,11,Sage Surratt,DET,124,358,166.5,55.6
169,11,Jakeem Grant Sr.,MIA,125,178,151.7,19.4
170,11,Marquez Stevenson,BUF,141,344,172.3,51
171,11,John Hightower,PHI,136,205,159.4,21.3
172,11,Kalif Raymond,DET,126,183,148.6,17.6
173,11,Phillip Dorsett II,JAC,118,192,155.4,22.4
174,11,Zay Jones,LV,107,197,164.9,22.6
175,11,Cameron Batson,TEN,113,190,161.6,22.2
176,11,Christian Blake,ATL,120,181,150.5,22.1
177,12,KeeSean Johnson,ARI,147,188,164.5,14.8
178,12,Tajae Sharpe,ATL,144,214,172.1,21.2
179,12,Ray-Ray McCloud,PIT,153,196,169.4,14.3
180,12,Trent Sherfield,SF,110,218,176.2,31.1
181,12,Geronimo Allison,DET,136,327,181.8,56.9
182,12,Antonio Callaway,FA,132,217,162.7,25.6
183,12,Mike Strachan,IND,123,255,175.5,44.1
184,12,Mike Thomas,CIN,150,270,179.5,37.1
185,12,Noah Brown,DAL,153,309,184.5,48.6
186,12,Isaiah Coulter,CHI,131,235,176.4,33.7
187,12,Gunner Olszewski,NE,138,215,176,26.6
188,12,Cade Johnson,SEA,136,194,171.4,17.8
189,12,Javon Wims,FA,148,187,172,12.4
190,12,Chris Hogan,NO,122,208,151.6,30.4
191,12,K.J. Osborn,MIN,138,224,174.3,29.7
192,12,Juwan Johnson,NO,87,194,153.4,36.3
193,12,Riley Ridley,CHI,163,205,183,16.2
194,12,Andre Roberts,HOU,89,214,161.2,40.4
195,12,DaeSean Hamilton,DEN,137,193,162,18.7
196,12,Justin Watson,TB,158,216,190.4,21.8
197,12,KhaDarel Hodge,CLE,159,196,180.2,13
198,12,Alex Erickson,HOU,165,218,180.2,19.1
199,12,Chad Hansen,DET,134,211,172.2,25.6
200,12,Isaiah Ford,MIA,134,194,160,25.4
201,12,James Proche,BAL,139,199,164.3,22.1
202,12,Penny Hart,SEA,159,272,199.1,34.9
203,12,Racey McMath,TEN,152,280,197.7,41.6
204,12,Jauan Jennings,SF,88,271,179.3,66.9
205,12,Kawaan Baker,NO,157,224,184.2,22.2
206,12,Marcus Kemp,KC,177,218,192.2,14.1
207,12,Jamal Agnew,JAC,146,205,186.4,20.9
208,12,Ben Skowronek,LAR,178,206,193.8,10.2
209,12,Chester Rogers,TEN,136,257,193.2,40.1
210,12,Aaron Fuller,SEA,161,221,179.5,24.5
211,12,Jake Kumerow,BUF,121,336,211,71.8
212,12,Marvin Hall,FA,145,189,164.3,18.4
213,12,Trishton Jackson,LAR,173,203,191.8,11.4
214,12,Chad Williams,FA,171,198,182.5,11.8
215,12,Diontae Spencer,DEN,173,223,194.2,17.1
216,12,Damion Ratley,DET,151,186,170.3,14.5
217,12,Isaiah Hodgins,BUF,164,339,218.7,57
218,12,Ashton Dulin,IND,176,216,196.2,16.7
219,12,Nick Westbrook-Ikhine,TEN,150,316,213.2,55.1
220,12,K.J. Hill Jr.,LAC,148,221,196.6,25.7
221,12,Marcus Johnson,TEN,175,303,214.5,42.8
222,12,Hakeem Butler,PHI,149,217,176.7,29.2
223,12,Laquon Treadwell,JAC,175,226,199.4,20
224,13,Daurice Fountain,KC,169,191,181.3,9.2
225,13,Pharoh Cooper,JAC,158,158,158,0
226,13,Connor Wedington,SEA,160,161,160.5,0.5
227,13,Jalen Camp,JAC,175,319,220.4,52.3
228,13,Cody Thompson,SEA,163,165,164,1
229,13,Trent Taylor,CIN,174,245,207,23.6
230,13,Dante Pettis,NYG,139,329,222.5,68.5
231,13,Omar Bayless,CAR,158,313,219,60
232,13,Rodney Adams,CHI,135,353,228.7,91.6
233,13,Terry Godwin,JAC,136,198,167,31
234,13,Malik Taylor,GB,121,332,222.3,86.3
235,13,John Ursua,SEA,153,185,169,16
236,13,C.J. Board,NYG,164,248,204.8,29.8
237,13,Chris Rowland,ATL,188,199,193,4.5
238,13,Kevin White,NO,117,289,203,86
239,13,Maurice Ffrench,KC,177,177,177,0
240,13,Isaiah Zuber,NE,170,185,177.5,7.5
241,13,Dalton Schoen,KC,176,182,179,3
242,13,DeMichael Harris,IND,174,211,196.3,16.1
243,13,Kristian Wilkerson,NE,178,340,232.7,75.9
244,13,Joe Reed,LAC,193,227,210.6,14
245,13,J.J. Nelson,IND,167,247,210.5,29.5
246,13,Brandon Zylstra,CAR,187,347,235.5,65.1
247,13,Tavon Austin,JAC,178,219,198.7,16.7
248,13,Antonio Nunn,ATL,181,189,185,4
249,13,Victor Bolden Jr.,DET,162,348,239.7,79
250,13,Juwan Green,ATL,183,191,187,4
251,13,Marlon Williams,FA,161,216,188.5,27.5
252,13,Dezmon Patmon,IND,169,256,213,35.5
253,13,Tyrie Cleveland,DEN,182,239,207.7,23.6
254,13,Jeff Smith,NYJ,182,324,236,62.8
255,13,Easop Winston Jr.,NO,183,204,193.5,10.5
256,13,Malik Turner,DAL,193,301,229.3,50.7
257,13,Dez Bryant,FA,176,212,194,18
258,13,J.J. Koski,LAR,187,201,194,7
259,13,Jeremiah Haydel,LAR,189,204,196.5,7.5
260,13,Mack Hollins,MIA,185,240,211,22.6
261,13,Tre Nixon,NE,185,335,244,65.3
262,13,Whop Philyor,MIN,193,221,211,12.8
263,13,Rysen John,NYG,171,269,220,49
264,13,Austin Trammell,ATL,190,213,201.5,11.5
265,13,Jonathan Adams Jr.,FA,176,357,254,76
266,13,Kendall Hinton,DEN,202,219,212.7,7.6
267,13,Brandon Powell,BUF,191,228,213,15.9
268,13,Tyler Simmons,PIT,179,252,215.5,36.5
269,13,Dan Chisena,MIN,191,220,205.5,14.5
270,13,Brandon Smith,DAL,204,263,225,26.9
271,14,Trinity Benson,DEN,185,274,229.5,44.5
272,14,Travis Benjamin,SF,186,234,210,24
273,14,River Cracraft,SF,207,291,236,38.9
274,14,Jason Moore,LAC,209,215,212,3
275,14,Dillon Stoner,LV,195,282,238.5,43.5
276,14,DJ Turner,LV,196,284,240,44
277,14,Dax Milne,WAS,200,237,218.5,18.5
278,14,A.J. Richardson,ARI,200,305,252.5,52.5
279,14,Chris Moore,HOU,212,236,222.7,10
280,14,Antoine Wesley,ARI,201,307,254,53
281,14,Stanley Morgan Jr.,CIN,212,342,258,59.5
282,14,Austin Watkins Jr.,FA,203,273,238,35
283,14,Austin Mack,NYG,204,368,286,82
284,14,Cody White,PIT,207,253,230,23
285,14,Allen Hurns,MIA,208,317,262.5,54.5
286,14,Kirk Merritt,MIA,208,318,263,55
287,14,Tyler Vaughns,IND,210,254,232,22
288,14,Tanner Gentry,BUF,210,346,278,68
289,14,Johnnie Dixon,DAL,211,267,239,28
290,14,Warren Jackson,MIN,211,275,243,32
291,14,Nsimba Webster,SF,221,230,225,3.7
292,14,Stephen Guidry,DAL,213,268,240.5,27.5
293,14,Josh Imatorbhebhe,FA,217,294,255.5,38.5
294,14,Rico Bussey,PIT,221,251,234,12.6
295,15,Lawrence Cager,NYJ,223,238,230.5,7.5
