"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"FAN PTS","REC_TGT","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"213",12,"River Cracraft",SF,"4.1","9","6","41","0","0","0","0"
"214",12,"Racey McMath",TEN,"0","0","0","0","0","0","0","0"
"215",12,"Kawaan Baker",NO,"0","0","0","0","0","0","0","0"
"216",12,"Mack Hollins",MIA,"21.6","25","16","176","1","0","0","0"
"217",12,"DeMichael Harris",IND,"12.5","10","10","79","0","6","46","0"
"218",12,"Dez Bryant",FA,"16.7","11","6","47","2","0","0","0"
"219",12,"Diontae Spencer",DEN,"10.5","6","3","26","0","3","19","0"
"220",12,"K.J. Osborn",MIN,"0","0","0","0","0","0","0","0"
"221",12,"Chris Finke",KC,"0","0","0","0","0","0","0","0"
"222",12,"Ashton Dulin",IND,"6.4","6","3","53","0","2","11","0"
"223",12,"Jaydon Mickens",TB,"5.8","10","7","58","0","0","0","0"
"224",12,"Blake Proehl",MIN,"0","0","0","0","0","0","0","0"
"225",12,"Marcus Kemp",KC,"1.1","1","1","11","0","0","0","0"
"226",12,"Ben Skowronek",LAR,"0","0","0","0","0","0","0","0"
"227",12,"Austin Watkins Jr.",SF,"0","0","0","0","0","0","0","0"
"228",13,"Tyrie Cleveland",DEN,"6.3","9","6","63","0","0","0","0"
"229",13,"Chad Williams",KC,"0","0","0","0","0","0","0","0"
"230",13,"Juwann Winfree",GB,"0","0","0","0","0","0","0","0"
"231",13,"Stanley Morgan Jr.",CIN,"0","0","0","0","0","0","0","0"
"232",13,"Chris Rowland",ATL,"0","0","0","0","0","0","0","0"
"233",13,"Jake Kumerow",BUF,"8.2","1","1","22","1","0","0","0"
"234",13,"Marcus Johnson",TEN,"25.5","28","14","255","0","0","0","0"
"235",13,"Brandon Powell",BUF,"17.6","18","12","69","2","2","7","0"
"236",13,"Brandon Zylstra",CAR,"3.6","4","3","35","0","1","1","0"
"237",13,"T.J. Vasher",DAL,"0","0","0","0","0","0","0","0"
"238",13,"Trent Sherfield",SF,"5","7","5","50","0","0","0","0"
"239",13,"Whop Philyor",MIN,"0","0","0","0","0","0","0","0"
"240",14,"C.J. Board",NYG,"10.4","16","11","101","0","1","3","0"
"241",14,"Isaiah Wright",WAS,"19.3","35","27","197","0","3","16","0"
"242",14,"Vyncint Smith",NYJ,"1.3","3","1","13","0","0","0","0"
"243",14,"Rico Bussey",PIT,"0","0","0","0","0","0","0","0"
