"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"91",8,"Will Mallory",IND,"69","119","89.8","13.1","-"
"92",8,"Jimmy Graham",NO,"55","90","67.0","14.4","-55"
"93",8,"Ross Dwelley",SF,"78","107","88.0","8.9","-"
"94",9,"Davis Allen",LAR,"69","107","87.0","13.3","-"
"95",9,"Tyler Kroft",MIA,"57","84","72.4","11.2","-"
"96",9,"Connor Heyward",PIT,"70","111","92.9","11.1","-54"
"97",9,"Devin Asiasi",CIN,"68","110","93.3","14.2","-"
"98",9,"Geoff Swaim",ARI,"74","97","86.7","8.0","-"
"99",9,"Giovanni Ricci",CAR,"75","112","88.5","14.8","-"
"100",9,"Jesper Horsted",LV,"76","122","89.7","17.1","-"
"101",9,"Parker Hesse",ATL,"85","121","95.4","11.0","-"
"102",9,"Shane Zylstra",DET,"88","105","92.3","5.8","-"
"103",9,"Tanner Hudson",CIN,"81","100","95.2","6.5","-"
"104",9,"Trevon Wesco",TEN,"55","108","90.2","20.7","-"
"105",9,"Pharaoh Brown",IND,"81","104","96.5","8.5","-"
"106",9,"Cameron Brate",FA,"64","68","66.3","1.7","-"
"107",9,"Luke Farrell",JAC,"81","113","102.4","10.1","-"
"108",9,"Tommy Sweeney",NYG,"97","101","99.5","1.4","-"
"109",9,"Blake Bell",KC,"62","82","72.3","8.2","-66"
"110",9,"Chris Myarick",NYG,"93","99","96.4","2.4","-"
"111",9,"Mitchell Wilcox",CIN,"87","106","97.2","6.0","-"
"112",9,"Andrew Beck",HOU,"94","124","101.2","11.4","-"
"113",9,"Marcedes Lewis",CHI,"87","112","101.4","9.3","-"
"114",9,"MyCole Pruitt",ATL,"93","108","101.4","5.1","-"
"115",9,"Armani Rogers",WAS,"92","107","101.8","5.3","-64"
"116",9,"Charlie Woerner",SF,"69","124","106.3","17.5","-"
"117",9,"Kevin Rader",TEN,"83","115","103.6","11.6","-"
"118",10,"Kendall Blanton",KC,"103","112","107.0","3.5","-"
"119",10,"Stephen Sullivan",CAR,"104","111","108.2","3.1","-"
"120",10,"Tyree Jackson",PHI,"68","97","82.5","14.5","-"
"121",10,"Stone Smartt",LAC,"92","107","100.0","6.2","-"
"122",10,"Sean McKeon",DAL,"102","117","111.2","5.3","-"
"123",10,"Tyler Davis",GB,"78","100","89.0","11.0","-"
"124",10,"Noah Togiai",ARI,"92","94","93.0","1.0","-"
"125",10,"Tyler Mabry",SEA,"96","116","104.7","8.4","-"
"126",10,"Jacob Hollister",LV,"95","122","111.5","10.1","-"
"127",10,"Kenny Yeboah",NYJ,"108","118","113.0","3.6","-"
"128",10,"Matt Sokol",NE,"93","106","99.5","6.5","-"
"129",10,"Mason Schreck",HOU,"102","123","113.8","7.5","-"
"130",10,"Eric Tomlinson",HOU,"103","105","104.0","1.0","-"
"131",10,"Brayden Willis",SF,"99","111","105.0","6.0","-"
"132",10,"Matt Bushman",KC,"98","113","105.5","7.5","-"
"133",10,"David Wells",TB,"108","122","114.7","5.7","-"
"134",10,"Anthony Firkser",NE,"93","131","112.0","19.0","-"
"135",10,"Kyle Rudolph",FA,"101","121","111.0","10.0","-"
"136",10,"Jacob Harris",JAC,"113","119","116.3","2.5","-"
"137",10,"Nick Boyle",FA,"109","120","114.5","5.5","-"
"138",11,"J.P. Holtz",NO,"116","126","121.0","5.0","-"
"139",11,"Zaire Mitchell-Paden",CLE,"119","123","121.0","2.0","-"
"140",11,"Noah Gindorff",FA,"120","148","134.0","14.0","-"
"141",11,"Travis Vokolek",BAL,"125","146","135.5","10.5","-"
