PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_PASS_YDS,AVG_PASS_TDS,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
"201",11,"Wan'Dale Robinson",NYG,"8.6","0.0","0.0","3.8","37.8","0.2","0.3","-0.2","0.0"
"202",11,"Clyde Edwards-Helaire",KC,"9.8","0.0","0.0","1.7","15.1","0.3","7.1","30.2","0.3"
"203",11,"Joshua Palmer",LAC,"10.6","0.0","0.0","4.5","48.1","0.2","0.1","0.3","0.0"
"204",11,"Daniel Carlson",LV,"9.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"205",11,"Baltimore Ravens",BAL,"7.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"206",11,"Hunter Henry",NE,"6.5","0.0","0.0","2.6","31.8","0.1","0.0","0.0","0.0"
"207",11,"Mecole Hardman Jr.",NYJ,"11.7","0.0","0.0","3.1","37.1","0.5","0.5","3.9","0.3"
"208",11,"Denver Broncos",DEN,"6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"209",11,"Dawson Knox",BUF,"9.0","0.0","0.0","3.2","34.5","0.4","0.0","0.0","0.0"
"210",11,"Allen Robinson II",PIT,"8.5","0.0","0.0","3.3","33.9","0.3","0.0","0.0","0.0"
"211",11,"Cordarrelle Patterson",ATL,"11.9","0.0","0.0","1.6","9.4","0.0","11.1","53.5","0.6"
"212",11,"Kansas City Chiefs",KC,"7.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"213",11,"Josh Downs",IND,"0","0","0","0","0","0","0","0","0"
"214",11,"Jimmy Garoppolo",LV,"15.3","221.5","1.5","0.0","0.0","0.0","2.1","3.0","0.2"
"215",11,"New Orleans Saints",NO,"6.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"216",11,"C.J. Stroud",HOU,"0","0","0","0","0","0","0","0","0"
"217",11,"Mike Gesicki",NE,"5.8","0.0","0.0","1.9","21.3","0.3","0.0","0.0","0.0"
"218",11,"Pittsburgh Steelers",PIT,"6.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"219",11,"Trey McBride",ARI,"5.1","0.0","0.0","2.4","22.1","0.1","0.0","0.0","0.0"
"220",11,"Younghoe Koo",ATL,"8.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"221",11,"Mac Jones",NE,"12.9","214.1","1.0","0.0","0.0","0.0","3.4","7.3","0.1"
"222",11,"Miami Dolphins",MIA,"6.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"223",11,"Jason Sanders",MIA,"7.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"224",11,"Cincinnati Bengals",CIN,"6.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"225",11,"Joshua Kelley",LAC,"5.4","0.0","0.0","1.2","8.4","0.0","5.8","23.9","0.2"
"226",11,"Tyquan Thornton",NE,"5.5","0.0","0.0","1.8","20.6","0.2","0.3","1.3","0.1"
"227",11,"Jake Ferguson",DAL,"4.4","0.0","0.0","1.7","15.8","0.2","0.0","0.0","0.0"
"228",11,"Noah Fant",SEA,"7.2","0.0","0.0","2.9","28.6","0.2","0.0","0.0","0.0"
"229",11,"Brandon McManus",JAC,"7.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"230",11,"Jake Elliott",PHI,"7.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"231",11,"Richie James Jr.",KC,"8.3","0.0","0.0","3.6","35.6","0.3","0.1","0.4","0.0"
"232",11,"Tank Dell",HOU,"0","0","0","0","0","0","0","0","0"
"233",11,"Jason Myers",SEA,"9.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"234",11,"Washington Commanders",WAS,"6.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"235",11,"Terrace Marshall Jr.",CAR,"6.4","0.0","0.0","2.2","37.7","0.1","0.0","0.0","0.0"
"236",11,"Desmond Ridder",ATL,"9.7","177.0","0.5","0.0","0.0","0.0","4.0","16.0","0.0"
"237",11,"Cleveland Browns",CLE,"6.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"238",11,"Zach Ertz",ARI,"11.6","0.0","0.0","4.7","40.6","0.4","0.0","0.0","0.0"
"239",11,"Mack Hollins",ATL,"9.1","0.0","0.0","3.4","40.6","0.2","0.2","2.4","0.0"
"240",11,"Marvin Jones Jr.",DET,"7.3","0.0","0.0","2.9","33.1","0.2","0.0","0.0","0.0"
"241",11,"Michael Carter",NYJ,"7.9","0.0","0.0","2.6","18.0","0.0","7.1","25.1","0.2"
