"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","PASS_YDS","PASS_TDS","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"67",6,"Rachaad White",TB,"89.1","0","0","50","290","2","129","481","1"
"68",6,"Chris Godwin",TB,"118.8","0","0","104","1023","3","3","5","0"
"69",6,"Javonte Williams",DEN,"26","0","0","16","76","0","47","204","0"
"70",6,"Isiah Pacheco",KC,"122","0","0","13","130","0","170","830","5"
"71",6,"Diontae Johnson",PIT,"94.7","0","0","86","882","0","7","25","0"
"72",7,"Jahan Dotson",WAS,"95.6","0","0","35","523","7","2","-7","0"
"73",7,"Darren Waller",NYG,"56.8","0","0","28","388","3","0","0","0"
"74",7,"George Kittle",SF,"140.5","0","0","60","765","11","0","0","0"
"75",7,"Dalvin Cook",NYJ,"198.8","0","0","39","295","2","264","1173","8"
"76",7,"Alvin Kamara",NO,"154.7","0","0","57","490","2","223","897","2"
"77",7,"Marquise Brown",ARI,"89","0","0","67","709","3","1","1","0"
"78",7,"George Pickens",PIT,"114.5","0","0","52","801","4","3","24","1"
"79",7,"Gabe Davis",BUF,"123.6","0","0","48","836","7","0","0","0"
"80",7,"Michael Pittman Jr.",IND,"117.5","0","0","99","925","4","3","30","0"
"81",7,"D'Andre Swift",PHI,"143.1","0","0","48","389","3","99","542","5"
"82",7,"Khalil Herbert",CHI,"108.8","0","0","9","57","1","129","731","4"
"83",7,"Brian Robinson Jr.",WAS,"103.7","0","0","9","60","1","205","797","2"
"84",7,"Kyle Pitts",ATL,"47.6","0","0","28","356","2","0","0","0"
"85",7,"Jordan Addison",MIN,"0","0","0","0","0","0","0","0","0"
"86",7,"Deshaun Watson",CLE,"90.6","1102","7","0","0","0","36","175","1"
"87",7,"Dallas Goedert",PHI,"86.2","0","0","55","702","3","0","0","0"
"88",7,"AJ Dillon",GB,"139.6","0","0","28","206","0","186","770","7"
"89",7,"Dak Prescott",DAL,"213.6","2860","23","0","0","0","45","182","1"
"90",7,"Courtland Sutton",DEN,"95.4","0","0","64","829","2","1","5","0"
"91",7,"Jaxon Smith-Njigba",SEA,"0","0","0","0","0","0","0","0","0"
"92",7,"Brandin Cooks",DAL,"88.6","0","0","57","699","3","2","7","0"
"93",7,"Tua Tagovailoa",MIA,"238.9","3548","25","0","0","0","24","70","0"
"94",7,"Daniel Jones",NYG,"294","3205","15","0","0","0","120","708","7"
"95",7,"Treylon Burks",TEN,"55.1","0","0","33","444","1","4","47","0"
"96",7,"Antonio Gibson",WAS,"119.9","0","0","46","353","2","149","546","3"
"97",8,"Zay Flowers",BAL,"0","0","0","0","0","0","0","0","0"
"98",8,"Kirk Cousins",MIN,"305.6","4547","29","0","0","0","31","97","2"
"99",8,"Elijah Moore",CLE,"51.1","0","0","37","446","1","5","5","0"
