PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH
A.J. Brown,WR,20.6,12.7,0.0,0.0,5.0,0.8,76.8,0.0,0.0,0.0,11.0,177.5,0.0,0.0,20.6,17.7,12.0,247.5,20.0,5.8,3.0,37.0,70.0,11.0,1075.0,19.0,0.0,0.0,0.0,4.1,TEN,3.0,44.0,25,27,20,1
A.J. Green,WR,216.0,4.0,0.0,0.0,2.9,0.1,32.7,0.0,0.0,0.0,62.0,64.3,0.0,0.0,208.9,7.0,109.0,111.3,207.0,28.4,9.0,304.0,47.0,2.0,523.0,208.0,0.0,0.0,0.0,27.4,ARI,11.0,330.0,11,13,15,3
AJ Dillon,RB,108.8,3.5,0.0,0.0,0.2,0.0,1.9,4.2,0.2,22.0,60.0,38.3,0.0,0.0,118.8,3.7,76.0,40.3,113.0,18.4,7.0,177.0,2.0,0.0,21.0,110.0,46.0,2.0,242.0,16.1,GB,8.0,168.0,30,26,27,2
Aaron Jones,RB,8.8,15.1,0.0,0.0,3.4,0.1,25.4,14.4,0.6,78.9,3.0,211.9,0.0,0.0,9.0,18.5,3.0,258.9,8.0,4.4,2.0,22.0,47.0,2.0,355.0,9.0,201.0,9.0,1104.0,2.9,GB,2.0,22.0,30,26,27,1
Aaron Rodgers,QB,76.1,24.2,3.0,268.7,0.0,0.0,0.0,2.4,0.2,9.3,43.0,387.26,48.0,4299.0,72.0,24.3,54.0,388.26,71.0,10.1,5.0,103.0,0.0,0.0,0.0,69.0,38.0,3.0,149.0,11.9,GB,7.0,111.0,31,29,20,1
Adam Humphries,WR,310.9,5.0,0.0,0.0,3.3,0.3,32.6,0.1,0.0,0.0,128.0,34.8,0.0,0.0,299.2,8.3,181.0,57.8,354.0,52.2,12.0,381.0,23.0,2.0,228.0,394.0,1.0,0.0,0.0,66.6,WAS,15.0,377.0,14,25,1,3
Adam Shaheen,TE,333.5,2.1,0.0,0.0,0.8,0.2,9.4,0.0,0.0,0.0,331.0,33.0,0.0,0.0,309.7,2.8,304.0,45.0,479.0,6.0,13.0,318.0,12.0,3.0,150.0,491.0,0.0,0.0,0.0,2.5,MIA,16.0,336.0,2,2,29,2
Adam Thielen,WR,45.2,12.0,0.0,0.0,4.9,0.9,61.7,0.2,0.0,1.0,27.0,180.0,0.0,0.0,52.2,16.9,35.0,254.0,48.0,11.3,4.0,122.0,74.0,14.0,925.0,44.0,3.0,0.0,15.0,7.7,MIN,5.0,86.0,18,6,28,2
Adam Trautman,TE,160.6,1.5,0.0,0.0,1.0,0.1,11.4,0.0,0.0,0.0,69.0,23.1,0.0,0.0,171.8,2.5,106.0,38.1,165.0,42.6,8.0,294.0,15.0,1.0,171.0,155.0,0.0,0.0,0.0,54.3,NO,10.0,364.0,8,21,3,1
Adrian Peterson,RB,327.0,7.0,0.0,0.0,0.8,0.0,6.3,9.8,0.4,37.8,233.0,112.5,0.0,0.0,326.1,7.8,237.0,124.5,367.0,33.0,12.0,388.0,12.0,0.0,101.0,352.0,156.0,7.0,604.0,30.3,FA,14.0,385.0,33,33,33,0
