PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_BLK KICK,AVG_DEF TD,AVG_FAN PTS,AVG_FUMR,AVG_INT,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_PASS_YDS,AVG_PTS VS.,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RET TD,AVG_RK,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_SAFE,AVG_TGT,AVG_XPA,AVG_XPM,AVG_YDS,BEST_RK,BLK KICK,BOOM,BUST,DEF TD,DEPTH,FAN PTS,FULL_SOS,FUMR,INT,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,PASS_YDS,PLAYOFF_SOS,POS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_AVG_RK,PPR_BEST_RK,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,PTS VS.,REC,REC_TDS,REC_YDS,RET TD,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,SAFE,SEASON_SOS,STARTER,STD.DEV_RK,TEAM,TGT,TIERS,WORST_RK,XPA,XPM,YDS
HOUSTON TEXANS,,,,,,,,,,,0.0,0.1,7.7,0.6,0.8,,,,,0.0,0.0,0.0,,,,0.0,296.0,,,,2.7,0.0,,,,,DST12,0.0,,,1.0,,131.0,17.0,10.0,14.0,,,,,0.0,0.0,4.0,DEF,11.2,5.0,10.0,2.6,3.0,15.0,,298.0,DST12,,,,,,,,206.0,201.3,11.0,171.0,0.0,,,,0.0,208.0,,,,46.0,0.0,25.0,,201.4,HOU,,11.0,171.0,,,
HUNTER HENRY,,,,,,,,,,,,,5.6,,,,,,,0.0,0.0,,3.0,0.4,29.9,,225.0,0.0,0.0,0.0,,,4.4,,,,TE18,,7.0,57.0,,1.0,77.9,14.0,,,,,,,0.0,0.0,12.0,TE,18.8,13.0,18.0,2.9,4.0,26.0,8.6,225.0,TE18,119.9,19.0,15.0,18.0,2.5,4.0,26.0,150.0,155.2,9.0,123.0,,42.0,6.0,419.0,,151.0,0.0,0.0,0.0,,,20.0,36.0,153.8,NE,61.0,10.0,110.0,,,
HUNTER LONG,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,,,,0.0,100.0,,0.0,0.0,22.0,,,,,,,,,27.0,,120.0,110.0,118.0,6.4,9.0,130.0,0.0,,,0.0,113.8,100.0,116.0,9.1,10.0,130.0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,14.0,0.0,,LAR,0.0,,,,,
HUNTER LUEPKE,,,,,,,,,,,,,0.6,,,,,,,,,,0.2,0.0,1.1,,,0.4,0.1,1.1,,,0.2,,,,,,0.0,93.0,,0.0,9.7,5.0,,,,,,,,,23.0,,137.0,126.0,144.0,6.5,11.0,148.0,0.7,,,12.7,142.9,129.0,146.0,8.2,11.0,156.0,,,,,,3.0,0.0,18.0,,,6.0,1.0,19.0,,,4.0,0.0,,DAL,4.0,,,,,
HUNTER RENFROW,,,,,,,,,,,,,1.4,,,,,,,0.0,0.0,,1.5,0.0,15.0,,379.0,0.0,0.0,0.0,,,2.2,,,,WR128,,0.0,93.0,,0.0,23.5,33.0,,,,,,,0.0,0.0,33.0,WR,126.9,103.0,123.0,18.4,10.0,178.0,2.9,403.0,WR118,48.5,115.8,86.0,118.0,19.0,9.0,165.0,339.0,302.7,14.0,231.0,,25.0,0.0,255.0,,360.0,0.0,0.0,0.0,,,33.0,0.0,326.0,FA,37.0,14.0,271.0,,,
IAN THOMAS,,,,,,,,,,,,,0.5,,,,,,,,,,0.4,0.0,4.7,,,0.0,0.0,0.0,,,0.8,,,,,,0.0,100.0,,4.0,5.6,4.0,,,,,,,,,1.0,,88.6,66.0,84.0,18.6,8.0,119.0,0.9,,,10.6,82.1,59.0,87.0,17.2,9.0,108.0,,,,,,5.0,0.0,56.0,,,0.0,0.0,0.0,,,8.0,0.0,,CAR,9.0,,,,,
IHMIR SMITH-MARSETTE,,,,,,,,,,,,,1.4,,,,,,,,,,0.5,0.0,3.0,,,0.5,0.1,4.4,,,0.6,,,,,,0.0,88.0,,6.0,24.5,17.0,,,,,,,,,18.0,,181.6,166.0,194.0,11.6,12.0,196.0,1.9,,,32.5,182.1,166.0,190.0,10.9,11.0,199.0,,,,,,8.0,0.0,51.0,,,8.0,1.0,74.0,,,13.0,6.0,,CAR,10.0,,,,,
INDIANAPOLIS COLTS,,,,,,,,,,,0.0,0.2,8.2,0.5,0.9,,,,,0.0,0.0,0.0,,,,0.0,348.0,,,,3.0,0.1,,,,,DST15,0.0,,,4.0,,139.0,15.0,9.0,15.0,,,,,0.0,0.0,25.0,DEF,15.2,10.0,15.0,3.3,4.0,24.0,,347.0,DST15,,,,,,,,249.0,239.0,12.0,186.0,0.0,,,,0.0,251.0,,,,51.0,1.0,10.0,,238.2,IND,,12.0,187.0,,,
IRV SMITH,,,,,,,,,,,,,1.3,,,,,,,0.0,0.0,,1.5,0.1,9.6,,394.0,0.0,0.0,0.0,,,2.2,,,,TE69,,0.0,92.0,,3.0,15.5,5.0,,,,,,,0.0,0.0,23.0,TE,64.0,52.0,70.0,6.4,7.0,71.0,2.8,392.0,TE70,33.5,62.8,52.0,70.0,5.9,8.0,72.0,469.0,368.8,16.0,320.0,,18.0,1.0,115.0,,468.0,0.0,0.0,0.0,,,2.0,8.0,368.6,KC,26.0,16.0,353.0,,,
IRVIN CHARLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,,0.0,,16.0,,,,,,,,,12.0,,235.7,220.0,,14.0,,254.0,,,,,237.0,224.0,265.0,12.6,13.0,254.0,,,,,,,,,,,,,,,,20.0,0.0,,NYJ,,,,,,
