PLAYER NAME,AVG_FAN PTS,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_YDS,FAN PTS,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,TEAM,YDS,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH
JARRETT STIDHAM,9.2,22.0,13.3,0.3,61%,0.7,3.0,0.0,2.7,2.3,165.3,27.6,66.0,40.0,1.0,61%,2.0,44.0,38,43,4.3,6,55,9.0,0.0,8.0,7.0,DEN,496.0,19,20,10,0,100,0,0,100,0,0
JAKE BROWNING,16.7,27.0,19.0,0.8,70%,1.3,3.0,0.3,14.1,2.7,215.1,150.4,243.0,171.0,7.0,70%,12.0,43.7,38,44,4.1,6,55,27.0,3.0,127.0,24.0,CIN,1936.0,30,32,26,0,38,50,0,38,50,2
MAC JONES,10.8,31.4,20.4,1.1,65%,0.9,2.4,0.0,8.7,2.0,192.7,118.4,345.0,224.0,12.0,65%,10.0,50.9,41,45,10.1,6,77,26.0,0.0,96.0,22.0,JAC,2120.0,31,28,31,0,73,18,0,73,18,2
JIMMY GAROPPOLO,10.4,24.1,15.7,1.3,65%,1.0,2.9,0.0,5.6,2.0,172.1,73.1,169.0,110.0,9.0,65%,7.0,47.3,44,46,3.1,6,56,20.0,0.0,39.0,14.0,LAR,1205.0,20,17,15,0,67,17,0,67,17,2
ZACH WILSON,10.6,30.7,18.4,0.6,60%,0.7,3.0,0.0,17.6,3.8,189.3,126.9,368.0,221.0,7.0,60%,8.0,48.9,40,47,9.2,6,73,36.0,0.0,211.0,46.0,DEN,2271.0,19,20,10,0,75,17,0,75,17,2
TYROD TAYLOR,8.2,16.4,10.5,0.3,64%,0.5,3.5,0.0,17.9,1.5,121.9,90.3,180.0,116.0,3.0,64%,5.0,48.6,44,48,4.3,6,61,38.0,0.0,197.0,17.0,NYJ,1341.0,15,15,11,0,78,22,0,78,22,2
ANDY DALTON,7.9,19.3,11.3,0.0,59%,0.7,1.0,0.0,4.0,1.0,120.3,23.6,58.0,34.0,0.0,59%,2.0,53.5,42,49,7.4,6,66,3.0,0.0,12.0,3.0,CAR,361.0,5,9,6,0,50,50,0,50,50,2
DESMOND RIDDER,12.5,25.9,16.6,0.8,64%,0.8,3.5,0.3,12.9,2.1,189.1,188.1,388.0,249.0,12.0,64%,12.0,53.1,45,50,6.2,6,63,53.0,5.0,193.0,31.0,ARI,2836.0,10,13,9,0,71,29,0,71,29,2
MARCUS MARIOTA,4.3,7.7,5.0,0.3,65%,0.3,2.7,0.0,17.3,1.0,54.7,12.8,23.0,15.0,1.0,65%,1.0,54.5,45,51,8.1,6,72,8.0,0.0,52.0,3.0,WAS,164.0,13,2,29,0,100,0,0,100,0,2
JOSHUA DOBBS,16.2,32.1,20.2,0.8,63%,1.0,5.9,0.5,32.4,2.3,189.5,210.7,417.0,262.0,10.0,63%,13.0,50.8,43,52,4.7,6,62,77.0,6.0,421.0,30.0,SF,2464.0,1,3,4,0,38,38,0,38,38,3
TREY LANCE,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,55.1,42,53,18.5,6,109,0.0,0.0,0.0,0.0,DAL,0.0,2,8,3,0,0,0,0,0,0,3
SPENCER RATTLER,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,50.7,39,54,10.4,6,75,0.0,0.0,0.0,0.0,NO,0.0,11,18,8,0,0,0,0,0,0,3
CARSON WENTZ,13.6,12.0,8.5,0.5,71%,1.0,8.5,0.5,28.0,1.0,81.5,27.1,24.0,17.0,1.0,71%,2.0,57.8,49,55,6.1,7,65,17.0,1.0,56.0,2.0,KC,163.0,7,5,21,0,100,0,0,100,0,2
HENDON HOOKER,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,58.8,51,56,8.1,7,79,0.0,0.0,0.0,0.0,DET,0.0,23,25,20,0,0,0,0,0,0,2
MIKE WHITE,0.5,1.0,0.8,0.2,83%,0.2,1.3,0.0,-1.5,0.0,12.3,3.1,6.0,5.0,1.0,83%,1.0,59.0,52,57,6.3,7,72,8.0,0.0,-9.0,0.0,MIA,74.0,32,30,32,0,100,0,0,100,0,2
KYLE TRASK,-0.1,0.5,0.0,0.0,0%,0.0,0.5,0.0,-0.5,0.0,0.0,-0.1,1.0,0.0,0.0,0%,0.0,61.4,49,58,8.6,7,83,1.0,0.0,-1.0,0.0,TB,0.0,22,11,24,0,100,0,0,100,0,2
MITCHELL TRUBISKY,10.7,21.4,13.4,1.0,63%,0.8,3.2,0.4,10.8,1.4,126.4,53.7,107.0,67.0,5.0,63%,4.0,58.0,50,59,4.7,7,66,16.0,2.0,54.0,7.0,BUF,632.0,16,12,19,0,60,20,0,60,20,2
MASON RUDOLPH,9.9,18.5,13.8,0.0,74%,0.8,2.5,0.0,2.0,1.5,179.8,39.6,74.0,55.0,0.0,74%,3.0,63.6,48,60,10.7,7,89,10.0,0.0,8.0,6.0,TEN,719.0,18,24,5,0,67,33,0,67,33,2
TYSON BAGENT,11.9,28.6,18.8,1.2,66%,0.6,4.6,0.4,21.8,1.0,171.8,59.3,143.0,94.0,6.0,66%,3.0,59.1,52,61,4.2,7,67,23.0,2.0,109.0,5.0,CHI,859.0,4,4,12,0,80,20,0,80,20,2
EASTON STICK,13.6,34.8,22.2,0.2,64%,0.6,5.4,0.2,28.8,2.8,225.8,68.1,174.0,111.0,1.0,64%,3.0,65.3,57,62,5.9,7,75,27.0,1.0,144.0,14.0,LAC,1129.0,29,31,25,0,50,0,0,50,0,2
RYAN TANNEHILL,9.7,25.6,16.6,0.8,65%,0.4,1.9,0.1,8.2,3.6,179.6,87.0,230.0,149.0,7.0,65%,4.0,60.4,47,63,7.7,7,73,17.0,1.0,74.0,32.0,FA,1616.0,33,33,33,0,88,13,0,88,13,0
MALIK WILLIS,1.0,1.7,1.3,0.0,80%,0.0,1.7,0.0,7.0,1.3,24.7,3.1,5.0,4.0,0.0,80%,0.0,66.7,60,64,6.2,7,81,5.0,0.0,21.0,4.0,TEN,74.0,18,24,5,0,100,0,0,100,0,3
JOSH JOHNSON,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,67.4,46,65,15.8,7,100,0.0,0.0,0.0,0.0,BAL,0.0,8,6,17,0,0,0,0,0,0,2
DAVIS MILLS,3.0,6.5,3.0,0.0,46%,0.3,0.3,0.0,1.5,0.3,28.8,17.8,39.0,18.0,0.0,46%,2.0,65.0,57,66,5.5,7,73,2.0,0.0,9.0,2.0,HOU,173.0,27,23,28,0,83,0,0,83,0,2
TAYLOR HEINICKE,14.0,27.2,14.8,0.8,54%,1.0,3.0,0.2,24.8,1.6,178.0,70.0,136.0,74.0,4.0,54%,5.0,68.6,61,67,5.3,7,78,15.0,1.0,124.0,8.0,ATL,890.0,14,7,27,0,60,0,0,60,0,3
DORIAN THOMPSON-ROBINSON,3.3,14.0,7.5,0.5,54%,0.1,1.8,0.0,8.1,0.8,55.0,26.1,112.0,60.0,4.0,54%,1.0,70.0,59,68,6.6,7,80,14.0,0.0,65.0,6.0,CLE,440.0,25,26,18,0,100,0,0,100,0,0
