PLAYER NAME,AVG_FAN PTS,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_YDS,FAN PTS,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,TEAM,YDS,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH
JOSH ALLEN,24.2,34.1,22.6,1.1,66%,1.7,6.5,0.9,30.8,1.4,253.3,410.6,579.0,385.0,18.0,66%,29.0,1.5,1,1,0.8,1,4,111.0,15.0,524.0,24.0,BUF,4306.0,16,12,19,25,6,75,25,6,75,1
JALEN HURTS,21.9,31.6,20.7,0.9,65%,1.4,9.2,0.9,35.6,2.1,226.9,371.8,538.0,352.0,15.0,65%,23.0,2.2,1,2,0.9,1,5,157.0,15.0,605.0,36.0,PHI,3858.0,17,16,13,19,13,88,19,13,88,1
PATRICK MAHOMES,18.4,37.3,25.1,0.9,67%,1.7,4.7,0.0,24.3,1.7,261.4,294.2,597.0,401.0,14.0,67%,27.0,3.3,1,3,1.3,1,8,75.0,0.0,389.0,27.0,KC,4183.0,7,5,21,6,19,38,6,19,38,1
LAMAR JACKSON,21.1,28.6,19.2,0.4,67%,1.5,9.3,0.3,51.3,2.3,229.9,338.2,457.0,307.0,7.0,67%,24.0,3.6,1,4,1.1,1,8,148.0,5.0,821.0,37.0,BAL,3678.0,8,6,17,31,25,56,31,25,56,1
CJ STROUD,18.7,33.3,21.3,0.3,64%,1.5,2.6,0.2,11.1,2.5,273.9,280.0,499.0,319.0,5.0,64%,23.0,5.8,4,5,1.2,2,10,39.0,3.0,167.0,38.0,HOU,4108.0,27,23,28,14,36,43,14,36,43,1
ANTHONY RICHARDSON,18.4,21.0,12.5,0.3,60%,0.8,6.3,1.0,34.0,1.8,144.3,73.7,84.0,50.0,1.0,60%,3.0,6.2,3,6,2.1,2,19,25.0,4.0,136.0,7.0,IND,577.0,26,27,16,25,25,50,25,25,50,1
JOE BURROW,15.3,36.5,24.4,0.6,67%,1.5,3.1,0.0,8.8,2.4,230.9,153.2,365.0,244.0,6.0,67%,15.0,7.8,5,7,1.3,2,11,31.0,0.0,88.0,24.0,CIN,2309.0,30,32,26,10,40,40,10,40,40,1
DAK PRESCOTT,20.7,34.7,24.1,0.5,69%,2.1,3.2,0.1,14.2,2.3,265.6,351.8,590.0,410.0,9.0,69%,36.0,7.9,3,8,2.1,2,13,55.0,2.0,242.0,39.0,DAL,4516.0,2,8,3,31,25,56,31,25,56,1
KYLER MURRAY,18.9,33.5,22.0,0.6,66%,1.3,5.5,0.4,30.5,2.3,224.9,151.4,268.0,176.0,5.0,66%,10.0,8.5,4,9,2.1,2,15,44.0,3.0,244.0,18.0,ARI,1799.0,10,13,9,0,14,57,0,14,57,1
JORDAN LOVE,19.4,34.1,21.9,0.6,64%,1.9,2.9,0.2,14.5,1.8,244.6,330.1,579.0,372.0,11.0,64%,32.0,9.9,5,10,1.8,2,14,50.0,4.0,247.0,30.0,GB,4159.0,6,1,22,6,19,63,6,19,63,1
BROCK PURDY,19.2,27.8,19.3,0.7,69%,1.9,2.4,0.1,9.0,1.8,267.5,306.6,444.0,308.0,11.0,69%,31.0,11.4,7,11,1.7,3,16,39.0,2.0,144.0,28.0,SF,4280.0,1,3,4,6,19,56,6,19,56,1
JAYDEN DANIELS,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.8,8,12,3.5,3,28,0.0,0.0,0.0,0.0,WAS,0.0,13,2,29,0,0,0,0,0,0,1
TUA TAGOVAILOA,16.7,32.9,22.8,0.8,69%,1.7,2.1,0.0,4.4,1.7,272.0,284.4,560.0,388.0,14.0,69%,29.0,13.9,8,13,2.5,3,21,35.0,0.0,74.0,29.0,MIA,4624.0,32,30,32,13,38,44,13,38,44,1
JARED GOFF,17.8,35.6,23.9,0.7,67%,1.8,1.9,0.1,1.2,1.8,269.1,303.1,605.0,407.0,12.0,67%,30.0,14.4,11,14,2.0,3,22,32.0,2.0,21.0,30.0,DET,4575.0,23,25,20,13,44,38,13,44,38,1
CALEB WILLIAMS,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,15.4,9,15,2.6,3,24,0.0,0.0,0.0,0.0,CHI,0.0,4,4,12,0,0,0,0,0,0,1
TREVOR LAWRENCE,17.3,35.3,23.1,0.9,66%,1.3,4.4,0.3,21.2,2.2,251.0,276.5,564.0,370.0,14.0,66%,21.0,15.6,9,16,2.5,3,20,70.0,4.0,339.0,35.0,JAC,4016.0,31,28,31,7,20,33,7,20,33,1
JUSTIN HERBERT,18.5,35.1,22.8,0.5,65%,1.5,4.0,0.2,17.5,2.2,241.1,240.2,456.0,297.0,7.0,65%,20.0,15.7,10,17,2.6,3,21,52.0,3.0,228.0,29.0,LAC,3134.0,29,31,25,15,38,62,15,38,62,1
KIRK COUSINS,19.3,38.9,27.0,0.6,69%,2.3,1.8,0.0,3.1,2.1,291.4,154.7,311.0,216.0,5.0,69%,18.0,17.3,11,18,2.5,3,23,14.0,0.0,25.0,17.0,ATL,2331.0,14,7,27,13,25,63,13,25,63,1
MATTHEW STAFFORD,16.9,34.7,21.7,0.7,63%,1.6,1.4,0.0,4.3,2.0,264.3,254.1,521.0,326.0,11.0,63%,24.0,18.6,12,19,2.1,4,24,21.0,0.0,65.0,30.0,LAR,3965.0,20,17,15,0,27,27,0,27,27,1
AARON RODGERS,0.0,1.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0%,0.0,20.1,13,20,2.4,4,27,0.0,0.0,0.0,1.0,NYJ,0.0,15,15,11,0,100,0,0,100,0,1
DESHAUN WATSON,15.1,28.5,17.5,0.7,61%,1.2,4.3,0.2,23.7,2.8,185.8,90.8,171.0,105.0,4.0,61%,7.0,21.2,14,21,2.6,4,28,26.0,1.0,142.0,17.0,CLE,1115.0,25,26,18,0,33,50,0,33,50,1
