PLAYER NAME,TEAM,PPR_BEST,PPR_WORST,PPR_AVG.,PPR_STD.DEV
Gus Edwards,BAL,85,329,137.2,28
Baker Mayfield,CLE,66,254,138.7,25.3
James White,NE,66,277,139.7,28.3
T.Y. Hilton,IND,88,231,140.2,24.6
Hunter Henry,NE,69,255,140.6,26.6
Phillip Lindsay,HOU,104,199,145.3,19.7
Cole Beasley,BUF,84,211,146.2,28.5
Tua Tagovailoa,MIA,73,283,149.1,33.6
Rob Gronkowski,TB,58,273,152,26.9
Ryan Fitzpatrick,WAS,68,320,150.4,33.2
Mecole Hardman,KC,88,212,153.3,27.3
Daniel Jones,NYG,71,275,152.4,28.3
Blake Jarwin,DAL,92,259,155,28.2
Cole Kmet,CHI,78,260,151.7,26
Henry Ruggs III,LV,74,222,157.2,24.4
Carson Wentz,IND,95,364,153.3,47.3
Ben Roethlisberger,PIT,74,202,156.4,20.6
Jalen Reagor,PHI,97,231,156.5,25.9
Sterling Shepard,NYG,101,337,154.4,35.8
Russell Gage,ATL,72,276,155.3,40.6
Pittsburgh Steelers,PIT,69,234,148.5,17.1
Los Angeles Rams,LAR,72,293,149.3,18
Alexander Mattison,MIN,110,359,161,27.4
Nelson Agholor,NE,97,244,159.6,29.6
Jamison Crowder,NYJ,90,295,164.4,37.4
Austin Hooper,CLE,78,258,164.4,31.2
John Brown,LV,109,265,164.3,29.7
Adam Trautman,NO,92,294,156.4,49.4
Baltimore Ravens,BAL,70,220,156.4,13.8
Derek Carr,LV,76,275,170.4,30.2
Giovani Bernard,TB,100,257,167.1,25.2
Tevin Coleman,NYJ,98,283,171.1,34.7
Gerald Everett,SEA,78,273,171.3,36
Rashod Bateman,BAL,72,317,169.7,42.4
Rashaad Penny,SEA,59,280,172.5,29.1
Justin Fields,CHI,95,338,178.5,51.3
Christian Kirk,ARI,99,244,179.1,27.6
Tre'Quan Smith,NO,78,288,175.6,51.7
San Francisco 49ers,SF,79,225,172.7,18.3
Justin Tucker,BAL,81,221,172.9,9.4
Elijah Moore,NYJ,77,328,171,53.5
Indianapolis Colts,IND,152,258,171.4,19.4
Parris Campbell,IND,75,261,182,28.1
Washington Football Team,WAS,140,279,172.9,29.1
Jared Cook,LAC,99,273,183.7,35.2
Gabriel Davis,BUF,77,297,188.3,33
Eric Ebron,PIT,94,258,189.1,29.9
Zach Ertz,PHI,53,299,184.1,37.3
Tampa Bay Buccaneers,TB,139,243,178.5,24.8
Harrison Butker,KC,87,228,181.8,10.7
Anthony Firkser,TEN,108,352,178.8,43.5
Sam Darnold,CAR,114,319,189.5,41.5
Younghoe Koo,ATL,85,287,185.1,14.8
Emmanuel Sanders,BUF,109,247,189.8,23
Salvon Ahmed,MIA,123,386,189,35.3
Jakobi Meyers,NE,86,271,193,34.6
Buffalo Bills,BUF,75,250,191.5,21
Rondale Moore,ARI,101,315,194.6,46.1
New England Patriots,NE,141,307,191.7,21.5
New Orleans Saints,NO,77,322,192.7,26
Breshad Perriman,DET,129,293,196.7,26.7
Kenneth Gainwell,PHI,104,365,195.7,48.9
Darius Slayton,NYG,129,345,199.6,29.8
Greg Zuerlein,DAL,92,251,198.1,14
Kansas City Chiefs,KC,159,294,195.9,23.2
Marlon Mack,IND,112,389,197,49.1
Allen Lazard,GB,138,297,204.3,26.9
Sony Michel,NE,144,354,204.6,38.4
Darrel Williams,KC,132,350,207.1,47.3
Denzel Mims,NYJ,122,358,203.8,35.6
Zach Wilson,NYJ,80,367,213.6,53.8
Jared Goff,DET,82,331,216,43.3
Trey Lance,SF,103,359,214.5,72.5
Wil Lutz,NO,86,281,207.7,20.8
A.J. Green,ARI,62,321,210.8,26.5
Jameis Winston,NO,84,385,213.3,62.4
Hayden Hurst,ATL,127,291,209.8,40.1
Jason Sanders,MIA,97,233,212,10.5
Cam Newton,NE,67,341,223,58.5
Darrynton Evans,TEN,130,359,212.8,38.4
Chicago Bears,CHI,78,307,217.2,23.2
Damien Williams,CHI,137,359,220.2,43.7
Los Angeles Chargers,LAC,159,347,218.7,17.9
Amon-Ra St. Brown,DET,113,333,218.9,45.2
Rodrigo Blankenship,IND,109,309,224.2,22.4
Joshua Kelley,LAC,141,322,221.2,35.3
Miami Dolphins,MIA,145,338,217.9,32.1
Matt Prater,ARI,98,302,227.1,17.5
Denver Broncos,DEN,83,303,225.9,19.9
Bryan Edwards,LV,99,384,226,33.6
Sammy Watkins,BAL,96,338,225.1,29.3
Robbie Gould,SF,96,288,229.9,15.7
Cleveland Browns,CLE,89,314,232,32.4
Justin Jackson,LAC,126,323,225.6,36.6
Randall Cobb,GB,86,369,225.3,42
Marquez Valdes-Scantling,GB,141,297,231.6,23.6
Tyler Bass,BUF,119,345,235.3,35.2
Chuba Hubbard,CAR,131,365,231.3,52.5
Carlos Hyde,JAC,177,331,226.5,41.6
Mark Ingram II,HOU,146,321,226.6,41
Terrace Marshall Jr.,CAR,141,343,230.3,44.7
Jason Myers,SEA,99,302,237.4,13.1
Benny Snell Jr.,PIT,143,379,225.8,48.7
Dawson Knox,BUF,142,363,239.5,33.5
Ryan Succop,TB,105,288,239.2,22.1
Josh Reynolds,TEN,157,301,235.4,31
Green Bay Packers,GB,145,304,241.8,18.4
Seattle Seahawks,SEA,165,303,240.5,18
Boston Scott,PHI,120,362,224.2,42.7
O.J. Howard,TB,139,299,242.7,24.1
Malcolm Brown,MIA,120,316,240.8,39.5
Deshaun Watson,HOU,61,378,228.9,87.3
Jerick McKinnon,KC,156,354,239.8,40.5
Michael Badgley,LAC,100,309,246.6,11.6
Anthony Miller,HOU,137,333,237.3,29
Minnesota Vikings,MIN,201,318,246.9,18.4
Hunter Renfrow,LV,148,329,247.5,26.1
KJ Hamler,DEN,122,306,244.4,23.9
Mason Crosby,GB,102,326,252.6,17
Van Jefferson,LAR,81,301,247,26.7
Taysom Hill,NO,88,355,259.9,64.9
Tyrell Williams,DET,101,368,241.4,52.4
Tim Patrick,DEN,185,377,248.1,33.6
Chris Herndon IV,NYJ,163,344,248.3,34.5
Philadelphia Eagles,PHI,140,321,257.1,25.7
DeSean Jackson,LAR,151,370,250.8,31.7
Kadarius Toney,NYG,155,350,252.3,38
Dan Arnold,CAR,127,340,251.8,38.1
La'Mical Perine,NYJ,147,359,254.1,39.4
Jeff Wilson Jr.,SF,130,373,237.2,58.4
Rhamondre Stevenson,NE,143,366,247.9,53.1
Daniel Carlson,LV,114,330,264.9,24.6
Kerryon Johnson,PHI,149,364,252,42.2
Amari Rodgers,GB,159,375,259.1,39.5
James Washington,PIT,162,357,256.4,33.3
Jake Elliott,PHI,94,353,268.1,27.6
Brandon McManus,DEN,103,292,269.7,19.9
Jack Doyle,IND,120,360,263.6,29.6
Matt Breida,BUF,168,359,256.6,38.7
Tennessee Titans,TEN,152,309,273.9,20.3
Joey Slye,CAR,108,324,275.9,20
Wayne Gallman,SF,150,362,264.4,43.5
Preston Williams,MIA,152,378,261.4,40.7
Anthony McFarland Jr.,PIT,186,360,267.7,35.4
Javian Hawkins,ATL,119,347,259.2,50.9
Devontae Booker,NYG,144,373,257.9,57.3
Teddy Bridgewater,DEN,121,364,284.6,48.7
Ty Johnson,NYJ,126,363,263.7,53.3
Chris Boswell,PIT,104,326,282.6,18
New York Giants,NYG,163,340,279.8,27.6
Ka'imi Fairbairn,HOU,95,353,277.3,34.6
Jimmy Garoppolo,SF,91,397,289.8,54.8
Jimmy Graham,CHI,163,385,275.5,27.7
Keke Coutee,HOU,184,359,274.3,27.9
Rashard Higgins,CLE,140,374,275.9,30.8
Dustin Hopkins,WAS,117,332,294.7,21.1
Ke'Shawn Vaughn,TB,143,373,268.9,53.4
New York Jets,NYJ,90,323,290.5,23.6
Arizona Cardinals,ARI,200,337,290.7,26.6
Nico Collins,HOU,140,380,278.1,52
Kendrick Bourne,NE,41,367,281.8,33.9
Zach Pascal,IND,147,390,282.7,31
Josh Lambo,JAC,113,332,293.9,18.8
N'Keal Harry,NE,205,387,276.8,36
Samaje Perine,CIN,139,356,259.3,60.4
Drew Lock,DEN,101,369,303.8,45
Quintez Cephus,DET,167,365,287.1,30.4
Dallas Cowboys,DAL,165,340,300.6,23.7
Kyle Rudolph,NYG,232,375,288.1,26.6
Matt Gay,LAR,192,340,279.3,36.3
Tyron Johnson,LAC,115,376,292.8,32.5
Keelan Cole Sr.,NYJ,113,382,289.3,43.7
Ian Thomas,CAR,232,381,289.7,33.3
Travis Fulgham,PHI,189,377,298.3,31.6
Jalen Richard,LV,155,370,287.2,38.3
Jacksonville Jaguars,JAC,207,330,314.7,12
Le'Veon Bell,FA,115,382,281.9,61.7
Graham Gano,NYG,220,339,304.9,22.3
Donovan Peoples-Jones,CLE,214,370,300.5,29.6
Austin Seibert,CIN,111,351,309.9,20.4
Zane Gonzalez,FA,213,332,259.6,42.3
Stephen Gostkowski,FA,112,342,302.3,20.6
DeeJay Dallas,SEA,195,374,303.8,30.5
Scotty Miller,TB,222,390,303,27.6
Todd Gurley II,FA,119,388,283.2,62.8
Rex Burkhead,HOU,170,386,301.1,30.8
D'Wayne Eskridge,SEA,109,381,282.6,50.7
Atlanta Falcons,ATL,201,345,320.2,12.9
Tyrod Taylor,HOU,158,389,307.3,52.7
Andy Isabella,ARI,247,375,307,28.9
Duke Johnson Jr.,FA,144,393,294.6,50.2
Marquez Callaway,NO,128,390,241.6,61.6
Kalen Ballage,PIT,187,388,312.7,36.6
Ito Smith,FA,188,383,295.9,41.8
Mo Alie-Cox,IND,134,373,266.7,52.5
Dalton Schultz,DAL,92,354,277.7,47.4
Xavier Jones,LAR,116,385,228.3,65.9
Greg Ward,PHI,208,385,316.3,29
Dyami Brown,WAS,160,395,288.6,63.6
Jordan Howard,PHI,187,386,307.6,33
Carolina Panthers,CAR,225,345,311.7,19.9
Mac Jones,NE,178,387,319,37.7
Justice Hill,BAL,245,380,325.6,24.9
Demarcus Robinson,KC,39,396,294.3,67
Eno Benjamin,ARI,245,382,324.5,26
Cairo Santos,CHI,217,353,309.1,21.8
Miles Boykin,BAL,248,386,321.6,26.5
Will Dissly,SEA,171,351,302.8,31.6
Jordan Akins,HOU,163,363,286,45.6
Dan Bailey,FA,183,326,288.8,26.6
Brian Hill,TEN,186,393,331.1,29.2
Olamide Zaccheaus,ATL,149,378,281.3,59.8
