PLAYER NAME,TEAM,PPR_POS_BEST,PPR_POS_WORST,PPR_POS_AVG.,PPR_POS_STD.DEV
Travis Kelce,KC,1,4,1,0.2
Darren Waller,LV,1,3,2.1,0.3
George Kittle,SF,2,4,2.9,0.4
T.J. Hockenson,DET,2,14,4.9,1.1
Mark Andrews,BAL,3,7,5.2,0.9
Kyle Pitts,ATL,1,35,5.9,3
Noah Fant,DEN,5,15,8.3,1.6
Dallas Goedert,PHI,5,23,8.4,2.2
Logan Thomas,WAS,5,20,9.8,2.8
Robert Tonyan,GB,6,19,11.2,2.1
Tyler Higbee,LAR,5,23,11.8,3.4
Mike Gesicki,MIA,6,24,12.2,2.1
Irv Smith Jr.,MIN,7,32,14.6,3.7
Evan Engram,NYG,5,27,14.8,3.4
Jonnu Smith,NE,5,23,15,3
Hunter Henry,NE,7,30,17.3,3.8
Blake Jarwin,DAL,10,32,19.6,3.8
Rob Gronkowski,TB,6,34,19.7,3.6
Cole Kmet,CHI,11,32,19.8,3.7
Adam Trautman,NO,9,38,18.4,6.8
Austin Hooper,CLE,8,31,20.9,4.2
Gerald Everett,SEA,8,34,21.7,4.3
Jared Cook,LAC,9,34,23.6,3.6
Eric Ebron,PIT,10,31,24,3.1
Zach Ertz,PHI,5,38,23.8,4.5
Anthony Firkser,TEN,12,48,22.9,6
Hayden Hurst,ATL,14,36,26.3,4.3
Dawson Knox,BUF,19,51,29.3,4.3
O.J. Howard,TB,18,38,29.4,2.8
Chris Herndon IV,NYJ,22,44,30.8,4.6
Dan Arnold,CAR,14,45,31.3,4.8
Jack Doyle,IND,23,50,33,4.8
Jimmy Graham,CHI,24,58,35.2,5.3
Kyle Rudolph,NYG,28,59,37.5,5.5
Ian Thomas,CAR,27,83,39.3,9.6
Dalton Schultz,DAL,9,50,35.3,7.1
Will Dissly,SEA,23,50,39.2,4.7
Mo Alie-Cox,IND,15,54,34.4,8.2
Jordan Akins,HOU,22,51,36.2,6.7
Donald Parham Jr.,LAC,14,65,40,7.1
David Njoku,CLE,26,58,43.2,6.5
Pat Freiermuth,PIT,10,61,40,8.2
C.J. Uzomah,CIN,17,60,37.2,8
Harrison Bryant,CLE,28,60,41.5,5.5
Drew Sample,CIN,27,53,43.2,6.4
Albert Okwuegbunam,DEN,32,60,44,6.6
