TEAM,QB,RB,WR,TE,K,DEF
GB,1,29,5,9,19,24
WAS,2,9,4,15,23,5
SF,3,12,3,7,28,15
CHI,4,21,2,19,13,21
KC,5,6,6,2,21,20
BAL,6,14,10,12,6,18
ATL,7,15,8,13,4,14
DAL,8,4,1,28,10,1
CAR,9,31,13,8,9,27
MIN,10,16,24,3,30,26
TB,11,30,16,17,1,22
BUF,12,7,15,6,16,3
ARI,13,26,14,16,17,11
NE,14,10,9,20,18,12
NYJ,15,24,20,21,29,19
PHI,16,28,11,30,25,4
LAR,17,2,22,14,20,30
NO,18,20,21,22,3,17
SEA,19,25,7,29,27,6
DEN,20,18,28,25,32,9
LV,21,19,17,18,26,16
NYG,22,1,23,31,15,8
HOU,23,3,32,1,7,25
TEN,24,13,29,5,12,23
DET,25,11,30,11,31,28
CLE,26,8,18,4,2,32
IND,27,32,19,24,11,10
JAC,28,27,31,10,8,31
PIT,29,23,26,27,24,7
MIA,30,5,12,32,5,2
LAC,31,22,25,26,22,13
CIN,32,17,27,23,14,29
