PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_FAN PTS,TGT,REC,REC_YDS,REC_TDS,RUSH_ATT,RUSH_YDS,RUSH_TDS
85,8,KENDRICK BOURNE,NE,100,55,37,406,4,1,4,0
86,8,MALACHI CORLEY,NYJ,0,0,0,0,0,0,0,0
87,8,DARIUS SLAYTON,NYG,151,79,50,770,4,0,0,0
88,8,RONDALE MOORE,ATL,105,62,40,352,1,28,178,1
89,8,TREYLON BURKS,TEN,39.9,30,16,221,0,5,18,0
90,8,JONATHAN MINGO,CAR,84.8,85,43,418,0,0,0,0
91,8,ODELL BECKHAM,MIA,107.5,64,35,565,3,0,0,0
92,8,AT PERRY,NO,60.6,18,12,246,4,0,0,0
93,8,JOSH REYNOLDS,DEN,128.8,64,40,608,5,0,0,0
94,8,DJ CHARK,LAC,115.5,66,35,525,5,0,0,0
95,8,KJ OSBORN,NE,120,75,48,540,3,0,0,0
96,8,TREY PALMER,TB,95.7,68,39,385,3,3,22,0
97,8,ALEC PIERCE,IND,95.4,65,32,514,2,0,0,0
98,8,DEVONTEZ WALKER,BAL,0,0,0,0,0,0,0,0
99,8,JALEN MCMILLAN,TB,0,0,0,0,0,0,0,0
100,8,CEDRIC TILLMAN,CLE,44.2,44,21,224,0,1,8,0
101,8,ANDREI IOSIVAS,CIN,50.6,25,15,116,4,0,0,0
102,8,MICHAEL GALLUP,LV,87.8,57,34,418,2,0,0,0
103,8,KADARIUS TONEY,KC,53,38,27,169,1,11,31,0
104,8,NOAH BROWN,HOU,101.6,55,33,567,2,1,-1,0
105,8,BRENDEN RICE,LAC,0,0,0,0,0,0,0,0
106,8,LUKE MCCAFFREY,WAS,0,0,0,0,0,0,0,0
107,9,MICHAEL THOMAS,FA,89.8,64,39,448,1,0,0,0
108,9,ROBERT WOODS,HOU,89.3,75,40,426,1,1,7,0
109,9,JACOB COWING,SF,0,0,0,0,0,0,0,0
110,9,TYLER SCOTT,CHI,35.9,32,17,168,0,7,41,0
111,9,JALEN TOLBERT,DAL,58.8,36,22,268,2,0,0,0
112,9,GREG DORTCH,ARI,64.5,41,24,280,2,1,5,0
113,9,CHATARIUS ATWELL,LAR,112.4,67,39,483,3,5,31,0
114,9,MARQUEZ VALDES-SCANTLING,BUF,56.5,42,21,315,1,0,0,0
115,9,JUJU SMITH-SCHUSTER,NE,61,47,29,260,1,0,0,0
116,9,DONOVAN PEOPLES-JONES,DET,28.5,25,13,155,0,0,0,0
117,9,ALLEN LAZARD,NYJ,60.1,49,23,311,1,0,0,0
