PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_PASS_YDS,AVG_PASS_TDS,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
425,15,GRAHAM GANO,NYG,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,15,CASEY WASHINGTON,ATL,0,0,0,0,0,0,0,0,0
427,15,ISAIAH MCKENZIE,NYG,1.3,0.0,0.0,0.8,6.3,0.0,0.2,1.1,0.0
428,15,COLE TURNER,WAS,1.9,0.0,0.0,0.9,10.0,0.0,0.0,0.0,0.0
429,15,MAC JONES,JAC,10.8,192.7,0.9,0.0,0.0,0.0,2.4,8.7,0.0
430,15,TERRACE MARSHALL,CAR,3.7,0.0,0.0,2.1,15.4,0.0,0.0,0.0,0.0
431,15,NICK WESTBROOK,TEN,6.1,0.0,0.0,2.0,26.4,0.2,0.0,0.0,0.0
432,15,WASHINGTON COMMANDERS,WAS,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,15,JUSTYN ROSS,KC,1.1,0.0,0.0,0.6,5.3,0.0,0.0,0.0,0.0
434,15,KAVONTAE TURPIN,DAL,3.7,0.0,0.0,0.8,7.9,0.2,0.7,6.9,0.1
435,15,LUCAS KRULL,DEN,3.4,0.0,0.0,1.1,13.6,0.1,0.0,0.0,0.0
436,15,BOSTON SCOTT,LAR,1.3,0.0,0.0,0.3,4.3,0.0,1.7,7.2,0.0
437,15,JORDAN WHITTINGTON,LAR,0,0,0,0,0,0,0,0,0
438,15,JAKE BOBO,SEA,3.3,0.0,0.0,1.1,11.5,0.1,0.1,0.2,0.1
439,15,ZACH EVANS,LAR,0.5,0.0,0.0,0.0,0.0,0.0,2.3,4.8,0.0
440,15,CHARLIE JONES,CIN,1.9,0.0,0.0,0.6,5.8,0.0,0.2,1.2,0.0
441,15,LEONARD FOURNETTE,FA,2.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0
442,15,CHRIS EVANS,CIN,0.3,0.0,0.0,0.1,-0.1,0.0,0.3,1.7,0.0
443,15,JASE MCCLELLAN,ATL,0,0,0,0,0,0,0,0,0
444,15,JAMARI THRASH,CLE,0,0,0,0,0,0,0,0,0
445,15,EMEKA EMEZIE,FA,0,0,0,0,0,0,0,0,0
446,15,FOSTER MOREAU,NO,3.1,0.0,0.0,1.4,12.9,0.1,0.0,0.0,0.0
447,15,LUKE SCHOONMAKER,DAL,1.6,0.0,0.0,0.5,3.8,0.1,0.0,0.0,0.0
448,15,JOSHUA DOBBS,SF,16.2,189.5,1.0,0.0,0.0,0.0,5.9,32.4,0.5
449,15,DAVID BELL,CLE,3.2,0.0,0.0,0.9,11.1,0.2,0.0,0.0,0.0
450,15,SPENCER RATTLER,NO,0,0,0,0,0,0,0,0,0
451,15,KYLE PHILIPS,TEN,3.5,0.0,0.0,1.7,20.1,0.0,0.0,0.0,0.0
452,15,AJ BARNER,SEA,0,0,0,0,0,0,0,0,0
453,15,MACK HOLLINS,BUF,3.3,0.0,0.0,1.4,19.3,0.0,0.0,0.0,0.0
454,15,TRENT SHERFIELD,MIN,1.5,0.0,0.0,0.6,5.1,0.1,0.0,0.0,0.0
455,15,BROCK WRIGHT,DET,2.0,0.0,0.0,0.9,6.5,0.1,0.0,0.0,0.0
456,15,JALEN BROOKS,DAL,1.8,0.0,0.0,0.9,9.1,0.0,0.0,0.0,0.0
457,15,CORNELIUS JOHNSON,LAC,0,0,0,0,0,0,0,0,0
458,15,TYQUAN THORNTON,NE,3.0,0.0,0.0,1.4,10.1,0.0,0.3,5.7,0.0
459,16,DURHAM SMYTHE,MIA,4.5,0.0,0.0,2.2,22.9,0.0,0.0,0.0,0.0
460,16,TOMMY TREMBLE,CAR,3.8,0.0,0.0,1.4,12.1,0.2,0.0,0.0,0.0
461,16,JARED WILEY,KC,0,0,0,0,0,0,0,0,0
