PLAYER NAME,TEAM,BEST,WORST,AVG.,STD.DEV
KEVIN HARRIS,NE,130,112.9,10.6,-15
SEAN TUCKER,TB,145,113.8,15.3,-
KYLE JUSZCZYK,SF,122,104.5,11.5,-
MALIK DAVIS,DAL,173,117.4,24.8,-12
KENE NWANGWU,MIN,168,123.7,19.2,-
GARY BRIGHTWELL,FA,135,122.8,13.1,-
BLAKE WATSON,DEN,117,107.4,9.0,-38
MICHAEL WILEY,WAS,120,113.0,6.9,-
KEILAN ROBINSON,JAC,128,114.4,10.1,-36
CHRIS EVANS,CIN,154,131.9,16.1,-29
TYLER GOODSON,IND,155,118.6,19.1,-
DEEJAY DALLAS,ARI,156,125.3,21.4,-
ZACH EVANS,LAR,162,132.1,22.5,-33
KENDALL MILTON,PHI,135,121.8,8.4,-
DAIJUN EDWARDS,PIT,147,125.0,10.9,-
DILLON JOHNSON,TEN,129,118.2,7.0,-38
RAHEEM BLACKSHEAR,CAR,140,128.7,6.1,-
CHRISTOPHER BROOKS,MIA,135,119.0,12.1,-
EMANI BAILEY,KC,139,120.0,11.4,-
CODY SCHRADER,SF,130,120.6,7.3,-38
BOSTON SCOTT,LAR,182,131.2,27.4,-
AVERY WILLIAMS,ATL,134,111.0,18.5,-
LEONARD FOURNETTE,FA,170,135.2,24.0,-
DAIJUN EDWARDS,FA,174,127.6,26.2,-
JULIUS CHESTNUT,TEN,154,139.5,11.6,-
DAMIEN HARRIS,FA,88,72.0,16.0,-
LAMICAL PERINE,PIT,158,136.4,15.7,-
KESHAWN VAUGHN,FA,181,137.0,26.5,-
ALEC INGOLD,MIA,143,129.5,8.9,-
MYLES GASKIN,MIN,176,139.4,30.6,-
ZONOVAN KNIGHT,DET,178,141.0,27.9,-
EMANUEL WILSON,GB,163,141.2,15.3,-
DARRYNTON EVANS,BUF,150,132.0,13.0,-
NOLAN HENDERSON,FA,171,133.3,22.6,-
DEON JACKSON,FA,144,118.3,34.2,-
DENERIC PRINCE,KC,172,143.6,22.4,-
JAMES ROBINSON,NO,175,144.0,27.1,-
DEWAYNE MCBRIDE,MIN,179,145.0,29.6,-
TYRION DAVIS-PRICE,PHI,160,150.8,10.1,-
PATRICK RICARD,BAL,153,137.0,10.1,-
HUNTER LUEPKE,DAL,152,137.0,9.7,-
MELVIN GORDON,FA,148,123.3,21.3,-
HASSAN HASKINS,TEN,156,146.0,8.5,-
PATRICK TAYLOR,SF,167,124.7,30.1,-
JAMYCAL HASTY,NE,177,146.6,33.1,-
DARE OGUNBOWALE,FA,153,147.0,6.2,-
CJ HAM,MIN,157,139.8,10.0,-
MIKE BOONE,CAR,150,142.8,5.5,-
REGGIE GILLIAM,BUF,171,143.8,24.4,-
TONY JONES,ARI,164,149.0,14.3,-
BRANDON BOLDEN,FA,161,149.0,7.6,-
MICHAEL BURTON,DEN,167,149.5,11.4,-
JONATHAN WARD,PIT,158,142.3,11.4,-
DARRELL HENDERSON,FA,137,127.5,9.5,-
CARSON STEELE,KC,137,127.5,9.5,-
NICK BAWDEN,NYJ,166,154.5,11.0,-
DERRICK GORE,WAS,174,154.8,13.6,-
JASHAUN CORBIN,NYG,172,157.8,8.8,-
JERMAR JEFFERSON,DET,142,139.5,2.5,-
GEORGE HOLANI,SEA,141,140.0,1.0,-
LEW NICHOLS,PHI,145,144.0,1.0,-
JORDAN MIMS,NO,146,145.0,1.0,-
RYAN WILLIAMS,FA,165,147.0,18.0,-
CAMERON SCARLETT,FA,149,147.5,1.5,-
KHARI BLASINGAME,CHI,162,150.5,11.5,-
ANTHONY MCFARLAND,FA,173,160.0,10.6,-
KEITH SMITH,FA,166,154.0,12.0,-
JEREMY MCNICHOLS,WAS,180,163.0,13.9,-
KENYAN DRAKE,FA,164,157.0,7.0,-
ADAM PRENTICE,NO,168,158.5,9.5,-
JONATHAN WILLIAMS,WAS,178,165.3,9.1,-
KENNY HILLIARD,FA,162,160.0,2.0,-
ELIJAH DOTSON,LAC,170,161.5,8.5,-
ERIC LAIR,FA,168,165.5,2.5,-
JAKE FUNK,DET,176,167.5,8.5,-
