PLAYER NAME,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH
TONY JONES,5,5.5,5,9.1,2,10.0
PIERRE STRONG,5,7.6,2,6.5,2,11.8
TYSON BAGENT,4,5.3,3,7.7,3,15.0
CHASE BROWN,4,5.6,1,2.1,0,.0
KIRK COUSINS,4,7.8,3,10.7,2,12.5
CHASE EDMONDS,4,6.3,0,.0,0,.0
DARRYNTON EVANS,4,5.3,2,5.1,0,.0
JOE FLACCO,4,6.1,1,3.2,0,.0
TYLER GOODSON,4,4.4,1,2.1,0,.0
TYLER HUNTLEY,4,3.7,3,4.8,1,3.3
DEON JACKSON,4,4.4,2,4.3,1,3.8
JORDAN MASON,4,4.0,2,3.6,1,3.1
KENNY PICKETT,4,5.6,2,5.1,2,12.5
CURTIS SAMUEL,4,7.1,1,3.8,1,6.7
KADARIUS TONEY,4,5.6,1,2.6,0,.0
MITCHELL TRUBISKY,4,5.6,3,7.7,3,18.8
DEUCE VAUGHN,4,3.9,1,2.0,1,4.2
ANDREW BECK,3,3.9,3,7.0,3,13.0
NICK CHUBB,3,4.5,2,6.5,0,.0
BRANDIN COOKS,3,2.9,0,.0,0,.0
TOMMY DEVITO,3,4.7,2,9.1,0,.0
JIMMY GAROPPOLO,3,4.7,2,5.4,1,6.7
CEEDEE LAMB,3,2.9,2,4.0,1,4.2
WILL LEVIS,3,5.7,2,6.3,2,11.8
JERICK MCKINNON,3,4.2,1,2.6,0,.0
JAKOBI MEYERS,3,4.7,1,2.7,0,.0
KENDRE MILLER,3,3.3,1,1.8,1,5.0
KEATON MITCHELL,3,2.8,0,.0,0,.0
PUKA NACUA,3,3.7,0,.0,0,.0
MASON RUDOLPH,3,4.2,2,5.1,0,.0
LAVISKA SHENAULT,3,5.3,1,3.4,0,.0
MATTHEW STAFFORD,3,3.7,2,3.9,1,4.5
TYROD TAYLOR,3,4.7,0,.0,0,.0
DEVEN THOMPKINS,3,4.8,0,.0,0,.0
DESHAUN WATSON,3,4.5,0,.0,0,.0
CARSON WENTZ,3,3.7,1,2.0,0,.0
JAMAL AGNEW,2,2.9,0,.0,0,.0
KYLE ALLEN,2,1.9,0,.0,0,.0
RAHEEM BLACKSHEAR,2,3.5,0,.0,0,.0
BRANDON BOLDEN,2,3.1,2,5.4,0,.0
CHRISTOPHER BROOKS,2,2.2,2,3.4,0,.0
JOE BURROW,2,2.8,0,.0,0,.0
NATHANIEL DELL,2,2.6,0,.0,0,.0
EMARI DEMERCADO,2,3.4,1,3.0,1,5.6
ERIK EZUKANMA,2,2.2,1,1.7,1,3.7
ZAY FLOWERS,2,1.9,1,1.6,0,.0
XAVIER GIPSON,2,5.4,1,6.7,0,.0
ERIC GRAY,2,3.1,0,.0,0,.0
KEVIN HARRIS,2,4.8,0,.0,0,.0
DEANDRE HOPKINS,2,3.8,1,3.1,0,.0
XAVIER HUTCHINSON,2,2.6,1,2.3,1,4.3
KEAONTAY INGRAM,2,3.4,1,3.0,0,.0
KYLE JUSZCZYK,2,2.0,2,3.6,1,3.1
HUNTER LUEPKE,2,1.9,2,4.0,2,8.3
NICK MULLENS,2,3.9,1,3.6,0,.0
DARE OGUNBOWALE,2,2.6,0,.0,0,.0
LAMICAL PERINE,2,2.8,2,5.3,2,11.1
JAYDEN REED,2,2.3,0,.0,0,.0
BOSTON SCOTT,2,1.9,1,1.5,1,3.3
RYAN TANNEHILL,2,3.8,0,.0,0,.0
DORIAN THOMPSON-ROBINSON,2,3.0,1,3.2,0,.0
KAVONTAE TURPIN,2,1.9,1,2.0,0,.0
ZACH WILSON,2,5.4,1,6.7,0,.0
JAMEIS WINSTON,2,2.2,0,.0,0,.0
JORDAN ADDISON,1,2.0,0,.0,0,.0
KEENAN ALLEN,1,1.4,1,2.2,0,.0
MARK ANDREWS,1,.9,0,.0,0,.0
CHATARIUS ATWELL,1,1.2,0,.0,0,.0
