PLAYER NAME,TEAM,POS_BEST,POS_WORST,POS_AVG.,POS_STD.DEV
JUJU SMITH-SCHUSTER,NE,97,154,117.8,13.0
ALLEN LAZARD,NYJ,93,157,113.0,14.8
VAN JEFFERSON,PIT,80,145,118.9,13.6
DONOVAN PEOPLES-JONES,DET,103,150,119.0,9.6
JAUAN JENNINGS,SF,93,135,116.0,10.3
CALVIN AUSTIN,PIT,94,134,116.5,9.4
SKYY MOORE,KC,104,148,121.5,10.7
JOHN METCHIE,HOU,102,151,122.9,12.6
XAVIER GIPSON,NYJ,101,167,119.3,14.1
PARRIS CAMPBELL,PHI,94,159,121.7,17.8
TIM PATRICK,DEN,94,145,122.0,11.6
HUNTER RENFROW,FA,108,141,123.5,9.8
PARKER WASHINGTON,JAC,105,169,127.8,13.2
JUSTIN WATSON,KC,92,155,123.3,15.0
JOHNNY WILSON,PHI,100,144,125.8,13.3
AINIAS SMITH,PHI,107,144,127.1,10.4
CEDRICK WILSON,NO,104,153,126.5,13.0
BRANDON POWELL,MIN,94,143,121.2,14.2
MACK HOLLINS,BUF,109,153,132.8,11.5
CHASE CLAYPOOL,BUF,113,158,133.0,13.0
NICK WESTBROOK,TEN,121,147,134.5,7.8
QUEZ WATKINS,PIT,112,205,141.6,20.5
JAMARI THRASH,CLE,122,154,138.2,8.6
TRENTON IRWIN,CIN,112,144,132.3,8.3
CHARLIE JONES,CIN,108,163,135.9,18.1
BRAXTON BERRIOS,MIA,110,173,144.8,17.2
CHRIS MOORE,ARI,115,162,138.9,15.9
XAVIER HUTCHINSON,HOU,126,163,140.3,10.6
JAKE BOBO,SEA,115,180,141.8,16.8
MECOLE HARDMAN,KC,112,164,138.6,15.9
ISAIAH MCKENZIE,NYG,116,178,146.5,17.6
DAVID BELL,CLE,131,187,150.5,15.7
JAMISON CROWDER,WAS,118,180,151.3,14.9
KAVONTAE TURPIN,DAL,118,151,135.7,9.1
TRENT SHERFIELD,MIN,131,167,145.7,12.7
ISAIAH HODGINS,NYG,130,160,145.9,9.3
JERROD MEANS,NO,116,151,138.6,11.2
RYAN FLOURNOY,DAL,124,159,139.6,11.9
TYQUAN THORNTON,NE,117,168,140.9,16.2
TERRACE MARSHALL,CAR,116,191,150.3,21.6
DYAMI BROWN,WAS,135,184,155.4,15.3
DERIUS DAVIS,LAC,124,167,154.0,14.0
MICHAEL GALLUP,FA,90,123,110.0,12.3
JUSTYN ROSS,KC,130,184,157.5,18.7
RAY RAY MCCLOUD,ATL,106,189,152.4,25.1
DEVIN DUVERNAY,JAC,131,211,163.0,27.9
CASEY WASHINGTON,ATL,130,161,140.0,12.4
KYLE PHILIPS,TEN,126,176,153.3,14.6
OLAMIDE ZACCHEAUS,WAS,128,174,154.4,14.0
JALEN NAILOR,MIN,110,199,162.0,31.5
CORNELIUS JOHNSON,LAC,128,177,157.7,17.9
LAVISKA SHENAULT,SEA,142,250,171.9,33.7
TAHJ WASHINGTON,MIA,150,187,170.6,13.5
JALEN BROOKS,DAL,137,152,146.8,5.2
JORDAN WHITTINGTON,LAR,119,169,149.4,17.4
ALLEN ROBINSON,NYG,127,188,166.8,20.1
JALEN GUYTON,LV,136,188,169.2,16.3
JHAQUAN JACKSON,TEN,149,198,173.0,14.4
DEONTE HARTY,BAL,140,192,162.4,18.4
ANTHONY GOULD,IND,137,195,165.6,23.2
JASON BROWNLEE,NYJ,149,196,177.2,18.4
LILJORDAN HUMPHREY,DEN,149,197,170.0,16.6
MALIK HEATH,GB,153,193,170.8,14.5
SCOTT MILLER,PIT,139,192,171.8,19.6
RONNIE BELL,SF,150,190,173.4,13.2
KHADAREL HODGE,ATL,153,189,173.8,12.8
MARCUS ROSEMY-JACKSAINT,WAS,121,179,160.0,22.8
ISAIAH WILLIAMS,FA,117,192,163.5,28.0
BRANDON JOHNSON,DEN,150,272,187.4,43.7
DENZEL MIMS,JAC,85,186,144.3,43.1
IHMIR SMITH-MARSETTE,CAR,148,208,182.4,19.5
ZACH PASCAL,ARI,119,213,171.0,33.6
JALEN REAGOR,NE,156,213,185.8,18.8
JOSH CROCKETT,FA,82,149,115.5,33.5
RICHIE JAMES,FA,124,263,193.4,44.9
EQUANIMEOUS ST BROWN,NO,168,209,190.6,15.2
ANTOINE GREEN,DET,152,183,163.0,14.2
RAKIM JARRETT,TB,160,215,192.6,18.3
RIVER CRACRAFT,MIA,163,228,193.0,24.1
MASON TIPTON,NO,96,183,139.5,43.5
STERLING SHEPARD,TB,157,261,201.2,33.8
AUSTIN MACK,ATL,110,171,140.5,30.5
DEVEN THOMPKINS,CAR,168,203,186.8,15.1
SAMORI TOURE,GB,164,251,201.8,28.7
VELUS JONES,CHI,147,217,189.8,28.4
KAYSHON BOUTTE,NE,171,260,204.2,32.7
DEVAUGHN VELE,DEN,143,201,178.3,25.3
DANTE PETTIS,CHI,127,178,152.5,25.5
DAVID MOORE,CAR,183,211,192.8,11.2
JALEN COKER,CAR,116,191,153.5,37.5
TREQUAN SMITH,DET,158,216,180.0,25.7
JAMAL AGNEW,FA,182,202,193.3,8.2
EMEKA EMEZIE,FA,152,157,154.5,2.5
ERIK EZUKANMA,MIA,175,275,210.6,35.7
BEN SKOWRONEK,HOU,156,248,198.5,32.7
JULIO JONES,FA,170,274,206.5,41.1
MARVIN JONES,FA,118,220,169.0,51.0
BRITAIN COVEY,PHI,158,259,210.0,37.2
ROBBIE CHOSEN,FA,186,276,216.5,35.5
BYRON PRINGLE,WAS,182,267,215.3,31.8
DEANDRE CARTER,CHI,194,226,207.8,11.6
LYNN BOWDEN,FA,179,216,199.7,15.4
ISAIAH WILLIAMS,DET,162,210,186.0,24.0
RANDALL COBB,FA,198,253,215.8,22.2
DJ MONTGOMERY,IND,197,252,217.3,24.6
MARQUEZ CALLAWAY,NO,201,206,203.5,2.5
ELIJAH COOKS,JAC,199,209,204.0,5.0
MIKE STRACHAN,CAR,202,208,205.0,3.0
ALEX ERICKSON,FA,191,225,208.0,17.0
TIM JONES,JAC,198,219,208.5,10.5
TRISHTON JACKSON,MIN,204,214,209.0,5.0
MARQUISE GOODWIN,FA,201,224,212.5,11.5
COLLIN JOHNSON,CHI,214,222,218.0,4.0
COLTON DOWELL,TEN,206,231,218.5,12.5
AUSTIN TRAMMELL,JAC,212,245,228.5,16.5
DELEON ESKRIDGE,SEA,218,228,223.0,5.0
PHILLIP DORSETT,DEN,215,232,223.5,8.5
MILES BOYKIN,NYG,216,255,235.5,19.5
MALIK TAYLOR,NYJ,219,257,238.0,19.0
CODY THOMPSON,TB,220,244,232.0,12.0
JUWANN WINFREE,IND,227,247,237.0,10.0
TRENT TAYLOR,SF,230,239,234.5,4.5
