POS_RK,POS_TIERS,PLAYER NAME,TEAM,FAN PTS,PASS_COMP,PASS_ATT,PASS_PCT,YDS,PASS_TDS,PASS_INT,RUSH_ATT,RUSH_YDS,RUSH_TDS,SACK
83,8,DEVIN LEARY,BAL,0,0,0,0,0,0,0,0,0,0,0
84,8,JAKE HAENER,NO,0,0,0,0,0,0,0,0,0,0,0
85,8,JOE MILTON,NE,0,0,0,0,0,0,0,0,0,0,0
86,8,BLAINE GABBERT,FA,8.9,18,35,51%,185,0,3,7,45,0,1
87,8,TREVOR SIEMIAN,FA,31,86,153,56%,724,2,4,11,40,0,8
88,8,KYLE ALLEN,PIT,-1.3,0,0,NaN%,0,0,0,13,-13,0,0
89,8,MALIK CUNNINGHAM,BAL,0,0,0,NaN%,0,0,0,0,0,0,1
90,9,TANNER MCKEE,PHI,0,0,0,0,0,0,0,0,0,0,0
91,9,JEFF DRISKEL,WAS,15.9,13,26,50%,166,2,2,7,33,0,3
92,9,MATT BARKLEY,FA,-0.3,0,0,NaN%,0,0,0,3,-3,0,0
93,9,MAX DUGGAN,LAC,0,0,0,NaN%,0,0,0,0,0,0,0
94,9,BRETT RYPIEN,CHI,5.8,18,38,47%,172,0,1,3,19,0,2
95,9,NATE SUDFELD,DET,0,0,0,0,0,0,0,0,0,0,0
96,9,DEVONTEZ WALKER,SEA,25,54,111,49%,674,1,5,13,30,0,11
97,9,TIM BOYLE,HOU,14.9,48,77,62%,360,1,4,4,5,0,9
98,9,BRIAN HOYER,FA,6.9,23,42,55%,231,0,2,3,-3,0,1
99,9,SHANE BUECHELE,BUF,0,0,0,0,0,0,0,0,0,0,0
100,9,AJ MCCARRON,FA,0.8,4,5,80%,19,0,0,0,0,0,1
101,9,CARTER BRADLEY,LV,0,0,0,0,0,0,0,0,0,0,0
