PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_POS_BEST,PPR_POS_WORST,PPR_POS_AVG.,PPR_POS_STD.DEV
102,8,JALEN TOLBERT,DAL,66,161,90.5,16.4
103,8,DEVONTEZ WALKER,BAL,84,175,105.3,16.4
104,8,NOAH BROWN,FA,90,152,108.2,10.0
105,8,KADARIUS TONEY,FA,90,190,112.3,15.5
106,8,BRENDEN RICE,LAC,83,168,107.0,12.2
107,8,JACOB COWING,SF,86,286,113.6,25.8
108,9,TYLER SCOTT,CHI,99,196,115.8,14.6
109,9,ROBERT WOODS,HOU,94,180,114.6,16.4
110,9,CHATARIUS ATWELL,LAR,78,169,113.2,13.8
111,9,TIM PATRICK,DEN,55,130,95.4,17.9
112,9,KALIF RAYMOND,DET,69,142,101.7,14.7
113,9,VAN JEFFERSON,PIT,71,153,109.1,18.1
114,9,JAUAN JENNINGS,SF,86,161,112.5,12.7
115,9,TRE TUCKER,LV,82,144,103.3,12.4
116,9,NELSON AGHOLOR,BAL,89,145,108.6,13.4
117,9,MALIK WASHINGTON,MIA,82,147,111.5,13.3
118,9,MARQUEZ VALDES-SCANTLING,BUF,93,194,122.7,18.6
119,9,MICHAEL THOMAS,FA,81,164,113.1,16.2
120,9,BO MELTON,GB,94,153,117.7,14.1
121,9,CALVIN AUSTIN,PIT,82,136,112.7,11.7
122,9,ALLEN LAZARD,NYJ,80,165,114.9,16.4
123,9,DYAMI BROWN,WAS,69,165,99.6,23.5
124,9,JORDAN WHITTINGTON,LAR,72,152,108.2,20.3
125,9,XAVIER GIPSON,NYJ,82,175,116.5,16.4
126,9,SKYY MOORE,KC,99,242,131.1,23.9
127,9,DONOVAN PEOPLES-JONES,FA,102,179,128.4,16.7
128,9,JALEN NAILOR,MIN,76,203,110.6,25.8
129,9,JUSTIN WATSON,KC,90,167,126.0,15.6
130,9,PARKER WASHINGTON,JAC,89,160,126.1,13.4
131,9,JOHNNY WILSON,PHI,88,180,126.5,19.8
132,9,CEDRICK WILSON,NO,88,162,121.7,15.9
133,9,JOHN METCHIE,HOU,92,163,127.6,17.2
134,10,RAY RAY MCCLOUD,ATL,78,200,106.8,25.2
135,10,PARRIS CAMPBELL,FA,99,190,124.6,19.8
136,10,MACK HOLLINS,BUF,97,151,127.4,13.8
137,10,BRANDON POWELL,MIN,104,150,124.5,11.4
138,10,JUJU SMITH-SCHUSTER,KC,102,224,130.5,23.4
139,10,OLAMIDE ZACCHEAUS,WAS,81,178,124.3,24.6
140,10,HUNTER RENFROW,FA,99,150,123.1,14.9
141,10,TRENTON IRWIN,CIN,118,148,132.4,8.6
142,10,TYQUAN THORNTON,NE,84,158,130.3,17.9
143,10,KAVONTAE TURPIN,DAL,102,150,131.0,13.6
144,10,JAKE BOBO,SEA,113,174,136.7,14.7
145,10,AINIAS SMITH,PHI,121,203,145.8,24.7
146,10,RYAN FLOURNOY,DAL,106,182,136.9,17.4
147,10,NICK WESTBROOK,TEN,115,186,140.5,15.2
148,10,XAVIER HUTCHINSON,HOU,103,200,149.2,26.5
149,10,CHARLIE JONES,CIN,117,162,144.3,13.0
150,10,JERROD MEANS,NO,110,223,143.7,22.4
151,10,QUEZ WATKINS,PIT,113,215,153.8,24.8
152,10,BRAXTON BERRIOS,MIA,107,191,143.7,18.3
153,10,ISAIAH MCKENZIE,NYG,110,173,145.4,19.7
154,10,JAMARI THRASH,CLE,132,266,153.8,28.4
155,10,MECOLE HARDMAN,KC,100,205,148.3,23.8
156,10,DAVID BELL,CLE,112,181,149.7,18.5
157,10,JAMISON CROWDER,WAS,97,166,134.9,15.9
158,10,JALEN BROOKS,DAL,107,250,145.9,33.1
159,10,TERRACE MARSHALL,FA,102,251,154.3,32.0
160,10,CHRIS MOORE,ARI,119,204,145.7,26.9
161,10,ISAIAH HODGINS,FA,117,199,151.8,19.5
162,10,DEVIN DUVERNAY,JAC,122,216,154.6,23.2
163,10,LAVISKA SHENAULT,SEA,124,256,155.3,30.8
164,10,TRENT SHERFIELD,MIN,127,268,160.0,33.6
165,10,JUSTYN ROSS,KC,121,279,167.9,40.9
166,10,CASEY WASHINGTON,ATL,123,179,144.6,16.2
167,11,KHADAREL HODGE,ATL,108,186,137.8,25.5
168,11,DERIUS DAVIS,LAC,126,178,150.9,13.2
169,11,ANTHONY GOULD,IND,127,267,162.8,33.6
170,11,ALLEN ROBINSON,FA,130,206,169.0,21.6
171,11,KYLE PHILIPS,TEN,109,208,159.1,25.2
172,11,JALEN GUYTON,LV,129,193,171.1,19.3
173,11,DAURICE FOUNTAIN,DET,124,212,152.4,27.9
174,11,SCOTT MILLER,PIT,153,199,176.3,13.7
175,11,DEONTE HARTY,BAL,146,272,179.3,33.7
176,11,JHAQUAN JACKSON,TEN,148,252,183.4,31.8
177,11,JASON BROWNLEE,NYJ,139,247,186.6,28.3
178,11,JALEN REAGOR,NE,149,245,186.6,34.5
179,11,VELUS JONES,CHI,165,211,186.9,13.3
180,11,SAMORI TOURE,FA,143,255,188.6,35.1
181,11,RAKIM JARRETT,TB,153,274,189.6,33.0
182,11,CORNELIUS JOHNSON,LAC,149,211,187.5,21.3
183,11,RIVER CRACRAFT,MIA,147,270,189.4,50.0
184,11,ZACH PASCAL,ARI,149,222,191.1,20.6
185,11,STERLING SHEPARD,FA,134,252,193.1,28.6
186,11,KAYSHON BOUTTE,NE,138,221,183.1,28.0
187,11,DEVAUGHN VELE,DEN,130,256,172.6,36.4
188,11,TAHJ WASHINGTON,MIA,156,220,186.9,20.7
189,11,CHRIS BLAIR,ATL,136,195,162.0,19.9
190,11,BRANDON JOHNSON,DEN,169,262,203.9,34.7
191,11,EQUANIMEOUS ST BROWN,NO,166,221,195.0,16.9
192,11,IHMIR SMITH-MARSETTE,CAR,156,253,195.8,30.8
193,11,DAVID MOORE,CAR,147,264,196.8,29.1
194,11,LILJORDAN HUMPHREY,DEN,163,233,197.7,23.4
195,11,RONNIE BELL,SF,143,254,200.3,33.1
