PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS,AVG_TGT,AVG_REC,AVG_REC_YDS,AVG_REC_TDS
155,11,ALEC INGOLD,MIA,1.5,0.1,0.0,0.0,0.9,0.8,7.0,0.0
156,11,AVERY WILLIAMS,ATL,0,0,0,0,0,0,0,0
157,11,HUNTER LUEPKE,DAL,0.7,0.4,1.1,0.1,0.2,0.2,1.1,0.0
158,11,PATRICK RICARD,BAL,1.0,0.0,0.0,0.0,0.4,0.3,3.1,0.1
159,11,CJ HAM,MIN,0.6,0.1,0.4,0.0,0.5,0.4,1.5,0.0
160,11,TONY JONES,ARI,4.6,3.7,13.6,0.3,1.4,1.0,5.3,0.0
161,11,DARRYNTON EVANS,BUF,5.0,5.3,20.2,0.2,2.0,1.2,8.2,0.0
162,11,TRAVIS HOMER,CHI,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
163,11,BRANDON BOLDEN,FA,2.2,0.8,6.2,0.2,0.0,0.0,0.0,0.0
164,11,JASHAUN CORBIN,NYG,1.4,0.3,0.3,0.0,1.0,1.0,4.0,0.0
165,11,ELIJAH DOTSON,LAC,1.0,1.0,1.5,0.0,0.5,0.5,3.3,0.0
166,11,MELVIN GORDON,FA,4.9,6.5,20.3,0.3,0.8,0.8,11.5,0.0
167,11,KENYAN DRAKE,FA,1.0,0.7,0.0,0.0,1.0,0.7,10.3,0.0
168,11,REGGIE GILLIAM,BUF,0.1,0.0,0.0,0.0,0.1,0.1,0.2,0.0
