RK,TIERS,PLAYER NAME,TEAM,AVG_FAN PTS
142,9,TY CHANDLER,MIN,5.0
143,9,GABRIEL DAVIS,JAC,6.8
144,9,LUKE MUSGRAVE,GB,3.7
145,9,JERRY JEUDY,CLE,5.5
146,9,HUNTER HENRY,NE,5.6
147,9,KENDRE MILLER,NO,4.2
148,9,TYLER ALLGEIER,ATL,7.0
149,9,ANTONIO GIBSON,NE,5.0
150,10,JALEEL MCLAUGHLIN,DEN,4.4
151,10,KHALIL SHAKIR,BUF,4.4
152,10,JAHAN DOTSON,WAS,4.5
153,10,JOSH DOWNS,IND,5.2
154,10,DANIEL JONES,NYG,10.5
155,10,MARSHAWN LLOYD,GB,0
156,10,DEREK CARR,NO,14.7
157,10,KHALIL HERBERT,CHI,7.7
158,10,BALTIMORE RAVENS,BAL,10.2
159,10,DONTAYVION WICKS,GB,5.4
160,10,TAYSOM HILL,NO,6.9
161,10,ADONAI MITCHELL,IND,0
162,10,JK DOBBINS,LAC,9.7
163,10,ELIJAH MITCHELL,SF,3.8
164,10,SAN FRANCISCO 49ERS,SF,8.3
165,10,BRYCE YOUNG,CAR,10.4
166,10,MICHAEL WILSON,ARI,5.9
167,10,CADE OTTON,TB,4.1
168,10,DALLAS COWBOYS,DAL,10.5
169,10,ADAM THIELEN,CAR,7.5
170,10,MARVIN MIMS,DEN,3.0
171,10,NEW YORK JETS,NYJ,9.1
172,10,RUSSELL WILSON,PIT,17.7
173,10,CLEVELAND BROWNS,CLE,9.0
174,10,DARNELL MOONEY,ATL,3.2
175,10,DEMARIO DOUGLAS,NE,4.2
176,10,JUWAN JOHNSON,NO,4.7
177,10,ROSCHON JOHNSON,CHI,4.5
178,10,QUENTIN JOHNSTON,LAC,3.3
179,10,RASHOD BATEMAN,BAL,2.8
180,10,DAMEON PIERCE,HOU,5.0
181,10,KINGSTON DAVIS,BUF,0
182,11,XAVIER LEGETTE,CAR,0
183,11,BUFFALO BILLS,BUF,9.4
184,11,KANSAS CITY CHIEFS,KC,7.9
185,11,TYLER CONKLIN,NYJ,3.7
186,11,JAYLEN WRIGHT,MIA,0
187,11,PITTSBURGH STEELERS,PIT,8.4
188,11,ISAIAH LIKELY,BAL,4.2
189,11,JUSTIN TUCKER,BAL,9.4
190,11,CHIGOZIEM OKONKWO,TEN,3.5
191,11,JALYNN POLK,NE,0
192,11,BRANDON AUBREY,DAL,10.6
193,11,JERMAINE BURTON,CIN,0
194,11,PHILADELPHIA EAGLES,PHI,5.9
195,11,WANDALE ROBINSON,NYG,4.9
196,11,NEW ORLEANS SAINTS,NO,8.4
197,11,RICKY PEARSALL,SF,0
198,11,DONTA FOREMAN,CLE,8.9
199,11,HARRISON BUTKER,KC,9.1
200,11,HOUSTON TEXANS,HOU,7.7
