PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_TGT,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
129,10,BRANDON POWELL,MIN,3.9,2.6,1.7,19.1,0.1,0.3,1.0,0.0
130,10,CEDRICK WILSON,NO,4.6,2.5,1.5,19.7,0.2,0.0,0.0,0.0
131,10,TIM PATRICK,DEN,0,0,0,0,0,0,0,0
132,10,JOHNNY WILSON,PHI,0,0,0,0,0,0,0,0
133,10,PARKER WASHINGTON,JAC,4.4,2.3,1.8,14.7,0.2,0.0,0.0,0.0
134,10,JUSTIN WATSON,KC,5.6,3.3,1.7,28.8,0.2,0.0,0.0,0.0
135,10,PARRIS CAMPBELL,PHI,2.5,2.3,1.7,8.7,0.0,0.0,0.0,0.0
136,10,XAVIER GIPSON,NYJ,3.5,2.2,1.2,13.5,0.0,0.5,4.0,0.1
137,10,AINIAS SMITH,PHI,0,0,0,0,0,0,0,0
138,10,TRENTON IRWIN,CIN,3.9,2.0,1.6,19.8,0.1,0.0,0.0,0.0
139,11,NICK WESTBROOK,TEN,6.1,3.2,2.0,26.4,0.2,0.0,0.0,0.0
140,11,KAVONTAE TURPIN,DAL,3.7,1.1,0.8,7.9,0.2,0.7,6.9,0.1
141,11,XAVIER HUTCHINSON,HOU,1.5,1.3,0.5,6.0,0.0,0.3,3.3,0.0
142,11,MACK HOLLINS,BUF,3.3,2.3,1.4,19.3,0.0,0.0,0.0,0.0
143,11,CHARLIE JONES,CIN,1.9,0.8,0.6,5.8,0.0,0.2,1.2,0.0
144,11,CHASE CLAYPOOL,BUF,2.0,1.9,0.7,7.0,0.1,0.0,0.0,0.0
145,11,JAMISON CROWDER,WAS,2.1,1.2,0.9,9.4,0.1,0.0,0.0,0.0
146,11,JAMARI THRASH,CLE,0,0,0,0,0,0,0,0
147,11,CHRIS MOORE,ARI,4.0,2.1,1.3,24.9,0.0,0.1,2.3,0.0
148,11,QUEZ WATKINS,PIT,3.9,2.3,1.7,15.8,0.1,0.0,0.0,0.0
149,11,JAKE BOBO,SEA,3.3,1.5,1.1,11.5,0.1,0.1,0.2,0.1
150,11,DAVID BELL,CLE,3.2,1.5,0.9,11.1,0.2,0.0,0.0,0.0
151,11,ISAIAH MCKENZIE,NYG,1.3,1.1,0.8,6.3,0.0,0.2,1.1,0.0
152,11,TYQUAN THORNTON,NE,3.0,2.6,1.4,10.1,0.0,0.3,5.7,0.0
153,11,BRAXTON BERRIOS,MIA,3.6,2.1,1.7,14.9,0.1,0.1,0.7,0.0
154,11,TERRACE MARSHALL,CAR,3.7,3.7,2.1,15.4,0.0,0.0,0.0,0.0
155,11,ISAIAH HODGINS,NYG,3.5,1.9,1.2,13.5,0.2,0.0,0.0,0.0
156,11,TRENT SHERFIELD,MIN,1.5,1.3,0.6,5.1,0.1,0.0,0.0,0.0
157,11,RYAN FLOURNOY,DAL,0,0,0,0,0,0,0,0
158,11,MECOLE HARDMAN,KC,2.6,2.4,1.5,12.4,0.0,0.1,0.3,0.0
159,11,KYLE PHILIPS,TEN,3.5,2.4,1.7,20.1,0.0,0.0,0.0,0.0
160,11,JUSTYN ROSS,KC,1.1,1.1,0.6,5.3,0.0,0.0,0.0,0.0
161,11,OLAMIDE ZACCHEAUS,WAS,2.3,1.2,0.6,9.6,0.1,0.0,0.0,0.0
162,11,EMEKA EMEZIE,FA,0,0,0,0,0,0,0,0
163,11,DERIUS DAVIS,LAC,2.1,1.0,0.9,3.9,0.0,0.8,5.9,0.0
164,11,DYAMI BROWN,WAS,2.1,1.4,0.7,9.9,0.1,0.1,0.0,0.0
165,11,CORNELIUS JOHNSON,LAC,0,0,0,0,0,0,0,0
166,11,CASEY WASHINGTON,ATL,0,0,0,0,0,0,0,0
167,11,LAVISKA SHENAULT,SEA,2.7,1.3,1.3,7.5,0.0,1.5,6.9,0.0
168,11,JERROD MEANS,NO,0,0,0,0,0,0,0,0
169,11,JORDAN WHITTINGTON,LAR,0,0,0,0,0,0,0,0
170,11,MALIK HEATH,GB,2.6,1.8,1.2,9.6,0.1,0.0,0.0,0.0
171,12,ALLEN ROBINSON,NYG,3.6,2.9,2.0,16.5,0.0,0.0,0.0,0.0
172,12,ANTHONY GOULD,IND,0,0,0,0,0,0,0,0
173,12,RAY RAY MCCLOUD,ATL,2.4,1.3,1.0,11.3,0.0,0.3,2.5,0.0
174,12,TAHJ WASHINGTON,MIA,0,0,0,0,0,0,0,0
175,12,JHAQUAN JACKSON,TEN,0,0,0,0,0,0,0,0
176,12,DEVIN DUVERNAY,JAC,0.6,0.7,0.3,1.4,0.0,0.3,1.2,0.0
177,12,DEONTE HARTY,BAL,2.5,1.3,0.9,9.4,0.1,0.3,0.0,0.0
178,12,KAYSHON BOUTTE,NE,0.8,1.4,0.4,3.8,0.0,0.0,0.0,0.0
179,12,STERLING SHEPARD,TB,1.4,1.5,0.7,3.8,0.1,0.1,0.4,0.0
180,12,JALEN GUYTON,LV,3.1,2.6,1.3,11.1,0.1,0.0,0.0,0.0
181,12,LILJORDAN HUMPHREY,DEN,2.8,1.1,0.8,9.5,0.2,0.0,0.0,0.0
182,12,SCOTT MILLER,PIT,2.3,0.9,0.6,9.5,0.1,0.0,0.0,0.0
183,12,MARCUS ROSEMY-JACKSAINT,WAS,0,0,0,0,0,0,0,0
184,12,JALEN BROOKS,DAL,1.8,0.9,0.9,9.1,0.0,0.0,0.0,0.0
