PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_FAN PTS,RUSH_ATT,RUSH_YDS,RUSH_TDS,TGT,REC,REC_YDS,REC_TDS
92,8,ISAIAH SPILLER,FA,19,37,96,0,6,6,34,0
93,8,DENERIC PRINCE,KC,0,0,0,0,0,0,0,0
94,8,RONNIE RIVERS,LAR,20.1,32,129,0,5,5,22,0
95,8,ROYCE FREEMAN,DAL,46.2,77,319,2,2,1,13,0
96,8,RASHEEN ALI,BAL,0,0,0,0,0,0,0,0
97,9,KAREEM HUNT,FA,118.5,135,411,9,21,15,84,0
98,9,JERICK MCKINNON,FA,84.4,21,60,1,32,25,192,4
99,9,TY JOHNSON,BUF,32.4,30,132,0,7,7,62,1
100,9,SALVON AHMED,FA,42.9,22,61,1,23,16,88,1
101,9,JOSHUA KELLEY,FA,61.7,107,405,2,12,8,32,0
102,9,DALVIN COOK,FA,40.2,67,214,0,20,15,78,0
103,9,CRAIG REYNOLDS,DET,29.6,41,179,1,5,5,47,0
104,9,ISAIAH DAVIS,NYJ,0,0,0,0,0,0,0,0
105,9,CARSON STEELE,KC,0,0,0,0,0,0,0,0
106,9,MATT BREIDA,FA,46.9,55,151,1,21,17,88,0
107,9,JAWHAR JORDAN,HOU,0,0,0,0,0,0,0,0
108,9,KEAONTAY INGRAM,KC,14,35,74,0,4,4,26,0
109,9,NYHEIM HINES,CLE,0,0,0,0,0,0,0,0
110,9,JARET PATTERSON,LAC,0,0,0,0,0,0,0,0
111,9,KENNY MCINTOSH,SEA,0,0,0,0,0,0,0,0
112,9,SEAN TUCKER,TB,5.2,15,23,0,2,2,9,0
113,9,KEVIN HARRIS,NE,21.3,16,65,1,3,3,58,0
114,9,TRAYVEON WILLIAMS,CIN,14.9,15,69,0,9,7,10,0
115,9,AMEER ABDULLAH,LV,41,15,89,0,24,19,131,0
116,9,SIONE HOUMA,DET,0,0,0,0,0,0,0,0
117,9,KYLE JUSZCZYK,SF,38.5,5,6,0,17,14,119,2
118,9,JASE MCCLELLAN,ATL,0,0,0,0,0,0,0,0
119,9,BLAKE WATSON,DEN,0,0,0,0,0,0,0,0
120,10,KENE NWANGWU,MIN,1.3,5,13,0,0,0,0,0
121,10,LATAVIUS MURRAY,FA,82.9,79,300,4,22,17,119,0
122,10,BOSTON SCOTT,FA,15.8,20,86,0,6,4,52,0
123,10,FRANK GORE,FA,0,0,0,0,0,0,0,0
124,10,TYLER GOODSON,IND,18.1,13,87,0,9,6,34,0
125,10,MALIK DAVIS,DAL,0,0,0,0,0,0,0,0
126,10,EMANUEL WILSON,GB,14.8,14,85,0,5,4,23,0
127,10,RAHEEM BLACKSHEAR,CAR,17.1,14,46,0,7,6,45,0
128,10,ZACH EVANS,LAR,1.9,9,19,0,0,0,0,0
129,10,DEEJAY DALLAS,ARI,8.2,10,36,0,9,6,26,0
130,10,DARE OGUNBOWALE,HOU,10.3,8,35,0,7,2,18,0
131,10,ALEC INGOLD,MIA,24.9,2,0,0,16,13,119,0
132,10,KEILAN ROBINSON,JAC,0,0,0,0,0,0,0,0
133,10,PATRICK RICARD,BAL,16.2,0,0,0,7,5,52,1
134,10,JULIUS CHESTNUT,TEN,0,0,0,0,0,0,0,0
135,10,AVERY WILLIAMS,ATL,0,0,0,0,0,0,0,0
136,10,JAMYCAL HASTY,NE,0,0,0,0,2,0,0,0
137,10,CODY SCHRADER,SF,0,0,0,0,0,0,0,0
138,10,DARRYNTON EVANS,BUF,30,32,121,1,12,7,49,0
139,10,CJ HAM,MIN,10.2,1,7,0,9,7,25,0
140,10,KENDALL MILTON,PHI,0,0,0,0,0,0,0,0
141,10,JEREMY MCNICHOLS,WAS,0,0,0,0,0,0,0,0
