PLAYER NAME,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
CHIGOZIEM OKONKWO,6,12.8,3,13.0
ALEC PIERCE,6,10.2,2,8.0
BRANDON POWELL,6,7.6,4,8.5
DEVONTA SMITH,6,12.2,4,23.5
TYJAE SPEARS,6,12.8,2,8.7
KAVONTAE TURPIN,6,5.8,3,5.9
JUSTIN WATSON,6,6.8,4,8.3
NICK WESTBROOK,6,12.8,2,8.7
SALVON AHMED,5,7.5,1,2.3
CHATARIUS ATWELL,5,6.8,4,9.8
SAQUON BARKLEY,5,15.2,3,25.0
HARRISON BRYANT,5,7.8,3,10.3
JAMES CONNER,5,8.6,1,3.8
CLYDE EDWARDS-HELAIRE,5,5.7,5,10.4
ANTONIO GIBSON,5,7.8,1,2.9
XAVIER GIPSON,5,10.2,3,9.7
JIMMY GRAHAM,5,7.7,4,12.1
KYLEN GRANSON,5,8.5,4,16.0
BREECE HALL,5,10.2,3,9.7
TYLER HIGBEE,5,6.8,4,9.8
ISAIAH HODGINS,5,15.2,2,16.7
ANDREI IOSIVAS,5,6.8,4,10.8
KYLE JUSZCZYK,5,7.1,2,7.7
CHRISTIAN KIRK,5,7.9,2,6.7
JERICK MCKINNON,5,5.7,3,6.3
JALEEL MCLAUGHLIN,5,7.7,1,2.9
RONDALE MOORE,5,8.6,1,3.8
ZACK MOSS,5,8.5,2,8.0
LUKE MUSGRAVE,5,5.6,1,2.7
JOSH OLIVER,5,6.3,3,6.4
KYLE PITTS,5,9.3,3,10.7
BRIAN ROBINSON,5,7.8,2,5.7
LUKE SCHOONMAKER,5,4.8,3,5.9
TYLER SCOTT,5,8.9,3,11.5
IRV SMITH,5,6.8,4,10.8
KADARIUS TONEY,5,5.7,3,6.3
JAYLEN WARREN,5,11.9,2,11.1
JOSH WHYLE,5,10.6,2,8.7
CEDRICK WILSON,5,7.5,4,9.1
ANDREW BECK,4,5.9,3,8.3
JAKE BOBO,4,6.2,1,4.2
PARRIS CAMPBELL,4,12.1,1,8.3
MICHAEL CARTER,4,,2,
RANDALL COBB,4,8.2,0,.0
RIVER CRACRAFT,4,6.0,4,9.1
DEMARIO DOUGLAS,4,11.1,2,15.4
RICO DOWDLE,4,3.8,0,.0
EZEKIEL ELLIOTT,4,11.1,0,.0
MICHAEL GALLUP,4,3.8,1,2.0
MALIK HEATH,4,4.4,2,5.4
KHALIL HERBERT,4,7.1,2,7.7
TAYSOM HILL,4,6.2,3,9.1
LILJORDAN HUMPHREY,4,6.2,2,5.7
ROSCHON JOHNSON,4,7.1,1,3.8
JULIO JONES,4,8.2,1,5.9
FOSTER MOREAU,4,6.2,3,9.1
JOHN MUNDT,4,5.1,3,6.4
AT PERRY,4,6.2,2,6.1
KALIF RAYMOND,4,6.2,0,.0
ALLEN ROBINSON,4,9.5,3,16.7
DEVIN SINGLETARY,4,5.9,2,5.6
DARIUS SLAYTON,4,12.1,0,.0
DURHAM SMYTHE,4,6.0,3,6.8
RHAMONDRE STEVENSON,4,11.1,0,.0
BRENTON STRANGE,4,6.3,3,10.0
DANDRE SWIFT,4,8.2,1,5.9
JONATHAN TAYLOR,4,6.8,3,12.0
DEVEN THOMPKINS,4,6.8,1,3.4
JALEN TOLBERT,4,3.8,2,3.9
TOMMY TREMBLE,4,11.1,3,13.6
COLE TURNER,4,6.3,3,8.6
CJ UZOMAH,4,8.2,2,6.5
DARREN WALLER,4,12.1,1,8.3
AMEER ABDULLAH,3,4.2,2,5.7
MO ALIE-COX,3,5.1,1,4.0
JOHN BATES,3,4.7,3,8.6
RASHOD BATEMAN,3,4.7,3,9.7
RONNIE BELL,3,4.3,2,7.7
TY CHANDLER,3,3.8,2,4.3
GREG DORTCH,3,5.2,2,7.7
TYLER GOODSON,3,5.1,1,4.0
NOAH GRAY,3,3.4,2,4.2
JALEN GUYTON,3,4.1,1,2.3
NAJEE HARRIS,3,7.1,2,11.1
DARRELL HENDERSON,3,4.1,3,7.3
CONNOR HEYWARD,3,7.1,1,5.6
AUSTIN HOOPER,3,4.2,1,2.9
TANNER HUDSON,3,4.1,0,.0
HAYDEN HURST,3,8.3,3,13.6
KEITH KIRKWOOD,3,4.6,2,6.1
BO MELTON,3,3.3,2,5.4
JOHN METCHIE,3,4.4,3,8.3
SCOTT MILLER,3,5.6,2,7.1
JONATHAN MINGO,3,8.3,2,9.1
LATAVIUS MURRAY,3,4.8,2,7.4
TREY PALMER,3,5.1,2,6.9
ZACH PASCAL,3,5.2,1,3.8
MYCOLE PRUITT,3,5.6,2,7.1
HUNTER RENFROW,3,4.2,0,.0
PATRICK RICARD,3,4.7,2,6.5
DREW SAMPLE,3,4.1,0,.0
PATRICK TAYLOR,3,3.3,0,.0
TRE TUCKER,3,4.2,1,2.9
MARQUEZ VALDES-SCANTLING,3,3.4,1,2.1
KENNETH WALKER,3,4.6,0,.0
PARKER WASHINGTON,3,4.8,1,3.3
QUEZ WATKINS,3,6.1,0,.0
JAVONTE WILLIAMS,3,4.6,3,8.6
OLAMIDE ZACCHEAUS,3,6.1,1,5.9
JAMAL AGNEW,2,3.2,1,3.3
CAM AKERS,2,2.5,0,.0
DAVIS ALLEN,2,2.7,1,2.4
TYLER ALLGEIER,2,3.7,0,.0
DAVID BELL,2,3.1,1,3.4
DYAMI BROWN,2,3.1,2,5.7
JASON BROWNLEE,2,4.1,2,6.5
LAWRENCE CAGER,2,6.1,1,8.3
WILL DISSLY,2,3.1,0,.0
KEELAN DOSS,2,2.7,1,2.3
ALEX ERICKSON,2,2.7,0,.0
TRAVIS ETIENNE,2,3.2,0,.0
DARRYNTON EVANS,2,3.6,0,.0
NOAH FANT,2,3.1,0,.0
DONTA FOREMAN,2,3.6,1,3.8
MECOLE HARDMAN,2,2.3,0,.0
DEONTE HARTY,2,3.2,1,3.7
PEYTON HENDERSHOT,2,1.9,1,2.0
DERRICK HENRY,2,4.3,1,4.3
ELIJAH HIGGINS,2,3.4,1,3.8
MACK HOLLINS,2,3.7,0,.0
ALEC INGOLD,2,3.0,0,.0
TRISHTON JACKSON,2,2.5,0,.0
JAUAN JENNINGS,2,2.9,1,3.8
TY JOHNSON,2,3.2,0,.0
MARVIN JONES,2,3.1,0,.0
BREVIN JORDAN,2,2.9,1,2.8
KO KIEFT,2,3.4,1,3.4
CHARLIE KOLAR,2,3.1,0,.0
LUCAS KRULL,2,3.1,2,5.7
ALLEN LAZARD,2,4.1,2,6.5
MARCEDES LEWIS,2,3.6,1,3.8
TERRACE MARSHALL,2,5.6,1,4.5
ANTHONY MCFARLAND,2,4.8,0,.0
DJ MONTGOMERY,2,3.4,1,4.0
QUINTIN MORRIS,2,3.2,0,.0
ANDREW OGLETREE,2,3.4,2,8.0
CORDARRELLE PATTERSON,2,3.7,1,3.6
SAMAJE PERINE,2,3.1,1,2.9
WANDALE ROBINSON,2,6.1,1,8.3
MILES SANDERS,2,5.6,0,.0
KHALIL SHAKIR,2,3.2,1,3.7
TRENT SHERFIELD,2,3.2,1,3.7
BEN SIMS,2,2.2,1,2.7
STONE SMARTT,2,2.7,2,4.5
JUJU SMITH-SCHUSTER,2,5.6,1,7.7
JACK STOLL,2,4.1,0,.0
GEOFF SWAIM,2,3.4,0,.0
ROBERT TONYAN,2,3.6,0,.0
SAMORI TOURE,2,2.2,0,.0
MITCHELL WILCOX,2,2.7,1,2.7
JAMESON WILLIAMS,2,3.1,0,.0
MIKE WILLIAMS,2,2.7,2,4.5
BLAKE BELL,1,1.1,1,2.1
BRAXTON BERRIOS,1,1.5,0,.0
KHARI BLASINGAME,1,1.8,0,.0
KAYSHON BOUTTE,1,2.8,0,.0
CHASE BROWN,1,1.4,0,.0
TREYLON BURKS,1,2.1,0,.0
MICHAEL BURTON,1,1.5,1,2.9
GRANT CALCATERRA,1,2.0,0,.0
DEANDRE CARTER,1,1.4,1,2.9
ZACH CHARBONNET,1,1.5,0,.0
CHASE CLAYPOOL,1,1.8,0,.0
CHRIS CONLEY,1,1.4,1,3.8
ELIJAH COOKS,1,1.6,0,.0
BRITAIN COVEY,1,2.0,0,.0
JAMISON CROWDER,1,1.6,0,.0
DERIUS DAVIS,1,1.4,1,2.3
EMARI DEMERCADO,1,1.7,1,3.8
AJ DILLON,1,1.1,0,.0
JK DOBBINS,1,1.6,1,3.2
PAYNE DURHAM,1,1.7,0,.0
DEVIN DUVERNAY,1,1.6,0,.0
ROSS DWELLEY,1,1.4,0,.0
LUKE FARRELL,1,1.6,1,3.3
SIMI FEHOKO,1,1.4,1,2.3
KEVIN HARRIS,1,2.8,0,.0
JUSTICE HILL,1,1.6,0,.0
JULIAN HILL,1,1.5,1,2.3
BRYCEN HOPKINS,1,1.4,0,.0
SAM HOWELL,1,1.6,1,2.9
CHUBA HUBBARD,1,2.8,0,.0
KAREEM HUNT,1,1.6,0,.0
XAVIER HUTCHINSON,1,1.5,1,2.8
RICHIE JAMES,1,1.1,0,.0
VAN JEFFERSON,1,1.9,0,.0
TYLER JOHNSON,1,1.4,1,2.4
TONY JONES,1,1.5,1,3.0
JOSHUA KELLEY,1,1.4,0,.0
WILL MALLORY,1,1.7,0,.0
CHRIS MANHERTZ,1,1.5,0,.0
RAY RAY MCCLOUD,1,1.4,0,.0
SEAN MCKEON,1,1.0,1,2.0
JORDAN MIMS,1,1.5,1,3.0
MARVIN MIMS,1,1.5,1,2.9
ELIJAH MITCHELL,1,1.4,1,3.8
KEATON MITCHELL,1,1.6,0,.0
TY MONTGOMERY,1,2.8,0,.0
CHRIS MOORE,1,2.1,0,.0
DONOVAN PEOPLES-JONES,1,1.5,1,2.9
KYLE PHILIPS,1,2.1,1,4.3
DAMEON PIERCE,1,1.5,0,.0
KEVIN RADER,1,2.1,1,4.3
JALEN REAGOR,1,2.8,1,7.7
JUSTYN ROSS,1,1.1,1,2.1
AJ SIMMONS,1,2.1,1,4.3
BEN SKOWRONEK,1,1.4,1,2.4
KEITH SMITH,1,1.9,1,3.6
WILLIE SNEAD,1,1.4,0,.0
ISAIAH SPILLER,1,1.4,0,.0
IAN THOMAS,1,2.8,1,4.5
KESHAWN VAUGHN,1,1.7,0,.0
DARNELL WASHINGTON,1,2.4,1,5.6
ZAMIR WHITE,1,1.4,1,2.9
JAMAAL WILLIAMS,1,1.5,0,.0
TRAYVEON WILLIAMS,1,1.4,0,.0
JEFFERY WILSON,1,1.5,1,2.3
CHARLIE WOERNER,1,1.4,0,.0
BROCK WRIGHT,1,1.5,1,2.9
