PLAYER NAME,TEAM,BEST,WORST,AVG.,STD.DEV
TREY BENSON,ARI,69,302,122.0,32.8
TJ HOCKENSON,MIN,85,195,122.4,21.9
PAT FREIERMUTH,PIT,94,174,123.7,15.6
DESHAUN WATSON,CLE,90,178,124.3,14.0
JAKOBI MEYERS,LV,87,149,125.2,13.0
JEROME FORD,CLE,74,172,125.5,14.7
COLE KMET,CHI,98,157,126.5,15.9
CHASE BROWN,CIN,100,257,127.9,22.7
LADD MCCONKEY,LAC,75,284,124.6,37.3
BAKER MAYFIELD,TB,90,152,129.2,9.0
ZACH CHARBONNET,SEA,113,161,130.6,9.2
BRIAN THOMAS,JAC,75,276,132.7,38.7
KEON COLEMAN,BUF,75,265,126.1,30.2
BLAKE CORUM,LAR,95,300,134.7,27.5
ROMEO DOUBS,GB,102,175,134.8,13.4
GABRIEL DAVIS,JAC,93,169,135.7,15.6
GENO SMITH,SEA,112,179,136.3,13.6
CHUBA HUBBARD,CAR,92,172,136.8,17.5
BRANDIN COOKS,DAL,89,176,137.1,17.4
RASHID SHAHEED,NO,102,200,139.0,20.0
CURTIS SAMUEL,BUF,108,177,142.1,18.5
WILL LEVIS,TEN,112,213,144.3,16.1
TY CHANDLER,MIN,121,218,144.3,17.1
JERRY JEUDY,CLE,108,182,145.3,14.8
TYLER ALLGEIER,ATL,122,188,146.3,11.8
ANTONIO GIBSON,NE,128,198,147.5,11.8
KENDRE MILLER,NO,119,218,148.7,14.7
LUKE MUSGRAVE,GB,105,236,149.1,23.9
JAHAN DOTSON,WAS,108,221,149.9,17.4
KHALIL HERBERT,CHI,97,215,151.2,23.4
RICO DOWDLE,DAL,121,259,150.5,23.7
JOSH PALMER,LAC,106,220,156.3,22.0
HUNTER HENRY,NE,111,225,156.4,25.6
JOSH DOWNS,IND,134,240,158.4,18.0
KHALIL SHAKIR,BUF,87,265,161.2,25.2
JUWAN JOHNSON,NO,111,258,162.1,27.8
DEREK CARR,NO,118,275,163.9,29.3
JALEEL MCLAUGHLIN,DEN,126,323,168.4,29.4
ROSCHON JOHNSON,CHI,129,235,168.8,22.8
BALTIMORE RAVENS,BAL,150,187,154.3,8.8
TAYSOM HILL,NO,78,279,164.0,37.6
DANIEL JONES,NYG,128,291,173.7,39.8
ADAM THIELEN,CAR,125,269,173.8,21.8
JK DOBBINS,LAC,121,256,167.7,28.2
MARVIN MIMS,DEN,136,221,172.9,17.5
MARSHAWN LLOYD,GB,121,320,173.3,42.1
SAN FRANCISCO 49ERS,SF,150,189,163.1,9.1
QUENTIN JOHNSTON,LAC,123,226,174.3,17.5
JJ MCCARTHY,MIN,118,315,179.0,49.7
ADONAI MITCHELL,IND,106,289,173.0,28.7
ELIJAH MITCHELL,SF,147,237,177.3,21.9
CADE OTTON,TB,145,236,181.8,24.6
BRYCE YOUNG,CAR,133,254,181.8,35.3
DALLAS COWBOYS,DAL,150,189,168.7,8.1
NEW YORK JETS,NYJ,150,185,170.7,7.4
MICHAEL WILSON,ARI,136,270,181.7,20.4
CLEVELAND BROWNS,CLE,151,278,172.5,14.9
DONTAYVION WICKS,GB,131,242,180.0,21.3
DARNELL MOONEY,ATL,136,244,184.0,22.8
DAMEON PIERCE,HOU,132,272,188.2,28.7
RASHOD BATEMAN,BAL,125,226,188.4,20.3
RUSSELL WILSON,PIT,112,275,193.1,41.6
RICKY PEARSALL,SF,109,306,195.4,30.6
BUFFALO BILLS,BUF,150,211,182.8,9.2
CHIGOZIEM OKONKWO,TEN,130,289,196.1,26.9
KANSAS CITY CHIEFS,KC,160,219,183.1,8.0
KINGSTON DAVIS,BUF,134,326,194.6,48.9
JAYLEN WRIGHT,MIA,119,322,192.2,42.7
PITTSBURGH STEELERS,PIT,160,234,185.9,11.7
MIAMI DOLPHINS,MIA,160,248,183.8,12.0
JUSTIN TUCKER,BAL,166,191,187.4,3.6
TUCKER KRAFT,GB,137,294,197.9,40.2
WANDALE ROBINSON,NYG,164,262,201.8,20.8
XAVIER LEGETTE,CAR,131,291,195.8,29.6
ISAIAH LIKELY,BAL,111,246,202.2,30.5
DEMARIO DOUGLAS,NE,159,242,196.1,18.5
ELIJAH MOORE,CLE,141,293,201.8,25.3
BRANDON AUBREY,DAL,170,206,189.2,4.1
NEW ORLEANS SAINTS,NO,169,248,193.5,14.5
KEATON MITCHELL,BAL,153,309,204.0,36.3
JERMAINE BURTON,CIN,134,339,207.1,36.0
AJ DILLON,GB,140,288,206.3,35.4
JASON SANDERS,MIA,174,251,198.6,11.8
HARRISON BUTKER,KC,171,239,198.6,8.6
ALEXANDER MATTISON,LV,147,329,208.6,32.4
JALYNN POLK,NE,128,295,203.3,27.4
BEN SINNOTT,WAS,127,291,213.4,39.9
TYLER CONKLIN,NYJ,127,305,215.9,37.4
PHILADELPHIA EAGLES,PHI,166,219,191.3,8.6
HOUSTON TEXANS,HOU,171,296,202.8,18.9
MILES SANDERS,CAR,153,272,212.4,25.9
TYLER BASS,BUF,178,233,206.7,7.5
DONTA FOREMAN,CLE,159,280,216.1,25.2
JALIN HYATT,NYG,163,292,217.4,21.5
KAIMI FAIRBAIRN,HOU,175,239,202.4,10.3
DARIUS SLAYTON,NYG,169,269,218.6,19.8
TROY FRANKLIN,DEN,148,350,213.6,35.0
KENNY GAINWELL,PHI,167,288,219.9,24.1
JAKE ELLIOTT,PHI,180,239,204.9,8.3
JAKE MOODY,SF,184,281,211.8,13.7
YOUNGHOE KOO,ATL,182,281,214.1,11.8
MARKEISE IRVING,TB,147,324,220.4,38.0
CHICAGO BEARS,CHI,166,355,211.6,28.9
ROMAN WILSON,PIT,163,263,212.0,22.0
BRAELON ALLEN,NYJ,122,310,224.4,38.0
EVAN MCPHERSON,CIN,185,252,219.4,10.8
DRAKE MAYE,NE,138,286,231.7,36.1
MICHAEL MAYER,LV,130,374,232.7,47.6
MINNESOTA VIKINGS,MIN,170,279,208.3,24.4
DEMARCUS ROBINSON,LAR,163,304,229.7,32.6
JAVON BAKER,NE,155,340,237.8,35.2
NOAH FANT,SEA,174,282,232.9,24.7
KIMANI VIDAL,LAC,122,357,217.2,51.6
CAMERON DICKER,LAC,189,252,229.3,12.6
AUDRIC ESTIME,DEN,159,331,237.3,31.4
CLYDE EDWARDS-HELAIRE,KC,167,277,237.5,20.9
CARTAVIOUS BIGSBY,JAC,150,318,240.2,33.0
JAMAAL WILLIAMS,NO,162,287,239.3,20.4
ODELL BECKHAM,MIA,165,291,235.4,32.1
MALACHI CORLEY,NYJ,137,328,230.5,35.1
TREYLON BURKS,TEN,194,304,238.7,24.2
MATT GAY,IND,191,293,236.6,15.0
KENDRICK BOURNE,NE,196,298,242.3,20.8
BO NIX,DEN,128,307,248.3,39.8
JUSTIN FIELDS,PIT,60,334,250.3,64.1
DUSTIN HOPKINS,CLE,187,251,227.2,12.3
TYLER BOYD,TEN,198,286,242.1,22.1
MIKE GESICKI,CIN,195,299,245.7,20.7
RONDALE MOORE,ATL,173,301,249.2,23.4
JUSTICE HILL,BAL,175,321,244.7,25.0
ZAY JONES,ARI,175,379,238.7,37.5
CAIRO SANTOS,CHI,195,281,244.6,11.8
AT PERRY,NO,175,330,251.1,25.3
INDIANAPOLIS COLTS,IND,187,348,240.8,33.7
JONATHAN MINGO,CAR,199,311,251.4,24.4
DAWSON KNOX,BUF,181,294,255.8,22.3
TYRONE TRACY,NYG,162,359,235.6,48.0
JELANI WOODS,IND,154,319,252.2,34.5
JASON MYERS,SEA,194,281,248.4,14.9
DJ CHARK,LAC,175,320,251.6,31.1
GARDNER MINSHEW,LV,146,323,258.5,40.8
DENVER BRONCOS,DEN,166,349,236.8,38.6
JATAVION SANDERS,CAR,157,335,254.4,30.4
WILL SHIPLEY,PHI,188,325,258.3,27.2
SAMAJE PERINE,DEN,217,300,265.6,16.9
DEVONTEZ WALKER,BAL,169,349,256.7,27.2
TYLER HIGBEE,LAR,188,344,266.3,29.1
GERALD EVERETT,CHI,130,354,262.7,38.7
ALEC PIERCE,IND,200,343,262.0,28.9
JACKSONVILLE JAGUARS,JAC,189,318,238.1,33.5
JOSH REYNOLDS,DEN,221,308,269.1,20.6
JALEN MCMILLAN,TB,203,314,266.0,23.1
TREY PALMER,TB,218,317,275.1,18.1
JEFFERY WILSON,MIA,227,321,270.9,19.9
KJ OSBORN,NE,221,333,272.0,19.8
CINCINNATI BENGALS,CIN,183,355,268.1,39.1
DANIEL CARLSON,LV,191,332,270.6,35.1
DETROIT LIONS,DET,205,355,269.4,38.5
CEDRIC TILLMAN,CLE,231,324,275.3,19.5
ANDREI IOSIVAS,CIN,223,375,280.7,26.9
DEUCE VAUGHN,DAL,237,393,282.9,24.4
BLAKE GRUPE,NO,201,332,279.8,28.8
MICHAEL GALLUP,LV,220,346,281.7,27.6
