PLAYER NAME,TEAM,POS_BEST,POS_WORST,POS_AVG.,POS_STD.DEV
TRAYVEON WILLIAMS,CIN,97,114,102.9,4.8
FRANK GORE,BUF,94,138,108.0,12.8
KYLE JUSZCZYK,SF,79,132,106.3,13.3
MALIK DAVIS,DAL,90,137,112.9,17.4
BOSTON SCOTT,LAR,98,139,118.8,15.0
CODY SCHRADER,SF,101,170,117.1,20.5
ZACH EVANS,LAR,97,151,124.7,17.5
RAHEEM BLACKSHEAR,CAR,112,149,127.0,11.4
KEILAN ROBINSON,JAC,107,129,118.9,8.8
KENE NWANGWU,MIN,96,155,120.8,18.2
DEEJAY DALLAS,ARI,99,173,121.9,20.6
TYLER GOODSON,IND,94,148,118.0,19.6
SIONE HOUMA,DET,85,120,109.2,12.4
CHRISTOPHER BROOKS,MIA,106,143,123.3,12.8
KENDALL MILTON,PHI,85,151,114.8,19.4
DILLON JOHNSON,CAR,101,141,126.1,13.3
AVERY WILLIAMS,ATL,93,134,116.2,13.7
EMANUEL WILSON,GB,118,155,127.2,12.8
MICHAEL WILEY,WAS,101,148,122.6,15.2
DARE OGUNBOWALE,HOU,109,172,139.9,17.4
LOUIS REES-ZAMMIT,KC,96,124,112.0,10.9
LEONARD FOURNETTE,FA,103,144,126.0,16.3
HUNTER LUEPKE,DAL,96,143,128.2,16.9
DAIJUN EDWARDS,PIT,112,139,129.0,9.7
HASSAN HASKINS,TEN,101,152,129.4,18.6
CARSON STEELE,KC,73,144,97.3,33.0
EMANI BAILEY,KC,110,150,131.4,13.8
MYLES GASKIN,MIN,112,154,132.4,15.1
PATRICK RICARD,BAL,83,158,134.4,26.4
LAMICAL PERINE,PIT,108,164,143.2,19.0
ALEC INGOLD,MIA,103,150,137.0,17.2
JAMES ROBINSON,NO,103,158,137.2,20.6
DANTE MILLER,NYG,105,162,128.3,21.3
PATRICK TAYLOR,SF,114,169,138.4,18.4
JAMYCAL HASTY,NE,116,163,138.8,19.3
DARRELL HENDERSON,FA,97,169,131.0,25.6
GEORGE HOLANI,SEA,107,137,117.3,13.9
CARLOS WASHINGTON,ATL,101,141,117.7,17.0
JULIUS CHESTNUT,TEN,127,176,141.8,17.9
DEON JACKSON,NYJ,89,159,134.3,27.0
DEWAYNE MCBRIDE,MIN,113,184,145.2,24.6
CJ HAM,MIN,115,164,145.0,16.3
KHARI BLASINGAME,CHI,95,159,137.3,25.7
DARRYNTON EVANS,BUF,135,161,146.0,9.1
KESHAWN VAUGHN,SF,116,192,149.0,25.2
ZONOVAN KNIGHT,DET,127,156,147.2,10.3
MICHAEL BURTON,DEN,100,169,141.8,25.4
JEREMY MCNICHOLS,WAS,119,163,139.3,18.1
GARY BRIGHTWELL,JAC,125,158,139.7,13.7
ELIJAH DOTSON,LAC,118,168,143.3,20.4
MIKE BOONE,CAR,135,187,159.0,19.1
NOLAN HENDERSON,FA,124,136,130.0,6.0
DEVOZEA FELTON,IND,107,154,130.5,23.5
TONY JONES,ARI,133,172,147.0,17.7
TYRION DAVIS-PRICE,PHI,134,178,156.8,15.9
REGGIE GILLIAM,BUF,114,177,150.3,26.6
JORDAN MIMS,NO,125,171,154.3,20.8
NICK BAWDEN,FA,130,185,157.0,22.5
TRAVIS HOMER,CHI,145,172,158.7,11.0
JAKE FUNK,DET,148,170,160.3,9.2
MELVIN GORDON,FA,126,191,158.5,32.5
JONATHAN WARD,PIT,152,175,161.3,9.9
ADAM PRENTICE,NO,152,167,161.7,6.8
LEW NICHOLS,PHI,148,160,154.0,6.0
SNOOP CONNER,DAL,133,177,155.0,22.0
JERMAR JEFFERSON,DET,146,174,160.0,14.0
JASHAUN CORBIN,FA,147,182,168.3,15.3
BRANDON BOLDEN,FA,157,167,162.0,5.0
DERRICK GORE,FA,165,171,168.0,3.0
ANTHONY MCFARLAND,FA,164,173,168.5,4.5
JONATHAN WILLIAMS,FA,174,175,174.5,0.5
