RK,TIERS,PLAYER NAME,TEAM,FAN PTS
143,9,TYLER ALLGEIER,ATL,119.6
144,9,KENDRE MILLER,NO,33.3
145,9,ANTONIO GIBSON,NE,79.4
146,9,LUKE MUSGRAVE,GB,41.2
147,9,JAHAN DOTSON,WAS,75.8
148,9,KHALIL HERBERT,CHI,92.5
149,9,HUNTER HENRY,NE,77.9
150,9,JOSH PALMER,LAC,68.7
151,9,RICO DOWDLE,DAL,74.5
152,9,KHALIL SHAKIR,BUF,74.1
153,10,JOSH DOWNS,IND,89.1
154,10,DEREK CARR,NO,249.1
155,10,JUWAN JOHNSON,NO,60.8
156,10,BALTIMORE RAVENS,BAL,174
157,10,JALEEL MCLAUGHLIN,DEN,75
158,10,DANIEL JONES,NYG,63
159,10,JK DOBBINS,LAC,9.7
160,10,ROSCHON JOHNSON,CHI,68.1
161,10,SAN FRANCISCO 49ERS,SF,141
162,10,MARSHAWN LLOYD,GB,0
163,10,ADAM THIELEN,CAR,128
164,10,TAYSOM HILL,NO,110.5
165,10,DALLAS COWBOYS,DAL,178
166,10,QUENTIN JOHNSTON,LAC,56
167,10,MARVIN MIMS,DEN,48.7
168,10,ADONAI MITCHELL,IND,0
169,10,NEW YORK JETS,NYJ,154
170,10,CADE OTTON,TB,69.5
171,10,CLEVELAND BROWNS,CLE,153
172,10,BRYCE YOUNG,CAR,166.4
173,10,ELIJAH MITCHELL,SF,41.5
174,10,DONTAYVION WICKS,GB,80.8
175,10,JJ MCCARTHY,MIN,0
176,10,MICHAEL WILSON,ARI,76.5
177,10,DARNELL MOONEY,ATL,47.9
178,10,RUSSELL WILSON,PIT,264.9
179,10,DAMEON PIERCE,HOU,69.7
180,10,KANSAS CITY CHIEFS,KC,134
181,10,BUFFALO BILLS,BUF,159
182,10,RASHOD BATEMAN,BAL,44.5
183,10,RICKY PEARSALL,SF,0
184,10,KINGSTON DAVIS,BUF,0
185,10,PITTSBURGH STEELERS,PIT,143
186,10,CHIGOZIEM OKONKWO,TEN,59.4
187,10,JUSTIN TUCKER,BAL,160
188,10,MIAMI DOLPHINS,MIA,152
189,10,JAYLEN WRIGHT,MIA,0
190,11,DEMARIO DOUGLAS,NE,58.2
191,11,XAVIER LEGETTE,CAR,0
192,11,BRANDON AUBREY,DAL,181
193,11,ISAIAH LIKELY,BAL,71.1
194,11,WANDALE ROBINSON,NYG,73.2
195,11,NEW ORLEANS SAINTS,NO,143
196,11,TUCKER KRAFT,GB,47.5
197,11,HARRISON BUTKER,KC,154
