PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_TGT,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
87,8,MYCOLE PRUITT,PIT,1.5,0.7,0.5,6.5,0.1,0.0,0.0,0.0
88,8,CHARLIE WOERNER,ATL,0.4,0.2,0.2,1.9,0.0,0.0,0.0,0.0
89,8,ANDREW OGLETREE,IND,3.0,1.8,0.8,12.3,0.2,0.0,0.0,0.0
90,8,CHARLIE KOLAR,BAL,1.6,0.6,0.5,6.2,0.1,0.0,0.0,0.0
91,8,DALLIN HOLKER,NO,0,0,0,0,0,0,0,0
92,8,KO KIEFT,TB,0.5,0.3,0.1,0.1,0.1,0.0,0.0,0.0
93,8,ALBERT OKWUEGBUNAM,PHI,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
94,9,ROSS DWELLEY,ATL,0.2,0.2,0.1,1.0,0.0,0.0,0.0,0.0
95,9,TANNER MCLACHLAN,CIN,0,0,0,0,0,0,0,0
96,9,ZACK KUNTZ,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,9,GRANT CALCATERRA,PHI,0.6,0.3,0.3,2.8,0.0,0.0,0.0,0.0
98,9,CAMERON LATU,SF,0,0,0,0,0,0,0,0
99,9,HUNTER LONG,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,9,NICK VANNETT,TEN,0.2,0.1,0.1,0.4,0.0,0.0,0.0,0.0
101,9,CHRIS MANHERTZ,NYG,0.2,0.3,0.1,1.0,0.0,0.0,0.0,0.0
102,9,JAMES MITCHELL,DET,0.3,0.1,0.1,2.0,0.0,0.0,0.0,0.0
103,9,JULIAN HILL,MIA,0.6,0.6,0.4,3.2,0.0,0.0,0.0,0.0
104,9,JOSIAH DEGUARA,FA,1.0,0.5,0.5,4.3,0.0,0.0,0.0,0.0
105,9,DEVIN CULP,TB,0,0,0,0,0,0,0,0
106,9,KENNY YEBOAH,NYJ,1.0,0.8,0.4,5.6,0.0,0.0,0.0,0.0
107,9,QUINTIN MORRIS,BUF,0.7,0.2,0.1,1.7,0.1,0.0,0.0,0.0
