TEAM,QB,RB,WR,TE,K,DEF
NYG,1,32,1,3,23,21
MIN,2,30,3,6,14,30
DAL,3,23,2,21,6,9
SF,4,5,9,22,4,5
TEN,5,6,19,4,21,31
CAR,6,27,18,1,20,27
SEA,7,17,4,18,2,20
NO,8,31,10,5,15,10
ARI,9,13,5,11,25,23
DEN,10,20,8,30,19,18
NYJ,11,16,12,31,12,1
CHI,12,12,27,16,11,7
PHI,13,1,7,24,16,2
LV,14,3,22,9,13,32
LAR,15,14,6,27,8,3
IND,16,22,26,7,7,25
BAL,17,25,13,10,29,28
CLE,18,8,30,2,18,8
BUF,19,24,15,29,27,14
DET,20,18,11,14,9,16
KC,21,11,14,23,10,12
GB,22,15,17,15,22,6
PIT,23,4,20,8,3,29
TB,24,9,24,17,26,24
LAC,25,10,25,13,31,26
CIN,26,29,23,28,32,11
ATL,27,2,29,19,17,15
HOU,28,21,16,32,1,4
WAS,29,28,28,20,28,19
NE,30,7,31,12,24,22
JAC,31,26,21,25,5,13
MIA,32,19,32,26,30,17
