NAME,ADP
YOUNGHOE KOO,190.5
CHIGOZIEM OKONKWO,190.5
TROY FRANKLIN,191.0
JUSTIN FIELDS,194.5
DEMARIO DOUGLAS,194.5
CLEVELAND BROWNS,194.5
DAMEON PIERCE,196.5
PITTSBURGH STEELERS,198.0
ROSCHON JOHNSON,199.0
DANIEL JONES,200.0
JERMAINE BURTON,200.0
