TEAM,QB,RB,WR,TE,K,DEF
GB,1,11,2,23,24,14
MIN,2,26,10,11,18,30
DEN,3,12,7,12,20,24
DAL,4,31,5,21,28,23
JAC,5,30,1,14,32,27
HOU,6,17,4,6,29,3
CIN,7,9,6,24,10,26
ATL,8,7,18,32,26,2
BAL,9,27,11,8,30,31
PHI,10,2,27,1,4,15
CAR,11,21,13,2,22,32
LV,12,6,25,16,8,7
SEA,13,18,14,4,27,19
BUF,14,25,9,22,13,12
NYJ,15,24,16,26,25,9
NO,16,23,8,5,3,28
DET,17,14,3,18,1,5
IND,18,3,23,7,11,18
PIT,19,13,28,10,17,4
KC,20,15,24,15,19,11
LAC,21,10,20,13,14,21
TB,22,16,15,27,21,29
ARI,23,8,26,25,31,17
SF,24,19,12,20,2,8
CHI,25,4,22,9,7,25
LAR,26,32,19,30,23,22
TEN,27,1,31,3,6,6
CLE,28,5,32,19,5,1
NE,29,22,29,17,12,20
WAS,30,28,17,28,9,10
MIA,31,29,21,31,16,16
NYG,32,20,30,29,15,13
