PPR_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,"AVG_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS","AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS"
"160",11,"Jalen Nailor",MIN,"4.1","1.6","1.1","22.4","0.1","0.0","0.0","0.0"
"161",11,"KhaDarel Hodge",ATL,"3.2","1.5","1.0","15.5","0.1","0.0","0.0","0.0"
"162",11,"Equanimeous St. Brown",CHI,"4.0","2.4","1.3","20.2","0.1","0.4","3.4","0.0"
"163",11,"Jalen Guyton",LAC,"4.2","2.0","1.0","32.0","0.0","0.0","0.0","0.0"
"164",11,"Kenny Golladay",FA,"3.4","2.8","1.0","13.5","0.2","0.0","0.0","0.0"
"165",11,"Justin Shorter",BUF,"0","0","0","0","0","0","0","0"
"166",11,"Jalen Reagor",MIN,"1.6","0.8","0.5","6.1","0.1","0.2","1.5","0.0"
"167",11,"Brandon Powell",MIN,"2.8","1.9","1.4","9.2","0.0","1.0","4.7","0.0"
"168",11,"Byron Pringle",WAS,"3.5","1.6","1.0","13.5","0.2","0.0","0.0","0.0"
"169",11,"Ashton Dulin",IND,"4.3","2.2","1.5","20.7","0.1","0.2","0.8","0.0"
"170",11,"Ray-Ray McCloud III",SF,"3.4","1.5","0.8","14.3","0.1","0.2","4.6","0.1"
"171",12,"Dee Eskridge",SEA,"1.5","1.4","0.8","6.4","0.0","0.2","1.1","0.0"
"172",12,"Erik Ezukanma",MIA,"1.3","1.0","1.0","3.0","0.0","0.0","0.0","0.0"
"173",12,"Deven Thompkins",TB,"2.2","2.0","1.0","6.4","0.0","0.4","5.2","0.0"
"174",12,"Kendall Hinton",DEN,"5.1","3.0","2.2","28.3","0.0","0.2","1.2","0.0"
"175",12,"David Moore",TB,"0","0","0","0","0","0","0","0"
"176",12,"Tylan Wallace",BAL,"1.2","1.2","0.7","5.5","0.0","0.0","0.0","0.0"
"177",12,"Cam Sims",LV,"1.3","1.4","0.6","6.8","0.0","0.0","0.0","0.0"
"178",12,"Phillip Dorsett II",LV,"3.4","2.7","1.3","17.1","0.1","0.0","0.0","0.0"
"179",12,"Racey McMath",TEN,"1.6","2.0","0.5","10.0","0.0","0.3","1.0","0.0"
"180",12,"N'Keal Harry",FA,"4.1","1.5","1.2","19.3","0.2","0.0","0.0","0.0"
"181",12,"James Proche II",BAL,"1.1","1.4","0.7","5.2","0.0","0.0","0.0","0.0"
"182",12,"Bryce Ford-Wheaton",NYG,"0","0","0","0","0","0","0","0"
"183",12,"KaVontae Turpin",DAL,"-0.0","0.1","0.1","0.5","0.0","0.2","1.0","0.0"
"184",12,"Sammy Watkins",FA,"5.2","3.0","1.8","36.1","0.0","0.0","0.0","0.0"
"185",12,"Derius Davis",LAC,"0","0","0","0","0","0","0","0"
"186",12,"Quintez Cephus",DET,"1.2","1.0","0.7","5.0","0.0","0.0","0.0","0.0"
"187",12,"Anthony Schwartz",CLE,"2.7","1.4","0.6","7.3","0.0","0.6","8.1","0.1"
"188",12,"Amari Rodgers",IND,"2.6","1.7","1.1","13.6","0.1","0.1","0.5","0.0"
"189",12,"Dareke Young",SEA,"0.6","0.3","0.3","3.4","0.0","0.0","0.0","0.0"
"190",12,"Mike Strachan",IND,"1.5","1.5","0.5","9.8","0.0","0.0","0.0","0.0"
"191",12,"Montrell Washington",DEN,"0.3","0.6","0.3","0.1","0.0","0.3","2.0","0.0"
"192",12,"Jalen Brooks",DAL,"0","0","0","0","0","0","0","0"
"193",12,"Rashard Higgins",FA,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"194",12,"Miles Boykin",PIT,"0.3","0.3","0.2","1.1","0.0","0.0","0.0","0.0"
"195",12,"Dax Milne",WAS,"1.0","0.5","0.4","2.5","0.1","0.0","0.0","0.0"
"196",12,"Austin Watkins Jr.",CLE,"0","0","0","0","0","0","0","0"
"197",12,"Michael Bandy",DEN,"2.4","2.6","1.3","11.1","0.0","0.0","0.0","0.0"
"198",12,"David Sills V",NYG,"3.1","2.4","1.6","15.1","0.0","0.0","0.0","0.0"
"199",12,"Keith Kirkwood",NO,"1.3","1.3","0.7","6.0","0.0","0.0","0.0","0.0"
"200",12,"Breshad Perriman",IND,"2.9","2.4","1.1","13.8","0.1","0.3","-0.9","0.0"
"201",12,"Juwann Winfree",IND,"0.9","1.3","0.3","5.7","0.0","0.0","0.0","0.0"
"202",12,"Bryan Edwards",FA,"1.1","1.3","0.8","3.8","0.0","0.0","0.0","0.0"
"203",12,"River Cracraft",MIA,"3.9","1.8","1.1","12.8","0.3","0.0","0.0","0.0"
"204",12,"Tim Jones",JAC,"0.9","0.6","0.4","4.3","0.0","0.0","0.0","0.0"
"205",12,"Gunner Olszewski",PIT,"0.8","0.5","0.3","3.5","0.0","0.5","2.6","0.0"
"206",12,"Chris Conley",SF,"2.1","1.8","1.0","11.5","0.0","0.0","0.0","0.0"
"207",12,"Kendric Pryor",JAC,"0","0","0","0","0","0","0","0"
"208",13,"Rakim Jarrett",TB,"0","0","0","0","0","0","0","0"
"209",13,"Kaylon Geiger Sr.",TB,"0","0","0","0","0","0","0","0"
"210",13,"Grant DuBose",GB,"0","0","0","0","0","0","0","0"
"211",13,"Willie Snead IV",SF,"0","0","0","0","0","0","0","0"
"212",13,"Ihmir Smith-Marsette",KC,"0.1","1.0","0.3","3.8","0.0","0.3","-0.3","0.0"
"213",13,"Simi Fehoko",DAL,"1.8","1.3","1.0","8.0","0.0","0.0","0.0","0.0"
"214",13,"Mason Kinsey",TEN,"0.7","0.5","0.5","1.5","0.0","0.0","0.0","0.0"
"215",13,"Cade Johnson",SEA,"2.0","2.0","1.0","10.5","0.0","0.0","0.0","0.0"
"216",13,"Dezmon Patmon",BUF,"4.4","6.0","2.0","24.0","0.0","0.0","0.0","0.0"
"217",13,"Marcus Kemp",WAS,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"218",13,"Joseph Ngata",PHI,"0","0","0","0","0","0","0","0"
"219",13,"Lil'Jordan Humphrey",DEN,"1.0","1.0","0.5","5.0","0.0","0.0","0.0","0.0"
