PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_POS_BEST,PPR_POS_WORST,PPR_POS_AVG.,PPR_POS_STD.DEV
"1",1,"Justin Jefferson",MIN,"1","3","1.1","0.4"
"2",1,"Ja'Marr Chase",CIN,"1","4","2.1","0.6"
"3",1,"Cooper Kupp",LAR,"1","9","3.6","1.4"
"4",1,"Tyreek Hill",MIA,"2","7","3.9","0.8"
"5",2,"Stefon Diggs",BUF,"3","10","5.6","1.5"
"6",2,"CeeDee Lamb",DAL,"3","11","6.7","1.5"
"7",2,"Amon-Ra St. Brown",DET,"2","11","7.5","1.8"
"8",2,"A.J. Brown",PHI,"4","16","8.2","1.9"
"9",2,"Davante Adams",LV,"4","15","8.3","2.3"
"10",3,"Garrett Wilson",NYJ,"5","19","9.5","1.9"
"11",3,"Jaylen Waddle",MIA,"7","21","12.1","2.2"
"12",3,"Chris Olave",NO,"8","27","12.6","2.2"
"13",3,"DeVonta Smith",PHI,"10","30","14.0","2.9"
"14",3,"Keenan Allen",LAC,"10","29","15.1","3.3"
"15",3,"Tee Higgins",CIN,"10","28","15.2","2.7"
"16",3,"DK Metcalf",SEA,"8","28","16.4","2.9"
"17",4,"Calvin Ridley",JAC,"7","39","17.7","5.1"
"18",4,"Amari Cooper",CLE,"13","35","18.9","3.2"
"19",4,"Deebo Samuel",SF,"9","38","22.0","4.7"
"20",4,"Chris Godwin",TB,"12","37","22.6","4.7"
"21",4,"DeAndre Hopkins",TEN,"12","37","23.1","4.5"
"22",4,"DJ Moore",CHI,"15","40","23.2","4.7"
"23",4,"Drake London",ATL,"15","44","24.0","4.6"
"24",4,"Terry McLaurin",WAS,"15","46","25.7","5.0"
"25",4,"Diontae Johnson",PIT,"14","40","26.2","5.7"
"26",4,"Christian Watson",GB,"16","37","26.4","5.0"
"27",5,"Tyler Lockett",SEA,"16","53","27.1","5.6"
"28",5,"Brandon Aiyuk",SF,"17","47","27.9","5.1"
"29",5,"Mike Williams",LAC,"18","46","29.3","5.3"
"30",5,"Jerry Jeudy",DEN,"17","59","29.7","8.6"
"31",5,"Christian Kirk",JAC,"17","44","30.0","5.1"
"32",5,"Marquise Brown",ARI,"20","54","31.2","5.8"
"33",5,"Michael Pittman Jr.",IND,"20","46","31.8","5.3"
"34",5,"Mike Evans",TB,"19","44","32.3","4.4"
"35",5,"Jahan Dotson",WAS,"22","58","35.3","5.7"
"36",5,"George Pickens",PIT,"21","59","37.1","6.0"
"37",5,"Jordan Addison",MIN,"23","97","38.2","7.9"
"38",6,"Brandin Cooks",DAL,"31","55","40.6","4.6"
"39",6,"Gabe Davis",BUF,"29","61","41.1","6.2"
"40",6,"Courtland Sutton",DEN,"28","82","41.3","6.9"
"41",6,"Jaxon Smith-Njigba",SEA,"25","107","41.9","8.7"
"42",6,"Treylon Burks",TEN,"32","61","43.7","6.4"
"43",6,"Zay Flowers",BAL,"26","158","44.8","14.4"
"44",6,"JuJu Smith-Schuster",NE,"34","88","45.6","7.1"
"45",6,"Michael Thomas",NO,"24","67","45.6","6.2"
"46",6,"Elijah Moore",CLE,"34","83","45.9","7.4"
"47",6,"Jakobi Meyers",LV,"39","82","49.3","6.2"
"48",6,"Quentin Johnston",LAC,"31","155","49.5","12.2"
"49",6,"Skyy Moore",KC,"35","145","50.6","13.0"
"50",6,"Rashod Bateman",BAL,"32","137","50.6","12.1"
"51",6,"Kadarius Toney",KC,"33","82","53.2","8.9"
"52",6,"Nico Collins",HOU,"37","77","53.7","6.8"
"53",7,"Allen Lazard",NYJ,"41","125","56.2","9.3"
"54",7,"Romeo Doubs",GB,"34","121","56.3","10.3"
"55",7,"Odell Beckham Jr.",BAL,"35","116","58.1","10.7"
"56",7,"Rondale Moore",ARI,"39","127","57.2","10.6"
"57",7,"Darnell Mooney",CHI,"42","177","59.1","12.8"
"58",7,"Tyler Boyd",CIN,"41","150","58.0","10.0"
"59",7,"Zay Jones",JAC,"37","144","57.3","10.3"
"60",7,"Adam Thielen",CAR,"39","147","61.4","11.1"
"61",7,"Jameson Williams",DET,"44","187","64.0","14.9"
"62",7,"Michael Gallup",DAL,"43","165","65.0","11.8"
"63",7,"DJ Chark Jr.",CAR,"49","151","66.2","11.2"
"64",7,"Donovan Peoples-Jones",CLE,"48","191","69.4","13.6"
"65",7,"Alec Pierce",IND,"53","194","72.1","14.1"
"66",7,"K.J. Osborn",MIN,"42","140","69.2","11.2"
"67",7,"Isaiah Hodgins",NYG,"47","146","72.5","11.7"
"68",7,"Curtis Samuel",WAS,"51","163","72.5","11.7"
"69",7,"Jonathan Mingo",CAR,"41","193","72.5","18.0"
"70",7,"Van Jefferson",LAR,"43","162","73.3","13.9"
"71",8,"Marvin Mims Jr.",DEN,"42","116","74.1","17.4"
"72",8,"Hunter Renfrow",LV,"51","190","73.7","14.6"
"73",8,"Rashid Shaheed",NO,"55","179","72.7","12.3"
"74",8,"Robert Woods",HOU,"45","104","78.6","10.3"
"75",8,"Parris Campbell",NYG,"55","101","78.7","9.1"
"76",8,"Marquez Valdes-Scantling",KC,"54","107","76.2","9.3"
"77",8,"Darius Slayton",NYG,"56","160","78.2","12.0"
"78",8,"Jayden Reed",GB,"53","186","76.8","16.8"
"79",8,"DeVante Parker",NE,"58","168","78.7","11.6"
"80",8,"Rashee Rice",KC,"54","175","78.5","18.2"
"81",8,"John Metchie III",HOU,"51","119","80.2","10.4"
"82",8,"Chase Claypool",CHI,"61","102","81.7","7.7"
"83",8,"Jalin Hyatt",NYG,"43","124","81.5","13.5"
"84",8,"Wan'Dale Robinson",NYG,"58","124","82.3","13.4"
"85",8,"Joshua Palmer",LAC,"59","117","82.1","10.2"
"86",8,"Mecole Hardman Jr.",NYJ,"63","103","83.9","8.1"
"87",8,"Allen Robinson II",PIT,"62","111","84.4","9.7"
"88",8,"Josh Downs",IND,"56","175","88.1","11.8"
"89",8,"Tyquan Thornton",NE,"68","128","89.5","10.7"
"90",8,"Richie James Jr.",KC,"64","130","94.6","11.2"
"91",8,"Terrace Marshall Jr.",CAR,"69","133","92.8","9.8"
"92",8,"Marvin Jones Jr.",DET,"70","131","96.0","8.2"
"93",8,"Mack Hollins",ATL,"63","114","93.0","8.3"
"94",8,"Khalil Shakir",BUF,"65","130","97.0","11.2"
"95",8,"Sterling Shepard",NYG,"52","144","96.5","13.9"
"96",8,"Tank Dell",HOU,"37","187","85.5","19.6"
"97",8,"Josh Reynolds",DET,"75","130","96.7","9.0"
"98",9,"Kendrick Bourne",NE,"76","123","98.4","8.1"
"99",9,"Laviska Shenault Jr.",CAR,"84","125","105.1","7.8"
"100",9,"Quez Watkins",PHI,"92","127","105.1","7.0"
"101",9,"Isaiah McKenzie",IND,"84","131","103.6","11.2"
"102",9,"Cedric Tillman",CLE,"73","170","103.0","11.9"
"103",9,"Puka Nacua",LAR,"65","223","95.9","19.1"
"104",9,"Nick Westbrook-Ikhine",TEN,"88","148","109.5","9.4"
"105",9,"Devin Duvernay",BAL,"93","148","112.8","12.6"
"106",9,"Braxton Berrios",MIA,"82","128","105.2","7.9"
"107",9,"Michael Wilson",ARI,"57","216","91.7","24.5"
"108",9,"Kayshon Boutte",NE,"93","153","114.1","12.8"
"109",9,"Justyn Ross",KC,"65","154","99.9","17.6"
"110",9,"David Bell",CLE,"89","207","114.1","17.9"
"111",9,"Russell Gage",TB,"71","132","93.5","14.4"
"112",9,"Greg Dortch",ARI,"78","183","103.3","15.3"
"113",9,"Nelson Agholor",BAL,"95","143","116.5","10.3"
"114",10,"Kyle Philips",TEN,"79","153","110.0","12.0"
"115",10,"Robbie Chosen",MIA,"81","148","114.2","12.2"
"116",10,"Tutu Atwell",LAR,"85","132","105.3","12.2"
"117",10,"Deonte Harty",BUF,"74","161","105.4","16.4"
"118",10,"Xavier Hutchinson",HOU,"87","223","122.5","21.3"
"119",10,"Ben Skowronek",LAR,"97","161","118.8","11.7"
"120",10,"KJ Hamler",FA,"93","178","118.0","19.2"
"121",10,"Noah Brown",HOU,"98","133","116.6","8.0"
"122",10,"A.T. Perry",NO,"84","226","123.9","21.0"
"123",10,"Jauan Jennings",SF,"88","146","115.2","12.2"
"124",10,"Jalen Tolbert",DAL,"93","149","126.0","13.6"
"125",10,"Jamison Crowder",NYG,"100","209","126.0","19.6"
"126",10,"Tyler Scott",CHI,"91","228","124.8","19.7"
"127",10,"Trent Sherfield",BUF,"100","149","123.2","14.5"
"128",10,"Calvin Austin III",PIT,"84","205","123.0","21.5"
"129",10,"Randall Cobb",NYJ,"94","151","117.5","13.9"
"130",10,"Trey Palmer",TB,"77","165","118.0","18.9"
"131",10,"Marquez Callaway",DEN,"90","159","122.3","13.3"
"132",10,"Olamide Zaccheaus",PHI,"96","147","124.6","12.2"
"133",10,"Kalif Raymond",DET,"89","145","116.5","16.3"
"134",10,"Cedrick Wilson Jr.",MIA,"98","150","125.4","14.7"
"135",10,"Justin Watson",KC,"98","149","129.5","12.6"
"136",10,"Chris Moore",TEN,"91","141","118.1","12.9"
"137",10,"Charlie Jones",CIN,"106","168","136.2","13.9"
"138",10,"Dyami Brown",WAS,"106","169","134.1","12.3"
"139",10,"Jarvis Landry",FA,"94","177","118.8","19.3"
"140",10,"Demarcus Robinson",LAR,"104","269","133.8","27.6"
"141",10,"Demario Douglas",NE,"94","153","121.1","17.1"
"142",10,"Jamal Agnew",JAC,"103","184","128.9","17.2"
"143",10,"Parker Washington",JAC,"105","155","135.2","12.6"
"144",10,"Samori Toure",GB,"105","201","136.9","17.9"
"145",10,"Tre'Quan Smith",NO,"121","165","143.3","10.3"
"146",11,"Julio Jones",FA,"93","179","124.7","21.6"
"147",11,"DeAndre Carter",LV,"117","162","139.6","12.3"
