PLAYER NAME,TEAM,POS_BEST,POS_WORST,POS_AVG.,POS_STD.DEV
"Christian McCaffrey",SF,"1","7","1.7","1.3"
"Nick Chubb",CLE,"1","9","3.0","1.4"
"Austin Ekeler",LAC,"1","10","4.0","2.8"
"Bijan Robinson",ATL,"1","11","4.2","1.7"
"Derrick Henry",TEN,"2","11","4.9","1.9"
"Tony Pollard",DAL,"1","14","6.4","2.0"
"Saquon Barkley",NYG,"1","8","6.7","1.3"
"Josh Jacobs",LV,"4","21","8.3","3.1"
"Jonathan Taylor",IND,"2","18","8.5","3.0"
"Joe Mixon",CIN,"7","27","12.5","4.0"
"Najee Harris",PIT,"6","33","12.6","3.6"
"Rhamondre Stevenson",NE,"7","21","13.0","3.4"
"Travis Etienne Jr.",JAC,"7","21","13.1","2.8"
"Jahmyr Gibbs",DET,"7","27","15.5","4.4"
"Aaron Jones",GB,"10","29","16.2","3.6"
"Kenneth Walker III",SEA,"5","27","16.3","4.1"
"Breece Hall",NYJ,"6","29","18.1","4.8"
"Miles Sanders",CAR,"10","33","18.7","4.6"
"J.K. Dobbins",BAL,"11","32","19.0","5.0"
"Dameon Pierce",HOU,"11","35","20.1","4.4"
"Cam Akers",LAR,"11","41","20.1","4.5"
"Alexander Mattison",MIN,"11","40","20.4","5.5"
"James Conner",ARI,"15","35","23.4","3.8"
"David Montgomery",DET,"16","34","25.7","3.8"
"James Cook",BUF,"15","40","25.9","4.7"
"Rachaad White",TB,"16","36","26.6","4.0"
"Javonte Williams",DEN,"10","37","26.8","4.8"
"Isiah Pacheco",KC,"14","39","27.1","4.0"
"Alvin Kamara",NO,"17","39","28.4","4.5"
"Dalvin Cook",NYJ,"13","42","28.6","6.0"
"Khalil Herbert",CHI,"19","51","30.9","5.3"
"D'Andre Swift",PHI,"20","44","31.1","4.6"
"Brian Robinson Jr.",WAS,"20","49","32.2","3.9"
"AJ Dillon",GB,"23","47","33.7","3.0"
"Antonio Gibson",WAS,"27","48","36.0","4.1"
"Jamaal Williams",NO,"23","54","37.9","4.5"
"Rashaad Penny",PHI,"24","56","38.1","5.8"
"Samaje Perine",DEN,"28","54","38.2","4.9"
"Zach Charbonnet",SEA,"25","60","39.1","5.4"
"Elijah Mitchell",SF,"33","59","43.2","4.9"
"Tyler Allgeier",ATL,"31","60","43.3","5.5"
"Damien Harris",BUF,"32","64","43.6","6.0"
"Jeff Wilson Jr.",MIA,"34","61","45.2","4.8"
"Jaylen Warren",PIT,"34","61","46.3","5.7"
"Ezekiel Elliott",NE,"28","84","46.4","8.7"
"Raheem Mostert",MIA,"29","59","46.6","5.2"
"De'Von Achane",MIA,"33","106","47.2","9.2"
"Jerick McKinnon",KC,"28","61","48.1","5.6"
"Kenneth Gainwell",PHI,"34","72","48.5","6.8"
"Tank Bigsby",JAC,"33","82","49.3","8.4"
