PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_POS_BEST,PPR_POS_WORST,PPR_POS_AVG.,PPR_POS_STD.DEV
"1",1,"Christian McCaffrey",SF,"1","4","1.2","0.6"
"2",1,"Austin Ekeler",LAC,"1","4","2.3","0.6"
"3",1,"Saquon Barkley",NYG,"2","8","3.7","1.0"
"4",1,"Bijan Robinson",ATL,"1","12","4.5","1.6"
"5",1,"Tony Pollard",DAL,"1","16","5.4","2.4"
"6",2,"Nick Chubb",CLE,"1","10","6.2","1.8"
"7",2,"Derrick Henry",TEN,"4","12","7.6","1.3"
"8",2,"Josh Jacobs",LV,"4","23","9.1","3.5"
"9",2,"Jonathan Taylor",IND,"3","20","10.1","3.1"
"10",2,"Rhamondre Stevenson",NE,"3","25","10.8","3.0"
"11",2,"Joe Mixon",CIN,"4","25","11.5","3.8"
"12",3,"Najee Harris",PIT,"5","31","12.8","3.7"
"13",3,"Jahmyr Gibbs",DET,"5","32","13.5","3.9"
"14",3,"Aaron Jones",GB,"9","28","14.1","3.3"
"15",3,"Travis Etienne Jr.",JAC,"7","26","14.3","3.1"
"16",3,"Breece Hall",NYJ,"6","29","17.4","4.7"
"17",4,"Kenneth Walker III",SEA,"7","29","19.9","4.2"
"18",4,"Miles Sanders",CAR,"12","34","20.4","4.6"
"19",4,"Dameon Pierce",HOU,"11","34","20.8","4.8"
"20",4,"Alexander Mattison",MIN,"10","41","21.2","5.9"
"21",4,"J.K. Dobbins",BAL,"13","36","22.3","5.2"
"22",4,"James Conner",ARI,"15","33","22.4","4.1"
"23",4,"Rachaad White",TB,"14","33","22.4","4.2"
"24",4,"Cam Akers",LAR,"13","47","23.4","4.5"
"25",4,"James Cook",BUF,"14","40","24.9","4.9"
"26",4,"Alvin Kamara",NO,"13","39","25.1","5.3"
"27",4,"Javonte Williams",DEN,"10","40","25.7","5.2"
"28",4,"David Montgomery",DET,"15","34","26.3","3.8"
"29",4,"D'Andre Swift",PHI,"15","58","28.5","5.6"
"30",4,"Dalvin Cook",NYJ,"13","41","29.6","5.7"
"31",4,"Isiah Pacheco",KC,"17","43","29.6","4.0"
"32",5,"Antonio Gibson",WAS,"21","43","31.3","3.9"
"33",5,"Khalil Herbert",CHI,"22","55","33.4","5.1"
"34",5,"AJ Dillon",GB,"25","86","35.0","5.4"
"35",5,"Brian Robinson Jr.",WAS,"27","54","35.8","3.7"
"36",5,"Samaje Perine",DEN,"27","103","37.0","7.3"
"37",5,"Zach Charbonnet",SEA,"26","96","38.4","7.5"
"38",5,"Jerick McKinnon",KC,"20","92","39.9","7.4"
"39",5,"Jamaal Williams",NO,"29","58","40.9","4.6"
"40",5,"Rashaad Penny",PHI,"29","68","43.3","6.4"
"41",5,"Jaylen Warren",PIT,"31","128","44.5","9.4"
"42",5,"Damien Harris",BUF,"34","99","44.7","7.8"
"43",6,"Jeff Wilson Jr.",MIA,"33","63","45.8","5.3"
