PLAYER NAME,TEAM,POS_BEST,POS_WORST,POS_AVG.,POS_STD.DEV
"Travis Kelce",KC,"1","2","1.0","0.1"
"Mark Andrews",BAL,"1","4","2.2","0.5"
"T.J. Hockenson",MIN,"2","7","3.9","1.3"
"Darren Waller",NYG,"2","10","4.6","1.6"
"George Kittle",SF,"2","8","4.7","1.3"
"Kyle Pitts",ATL,"2","10","5.8","1.5"
"Dallas Goedert",PHI,"4","11","6.3","1.2"
"Pat Freiermuth",PIT,"5","17","9.2","2.1"
"Evan Engram",JAC,"6","17","9.6","1.8"
"David Njoku",CLE,"7","22","10.1","2.1"
"Chigoziem Okonkwo",TEN,"8","22","12.8","2.9"
"Dalton Schultz",HOU,"8","24","13.5","3.1"
"Cole Kmet",CHI,"8","24","15.0","3.6"
"Tyler Higbee",LAR,"9","27","15.7","3.2"
"Dalton Kincaid",BUF,"7","32","14.9","4.3"
"Greg Dulcich",DEN,"10","30","16.4","4.2"
"Juwan Johnson",NO,"9","31","17.1","4.0"
"Gerald Everett",LAC,"11","29","18.3","3.6"
"Sam LaPorta",DET,"11","44","18.7","5.2"
"Irv Smith Jr.",CIN,"14","35","23.2","4.0"
"Hunter Henry",NE,"10","35","23.4","4.5"
"Taysom Hill",NO,"8","38","19.6","6.2"
"Dawson Knox",BUF,"14","37","23.8","4.7"
"Mike Gesicki",NE,"16","40","25.7","5.1"
"Hayden Hurst",CAR,"15","34","26.3","3.9"
"Trey McBride",ARI,"17","39","27.8","4.1"
"Noah Fant",SEA,"17","40","28.3","4.3"
"Michael Mayer",LV,"20","43","29.6","4.8"
"Zach Ertz",ARI,"17","63","30.7","5.9"
"Jelani Woods",IND,"17","39","29.2","4.2"
"Isaiah Likely",BAL,"20","44","31.7","4.2"
"Cade Otton",TB,"20","46","32.0","4.1"
"Jake Ferguson",DAL,"13","45","25.0","7.0"
"Luke Musgrave",GB,"15","45","26.7","6.6"
"Logan Thomas",WAS,"28","52","35.0","4.1"
"Tyler Conklin",NYJ,"19","45","32.1","5.9"
"Austin Hooper",LV,"26","61","38.0","4.6"
"Daniel Bellinger",NYG,"27","62","39.5","6.3"
"Robert Tonyan",CHI,"26","70","41.5","6.4"
"Adam Trautman",DEN,"24","59","40.5","7.3"
"Jonnu Smith",ATL,"35","62","43.0","5.4"
"Luke Schoonmaker",DAL,"30","63","43.0","6.2"
"Darnell Washington",PIT,"31","78","45.5","7.3"
"Foster Moreau",NO,"28","59","43.6","5.5"
"Albert Okwuegbunam",DEN,"26","100","42.7","11.8"
"Donald Parham Jr.",LAC,"28","63","45.2","6.0"
"Noah Gray",KC,"36","64","44.6","5.6"
"Will Dissly",SEA,"36","66","46.5","6.7"
"Brevin Jordan",HOU,"37","86","51.6","8.9"
"Tucker Kraft",GB,"36","76","46.7","7.2"
"Mo Alie-Cox",IND,"41","65","50.3","5.3"
"Cole Turner",WAS,"27","75","45.3","13.8"
