PPR_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,"AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS","AVG_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS"
"163",11,"Jonathan Williams",WAS,"2.9","4.1","16.9","0.0","1.1","0.8","4.4","0.0"
"164",11,"Adam Prentice",NO,"0.8","0.7","1.5","0.0","0.5","0.5","1.5","0.0"
"165",11,"Nick Bawden",NYJ,"0","0","0","0","0","0","0","0"
"166",11,"Avery Williams",ATL,"1.9","1.3","6.4","0.1","0.8","0.8","3.6","0.0"
"167",11,"Khari Blasingame",CHI,"0.0","0.0","0.0","0.0","0.2","0.0","0.0","0.0"
"168",11,"Jonathan Ward",TEN,"1.3","1.3","6.3","0.0","0.8","0.5","1.8","0.0"
"169",11,"Tiyon Evans",FA,"0","0","0","0","0","0","0","0"
"170",11,"Malcolm Brown",FA,"3.3","2.6","11.6","0.1","0.9","0.7","5.3","0.0"
"171",11,"Godwin Igwebuike",ATL,"0.3","0.6","0.8","0.0","0.2","0.2","0.6","0.0"
"172",11,"Emari Demercado",ARI,"0","0","0","0","0","0","0","0"
"173",11,"Spencer Brown",CAR,"3.6","4.5","21.5","0.0","2.0","1.0","5.0","0.0"
"174",11,"Jason Huntley",IND,"0","0","0","0","0","0","0","0"
"175",11,"Tyler Goodson",GB,"0","0","0","0","0","0","0","0"
"176",12,"Patrick Laird",TB,"0","0","0","0","0","0","0","0"
"177",12,"Larry Rountree III",HOU,"1.8","4.3","6.3","0.0","0.7","0.7","4.7","0.0"
"178",12,"Tevin Coleman",FA,"7.3","4.0","8.7","0.3","1.0","1.0","14.7","0.3"
"179",12,"Darius Hagans",PIT,"0","0","0","0","0","0","0","0"
"180",12,"Aidan Borguet",FA,"0","0","0","0","0","0","0","0"
"181",13,"Ellis Merriweather",NO,"0","0","0","0","0","0","0","0"
