PLAYER NAME,TEAM,POS_BEST,POS_WORST,POS_AVG.,POS_STD.DEV
"Justin Jefferson",MIN,"1","4","1.2","0.5"
"Ja'Marr Chase",CIN,"1","5","2.0","0.5"
"Tyreek Hill",MIA,"2","8","3.4","1.0"
"Cooper Kupp",LAR,"1","9","4.3","1.4"
"Stefon Diggs",BUF,"4","11","5.8","1.5"
"A.J. Brown",PHI,"2","12","6.7","1.8"
"CeeDee Lamb",DAL,"2","11","6.8","1.5"
"Davante Adams",LV,"3","13","8.0","2.2"
"Amon-Ra St. Brown",DET,"4","15","8.8","1.8"
"Garrett Wilson",NYJ,"5","15","9.5","1.7"
"Jaylen Waddle",MIA,"7","15","10.8","1.5"
"Chris Olave",NO,"9","19","12.8","2.1"
"Tee Higgins",CIN,"10","23","14.6","2.4"
"DeVonta Smith",PHI,"10","27","15.6","2.7"
"Amari Cooper",CLE,"11","28","16.0","2.8"
"Deebo Samuel",SF,"8","30","16.4","4.2"
"DK Metcalf",SEA,"9","26","17.1","2.9"
"Calvin Ridley",JAC,"7","31","17.9","3.8"
"DJ Moore",CHI,"12","36","19.2","4.1"
"Christian Watson",GB,"12","34","21.0","4.5"
"Keenan Allen",LAC,"12","33","21.3","3.3"
"Terry McLaurin",WAS,"15","36","24.1","4.2"
"Brandon Aiyuk",SF,"15","40","25.1","4.7"
"DeAndre Hopkins",TEN,"14","38","25.4","4.3"
"Drake London",ATL,"18","38","26.6","3.9"
"Mike Williams",LAC,"17","39","27.0","5.1"
"Jerry Jeudy",DEN,"15","53","27.1","8.2"
"Tyler Lockett",SEA,"19","51","28.1","4.8"
"Mike Evans",TB,"18","41","29.9","4.7"
"Christian Kirk",JAC,"18","40","30.0","4.7"
"Chris Godwin",TB,"21","43","31.1","3.7"
"Diontae Johnson",PIT,"20","45","31.9","5.2"
"Jahan Dotson",WAS,"18","46","32.3","6.0"
"Marquise Brown",ARI,"22","59","34.3","5.4"
"George Pickens",PIT,"18","51","34.4","5.8"
"Gabe Davis",BUF,"20","50","35.5","6.1"
"Michael Pittman Jr.",IND,"27","48","36.3","4.8"
"Jordan Addison",MIN,"24","54","37.9","5.8"
"Jaxon Smith-Njigba",SEA,"25","70","41.1","6.7"
"Courtland Sutton",DEN,"28","60","41.1","5.8"
"Brandin Cooks",DAL,"29","59","41.5","4.9"
"Treylon Burks",TEN,"30","60","42.5","6.0"
"Zay Flowers",BAL,"24","125","42.8","9.8"
"Elijah Moore",CLE,"30","77","44.3","6.3"
"Quentin Johnston",LAC,"29","80","47.0","7.1"
"Rashod Bateman",BAL,"32","79","47.8","7.9"
"Kadarius Toney",KC,"29","78","49.6","8.2"
"Michael Thomas",NO,"28","70","49.7","7.0"
"Skyy Moore",KC,"34","101","50.3","10.6"
"JuJu Smith-Schuster",NE,"38","77","51.1","7.0"
"Jakobi Meyers",LV,"42","69","53.0","6.0"
"Nico Collins",HOU,"38","75","53.6","6.7"
"Allen Lazard",NYJ,"39","81","53.9","6.8"
"Odell Beckham Jr.",BAL,"32","99","54.7","10.0"
"Jameson Williams",DET,"33","105","56.6","11.5"
"Darnell Mooney",CHI,"44","79","57.3","6.9"
"Romeo Doubs",GB,"36","84","59.7","9.0"
"Tyler Boyd",CIN,"47","82","59.1","5.8"
"Adam Thielen",CAR,"44","84","63.3","7.4"
"Michael Gallup",DAL,"40","89","62.1","8.1"
"DJ Chark Jr.",CAR,"45","104","60.7","8.7"
"Zay Jones",JAC,"41","83","62.4","6.5"
"Rondale Moore",ARI,"45","94","66.7","7.0"
"Donovan Peoples-Jones",CLE,"49","91","66.1","8.2"
"Alec Pierce",IND,"52","98","69.6","9.1"
"Rashid Shaheed",NO,"47","97","66.3","8.7"
"Jonathan Mingo",CAR,"43","114","71.2","14.3"
"Van Jefferson",LAR,"46","107","70.1","12.1"
"Curtis Samuel",WAS,"52","96","71.7","8.5"
"K.J. Osborn",MIN,"42","96","69.7","9.1"
"Marquez Valdes-Scantling",KC,"47","104","71.6","10.8"
"Marvin Mims Jr.",DEN,"41","115","73.6","18.0"
"Isaiah Hodgins",NYG,"48","104","74.1","9.7"
"DeVante Parker",NE,"53","102","75.5","8.6"
"Darius Slayton",NYG,"53","106","75.5","9.7"
"Rashee Rice",KC,"49","170","76.0","16.7"
"Parris Campbell",NYG,"59","103","81.4","8.8"
"Jayden Reed",GB,"50","116","77.7","13.8"
"Chase Claypool",CHI,"56","100","79.0","7.9"
"Hunter Renfrow",LV,"64","105","79.1","8.6"
"Robert Woods",HOU,"51","107","84.4","9.6"
"John Metchie III",HOU,"52","119","80.7","10.7"
"Jalin Hyatt",NYG,"43","123","80.4","13.8"
"Mecole Hardman Jr.",NYJ,"59","104","81.4","8.7"
"Wan'Dale Robinson",NYG,"63","126","84.7","13.2"
"Allen Robinson II",PIT,"65","113","85.5","9.2"
"Joshua Palmer",LAC,"63","118","84.4","9.9"
"Josh Downs",IND,"54","175","87.9","12.0"
"Tyquan Thornton",NE,"63","121","87.6","10.8"
"Terrace Marshall Jr.",CAR,"63","127","90.6","10.3"
"Marvin Jones Jr.",DET,"69","132","95.7","8.4"
"Richie James Jr.",KC,"68","128","96.1","10.8"
"Mack Hollins",ATL,"67","115","94.8","8.4"
"Khalil Shakir",BUF,"63","125","96.0","11.7"
"Josh Reynolds",DET,"73","130","96.0","8.6"
"Sterling Shepard",NYG,"57","148","98.2","13.4"
"Tank Dell",HOU,"38","187","85.7","20.2"
"Kendrick Bourne",NE,"76","127","98.4","8.1"
"Laviska Shenault Jr.",CAR,"79","123","103.3","8.6"
"Quez Watkins",PHI,"93","126","105.5","7.0"
